scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,not_close,0,0,21,1.1904761904761905,1,1.1906876261525303,1.4285714285714286
basketball,not_close,0,1,21,1.7142857142857142,1.1904761904761905,1.721212695598679,2.438327205882352
basketball,not_close,0,2,21,4.9523809523809526,4.166666666666667,4.951313044320402,5.6670454545454545
basketball,not_close,0,3,21,6.238095238095238,5.679935483870967,6.226746763430554,6.708482142857142
basketball,somewhat_close,1,0,22,1.8636363636363638,1.2940563725490197,1.8607480881951701,2.5
basketball,somewhat_close,1,1,22,1.772727272727273,1.2727272727272727,1.774043906212224,2.4
basketball,somewhat_close,1,2,22,3.2727272727272725,2.41625,3.287959599833973,4.120260869565217
basketball,somewhat_close,1,3,22,4.681818181818182,3.9444444444444446,4.6982611529837435,5.444999999999999
basketball,close,2,0,24,1.4583333333333333,1.1428571428571428,1.454641947258249,1.8262681159420286
basketball,close,2,1,24,1.7916666666666665,1.1664473684210528,1.7956247599799382,2.5220289855072457
basketball,close,2,2,24,3.3333333333333335,2.6248511904761904,3.330173204849285,4.043953804347826
basketball,close,2,3,24,4,3.3213928571428575,4.00019655223389,4.625115740740741
basketball,extremely_close,3,0,22,1.1363636363636365,1,1.1337167474988734,1.2941176470588236
basketball,extremely_close,3,1,22,1.0454545454545454,1,1.0454584903603883,1.15
basketball,extremely_close,3,2,22,2.5454545454545454,2,2.5473991430278193,3.111458333333333
basketball,extremely_close,3,3,22,3.8181818181818183,3.066666666666667,3.832910678914446,4.631698564593301
birthday,not_close,0,0,22,1.2727272727272727,1.08,1.2732882575176079,1.5238095238095237
birthday,not_close,0,1,22,1.6818181818181819,1.277651515151515,1.6898771506754366,2.3001086956521735
birthday,not_close,0,2,22,4.090909090909091,3.5,4.098713668389879,4.7274242424242425
birthday,not_close,0,3,22,5.363636363636363,4.599814814814815,5.36751172350352,6.050220588235294
birthday,somewhat_close,1,0,22,1.9545454545454546,1.4,1.952516633558218,2.600217391304348
birthday,somewhat_close,1,1,22,1.727272727272727,1.2,1.722393025524896,2.4334374999999997
birthday,somewhat_close,1,2,22,3.090909090909091,2.625,3.0989590033095378,3.5789473684210527
birthday,somewhat_close,1,3,22,5.318181818181818,4.592550505050505,5.3163381143287785,5.923076923076923
birthday,close,2,0,24,1.6666666666666665,1.2173913043478262,1.6687677470636386,2.304693675889328
