subject_id,scenario_label,closeness_condition,action_0,action_1,action_2,action_3
c838fb8b-9e03-545d-8f5e-8a8e58450767,cooking,close,2,0,0,0
c838fb8b-9e03-545d-8f5e-8a8e58450767,birthday,somewhat_close,0,0,3,6
c838fb8b-9e03-545d-8f5e-8a8e58450767,soup,extremely_close,0,0,0,0
c838fb8b-9e03-545d-8f5e-8a8e58450767,brunch,somewhat_close,0,0,0,2
c838fb8b-9e03-545d-8f5e-8a8e58450767,oysters,extremely_close,0,0,0,0
c838fb8b-9e03-545d-8f5e-8a8e58450767,gala,not_close,3,2,2,3
c838fb8b-9e03-545d-8f5e-8a8e58450767,crabs,not_close,3,1,5,5
c838fb8b-9e03-545d-8f5e-8a8e58450767,hike,somewhat_close,0,2,4,6
c838fb8b-9e03-545d-8f5e-8a8e58450767,fair,close,0,0,1,1
c838fb8b-9e03-545d-8f5e-8a8e58450767,wedding,not_close,0,0,3,6
c838fb8b-9e03-545d-8f5e-8a8e58450767,drinks,close,2,0,2,0
c838fb8b-9e03-545d-8f5e-8a8e58450767,conference,somewhat_close,0,0,2,2
c838fb8b-9e03-545d-8f5e-8a8e58450767,basketball,extremely_close,0,0,0,0
c838fb8b-9e03-545d-8f5e-8a8e58450767,dip,extremely_close,0,0,0,1
c838fb8b-9e03-545d-8f5e-8a8e58450767,social,not_close,0,3,4,6
c838fb8b-9e03-545d-8f5e-8a8e58450767,driving,close,1,0,0,1
8488d1e0-f549-50fb-b532-237e8f6611b5,fair,close,0,0,0,1
8488d1e0-f549-50fb-b532-237e8f6611b5,social,extremely_close,0,0,0,0
8488d1e0-f549-50fb-b532-237e8f6611b5,dip,somewhat_close,0,0,1,5
8488d1e0-f549-50fb-b532-237e8f6611b5,soup,somewhat_close,0,0,4,4
8488d1e0-f549-50fb-b532-237e8f6611b5,driving,not_close,0,0,3,6
8488d1e0-f549-50fb-b532-237e8f6611b5,hike,close,0,0,0,0
8488d1e0-f549-50fb-b532-237e8f6611b5,birthday,close,0,0,0,0
8488d1e0-f549-50fb-b532-237e8f6611b5,conference,close,0,0,0,2
8488d1e0-f549-50fb-b532-237e8f6611b5,oysters,extremely_close,0,0,1,1
8488d1e0-f549-50fb-b532-237e8f6611b5,crabs,somewhat_close,0,0,4,4
