scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,0,59,2.1864406779661016,1.8042391304347825,2.178068565439758,2.5893150684931507
basketball,1,59,3.8135593220338984,3.5079918032786885,3.8184168268967937,4.125066489361702
basketball,2,59,3,2.6864484396200816,2.99633643509209,3.2917025862068963
basketball,3,59,2.847457627118644,2.5150278293135435,2.8496940379798765,3.2144285714285714
birthday,0,59,2.203389830508475,1.9106387362637365,2.2008761426377976,2.508203667685468
birthday,1,59,3.8135593220338984,3.491079721362229,3.8105668750545,4.147852459016392
birthday,2,59,2.983050847457627,2.709643817204301,2.9807797749971323,3.271224961479199
birthday,3,59,3,2.6,3.0065460037247593,3.4050929588607595
brunch,0,59,1.305084745762712,1.125,1.3035668800085727,1.5102267573696144
brunch,1,59,3.5084745762711864,3.1864406779661016,3.5136822033876105,3.8616666666666664
brunch,2,59,3.152542372881356,2.8747596153846153,3.151855441311181,3.4483592880978864
brunch,3,59,2.6440677966101696,2.3269132653061226,2.6509843433625107,3
conference,0,59,1.830508474576271,1.5396520146520147,1.8300784359352757,2.157107843137255
conference,1,59,2.8983050847457625,2.6166008771929823,2.8888115983594074,3.152804487179487
conference,2,59,2.7457627118644066,2.4038377192982456,2.749026895400615,3.096153846153846
conference,3,59,3.5762711864406778,3.2075309043591416,3.576182472139728,3.9445512820512825
cooking,0,59,2.135593220338983,1.809478021978022,2.131152045879692,2.4730184659090906
cooking,1,59,3.5762711864406778,3.2878766478342754,3.5715914338512422,3.8637121212121213
cooking,2,59,3.4745762711864403,3.137931034482759,3.4752553022563655,3.807080200501253
cooking,3,59,2.6779661016949152,2.3636363636363638,2.678573889552615,3
crabs,0,59,2.1694915254237293,1.8444117647058822,2.1632077681116724,2.5320785597381343
crabs,1,59,3.88135593220339,3.5499486301369862,3.884010779736661,4.19672131147541
crabs,2,59,3.7627118644067794,3.4641865079365077,3.7685932393926573,4.0770833333333325
crabs,3,59,3.9322033898305087,3.6028676470588237,3.937353022481013,4.269270833333334
dip,0,59,2.7288135593220337,2.4545025728987993,2.7394830391829905,3.0566309869375905
dip,1,59,3.1186440677966103,2.8446528424976703,3.106639637411284,3.371007273877293
dip,2,59,2.9661016949152543,2.721261144664941,2.96359876993655,3.2069128171763173
dip,3,59,3.7627118644067794,3.4098360655737703,3.7615889869282295,4.125049603174603
drinks,0,59,2.4915254237288136,2.1964285714285716,2.4871940362991443,2.781326593137255
drinks,1,59,2.9661016949152543,2.694850065189048,2.9757708082148264,3.2547391952309987
drinks,2,59,2.847457627118644,2.547162441037736,2.841616006279076,3.1601666666666666
drinks,3,59,2.3728813559322033,2.066666666666667,2.368556140223748,2.7091055718475072
driving,0,59,1.6271186440677967,1.391304347826087,1.624214285181673,1.872357311719014
driving,1,59,3.084745762711864,2.782535003684598,3.0860884436053135,3.4286210317460317
driving,2,59,2.9661016949152543,2.6779661016949152,2.9639274041958874,3.2623414785029383
driving,3,59,2.8135593220338984,2.4489491318915624,2.806977394692334,3.1774481566820274
fair,0,59,1.9152542372881356,1.6169803600654662,1.9156305094531498,2.2653401360544216
fair,1,59,4.135593220338983,3.842052631578947,4.132656128472337,4.413793103448276
fair,2,59,2.8813559322033897,2.602999084249084,2.888610820516339,3.169491525423729
fair,3,59,3.3728813559322033,3.0221296296296294,3.379633800798562,3.727320075757576
gala,0,59,1.7118644067796611,1.4544563279857396,1.7086553965693878,2.029850746268657
gala,1,59,2.6610169491525424,2.3499801587301588,2.658750439118251,2.980778301886793
gala,2,59,3.0338983050847457,2.7169732704402514,3.0368164649887084,3.403114529393847
gala,3,59,3.9322033898305087,3.622530017152659,3.9302341922079975,4.258758945998698
hike,0,59,1.542372881355932,1.3333333333333335,1.5391906875614445,1.7454545454545456
hike,1,59,3.8983050847457625,3.560590909090909,3.903036806176594,4.2459184819223
hike,2,59,2.711864406779661,2.396670386904762,2.703336777905555,3.044847192608387
hike,3,59,3.2542372881355934,2.927167832167832,3.2512131138376694,3.5862777515351913
oysters,0,59,1.9322033898305084,1.6721311475409837,1.94065472313321,2.2321428571428568
oysters,1,59,4.322033898305085,3.9996794871794874,4.323184651324721,4.660863095238096
oysters,2,59,3.4406779661016946,3.133301886792453,3.449227990482127,3.78
oysters,3,59,4.254237288135593,3.8592846553002227,4.243827372257831,4.603174603174603
social,0,59,1.8813559322033897,1.5624725877192982,1.8907838359448046,2.2698412698412698
social,1,59,3.542372881355932,3.2343666888297875,3.5377274023920067,3.864438401214268
social,2,59,2.983050847457627,2.732108516483516,2.986721267507578,3.2580784204671858
social,3,59,3.7457627118644066,3.374625,3.746918269272486,4.145035691109668
soup,0,59,1.8813559322033897,1.5365853658536586,1.881530106610136,2.254957983193277
soup,1,59,3.8135593220338984,3.5142063492063493,3.817929783872117,4.0781560019841265
soup,2,59,3.983050847457627,3.6956337509211497,3.9866643575861853,4.281294221698113
soup,3,59,3.084745762711864,2.812446120689655,3.084233136598352,3.404787784679089
wedding,0,59,1.8135593220338984,1.4827586206896552,1.8130163644092783,2.1562911184210525
wedding,1,59,3.8983050847457625,3.612834882449426,3.89710021553833,4.224168285575522
wedding,2,59,3.457627118644068,3.155794205794206,3.4547730038386115,3.7547169811320753
wedding,3,59,3.1864406779661016,2.8489840348330913,3.188967334396131,3.551819923371647
