subject_id,gender,age,understood,comments
70e5610f-8779-5ef7-9648-19c14ab650af,female,31,yes,
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,male,29,yes,
7d5634c4-891b-5f66-921b-bdad69575f58,female,62,yes,
aa950ac9-3d3b-5aba-a8c2-1c41b4a62509,female,64,yes,
62a6cf4a-87ec-5cf7-b61e-c8d52561aa36,male,36,yes,None.
9f5a3cf9-9cb8-54fe-a67b-96817c6aec97,male,30,yes,
ca7f38a4-5404-55c5-9231-9e5c5ad55e59,female,26,yes,no
7028ec5f-a750-5de0-850d-c25a85625f39,female,54,yes,
08426c63-68d3-570c-9a75-2378c6e37fe4,male,25,yes,no comment
745db6bf-7e13-5f50-bed5-f4952345a66f,male,27,yes,no comment
f1b2880d-76b3-5e44-99a9-995fce3a4f93,female,48,yes,"Yes, this type of memory check is against Prolific guidelines. I'm not sure I got them right because the names of the people in the story, what they brought, or what event they were at were not important to what the study was asking me to do. "
27980945-baa4-5fce-af95-265c0853f167,abstain,33,yes,
306a2d3c-9cf1-5877-8261-ebe302fb89d8,male,54,yes,N/A
b77696b6-5472-568c-b74f-59c07d5b9506,male,34,yes,
19faa12b-fce1-525b-b591-f4ba904f1499,male,41,yes,Not sure
4af7db3d-c9d2-5084-927d-9de3a821136e,male,48,yes,thank you
f68f093c-5443-5a8e-8b7d-88c128e3a678,male,27,yes,N/A
c93ab250-69fc-5861-a78e-94a91fe6b83f,female,27,yes,
8ee07482-b5ce-5730-976d-f5362bcf449e,female,47,yes,no
c31dd779-5e75-5344-8eaa-cd18542c5237,female,30,yes,
49902f09-1bc3-5997-9811-50889c094d62,male,45,yes,
ecf1bb11-2b90-59d1-9f07-1b6d8ac3cc98,male,32,yes,
0aabaaae-8b78-5c4d-8917-20af76911e2f,female,23,yes,
a5ce8004-6a48-583e-88f3-20ee89d1d865,male,58,yes,excellent
0e38bbf4-34df-56ed-a0cf-c3b1375848af,female,42,yes,Non
bd4ef406-d385-5ffd-a2eb-751c15c8a437,female,28,yes,
89c56dcd-b89e-59c6-9d44-cdbc106cd305,female,51,yes,none
8910cb88-f535-5e33-bf46-392d60f11f8a,female,30,yes,NA
