subject_id,gender,age,understood,comments,attention_passed,memory_correct_count
b9ee84f1-da54-5f4a-9468-db3e24067e32,female,27,yes,,True,3
45a48815-1ed4-58cb-8e06-be2bddbf048e,female,51,yes,none,True,2
e901917a-1005-5ad7-b72d-02903d3e2251,male,26,yes,no,True,0
15e14378-9a5e-58a5-b38e-966e578b6fe9,male,48,yes,,True,3
bfac9234-8d7a-54b0-bbbc-42de99785e13,male,40,yes,,True,1
e7fe3685-574d-53ea-bb9e-9228e646fe92,female,38,yes,None ,True,3
148ee7a6-adb2-5a5a-b9b9-ff38ee9e6d69,female,21,yes,it was good,True,3
18e8a2ed-3f84-59d1-b327-a41f555774fd,male,27,yes,No,True,2
e59eb9b2-3ba9-50bb-8f72-5014d9db0647,female,24,yes,N/A,True,2
b251fa3d-f4d3-5b9b-8369-bf15d657f57f,female,49,yes,,True,3
4b62dba6-bda6-58c3-8170-ff75ec2f015d,female,19,yes,the scenarios where entertaining and good,True,3
cc04dbc9-0a14-5324-95c5-949550f4553a,female,60,yes,,True,3
8741c2d3-2519-515e-abb6-41cbc9f8f700,female,23,yes,,True,3
0d251f69-6ab6-5876-bac4-0dea98b95cd4,male,18,yes,The questions were really confusing,True,2
bd674c71-4ef4-534e-bdca-0738610832a3,male,30,yes,all good,True,2
e5cda85a-03bc-5138-8cf1-de2900f69d86,male,41,yes,,True,3
f2cf7b4e-af25-5b34-806d-a1c83a9b2dd0,female,22,yes,"this was perfect, thank you!!!!",True,3
18bdb657-200e-5df2-bf29-8e9c4e8f5c5b,female,31,yes,,True,2
ad0329d1-8f33-559a-9f00-9c08bf0f8aab,female,29,yes,nothing! ,True,3
ad0136fa-63e0-559c-ae73-05c5cf91e2df,female,50,yes,,True,2
303c308b-41a3-5b43-97c3-e7a5db622e5e,female,54,yes,Thank you for the survey! I enjoyed working on it! I hope that you receive great results.,True,3
