subject_id,scenario_label,stimulus_index,action_condition,effort_condition,intimacy_condition,stage,response
d038c91e-192e-5403-93f7-9af4ab579530,cooking,0,high_risk_share,low,max_formal,prior,0.87
d038c91e-192e-5403-93f7-9af4ab579530,cooking,0,high_risk_share,low,max_formal,posterior,0.87
d038c91e-192e-5403-93f7-9af4ab579530,basketball,1,low_risk_share,low,max_intimate,prior,0.72
d038c91e-192e-5403-93f7-9af4ab579530,basketball,1,low_risk_share,low,max_intimate,posterior,0.68
d038c91e-192e-5403-93f7-9af4ab579530,oysters,2,high_risk_share,low,somewhat_formal,prior,0.93
d038c91e-192e-5403-93f7-9af4ab579530,oysters,2,high_risk_share,low,somewhat_formal,posterior,0.39
d038c91e-192e-5403-93f7-9af4ab579530,soup,3,high_risk_share,high,max_formal,prior,0.83
d038c91e-192e-5403-93f7-9af4ab579530,soup,3,high_risk_share,high,max_formal,posterior,0.7
d038c91e-192e-5403-93f7-9af4ab579530,dip,4,low_risk_share,high,max_formal,prior,0.81
d038c91e-192e-5403-93f7-9af4ab579530,dip,4,low_risk_share,high,max_formal,posterior,0.79
d038c91e-192e-5403-93f7-9af4ab579530,driving,5,no_share,high,somewhat_intimate,prior,0.69
d038c91e-192e-5403-93f7-9af4ab579530,driving,5,no_share,high,somewhat_intimate,posterior,0.23
d038c91e-192e-5403-93f7-9af4ab579530,wedding,6,no_share,low,max_intimate,prior,0.86
d038c91e-192e-5403-93f7-9af4ab579530,wedding,6,no_share,low,max_intimate,posterior,0.0
d038c91e-192e-5403-93f7-9af4ab579530,takeout,7,no_share,low,somewhat_formal,prior,0.76
d038c91e-192e-5403-93f7-9af4ab579530,takeout,7,no_share,low,somewhat_formal,posterior,0.0
d038c91e-192e-5403-93f7-9af4ab579530,brunch,8,high_risk_share,high,somewhat_intimate,prior,0.93
d038c91e-192e-5403-93f7-9af4ab579530,brunch,8,high_risk_share,high,somewhat_intimate,posterior,0.77
d038c91e-192e-5403-93f7-9af4ab579530,apples,9,high_risk_share,high,max_intimate,prior,0.84
d038c91e-192e-5403-93f7-9af4ab579530,apples,9,high_risk_share,high,max_intimate,posterior,0.64
d038c91e-192e-5403-93f7-9af4ab579530,drinks,10,low_risk_share,high,somewhat_intimate,prior,0.85
d038c91e-192e-5403-93f7-9af4ab579530,drinks,10,low_risk_share,high,somewhat_intimate,posterior,0.85
d038c91e-192e-5403-93f7-9af4ab579530,social,11,low_risk_share,low,somewhat_intimate,prior,0.94
d038c91e-192e-5403-93f7-9af4ab579530,social,11,low_risk_share,low,somewhat_intimate,posterior,0.85
d038c91e-192e-5403-93f7-9af4ab579530,gala,12,low_risk_share,low,somewhat_formal,prior,0.9
d038c91e-192e-5403-93f7-9af4ab579530,gala,12,low_risk_share,low,somewhat_formal,posterior,0.89
d038c91e-192e-5403-93f7-9af4ab579530,hike,13,no_share,high,max_formal,prior,0.76
d038c91e-192e-5403-93f7-9af4ab579530,hike,13,no_share,high,max_formal,posterior,0.16
d038c91e-192e-5403-93f7-9af4ab579530,fair,14,no_share,high,somewhat_formal,prior,0.74
d038c91e-192e-5403-93f7-9af4ab579530,fair,14,no_share,high,somewhat_formal,posterior,0.14
d038c91e-192e-5403-93f7-9af4ab579530,birthday,15,high_risk_share,low,max_intimate,prior,0.94
d038c91e-192e-5403-93f7-9af4ab579530,birthday,15,high_risk_share,low,max_intimate,posterior,0.75
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,wedding,0,low_risk_share,low,somewhat_intimate,prior,0.81
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,wedding,0,low_risk_share,low,somewhat_intimate,posterior,0.93
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,hike,1,high_risk_share,high,somewhat_formal,prior,0.53
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,hike,1,high_risk_share,high,somewhat_formal,posterior,0.61
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,takeout,2,low_risk_share,high,max_formal,prior,0.39
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,takeout,2,low_risk_share,high,max_formal,posterior,0.66
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,social,3,no_share,low,somewhat_formal,prior,0.52
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,social,3,no_share,low,somewhat_formal,posterior,0.33
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,fair,4,low_risk_share,high,somewhat_formal,prior,0.52
2d235da7-15f6-5a38-b9ad-9a0f4a102bb2,fair,4,low_risk_share,high,somewhat_formal,posterior,0.83
