subject_id,scenario_label,action_condition,effort,intimacy,stage,response
00bd92b8-6d0e-5de1-a46e-423739705749,apples,low_risk_share,low,max_formal,posterior,0.67
00bd92b8-6d0e-5de1-a46e-423739705749,apples,low_risk_share,low,max_formal,prior,0.73
00bd92b8-6d0e-5de1-a46e-423739705749,basketball,high_risk_share,high,max_intimate,posterior,1.0
00bd92b8-6d0e-5de1-a46e-423739705749,basketball,high_risk_share,high,max_intimate,prior,0.87
00bd92b8-6d0e-5de1-a46e-423739705749,birthday,no_share,high,somewhat_intimate,posterior,0.0
00bd92b8-6d0e-5de1-a46e-423739705749,birthday,no_share,high,somewhat_intimate,prior,0.69
00bd92b8-6d0e-5de1-a46e-423739705749,brunch,no_share,low,max_formal,posterior,0.0
00bd92b8-6d0e-5de1-a46e-423739705749,brunch,no_share,low,max_formal,prior,0.17
00bd92b8-6d0e-5de1-a46e-423739705749,cooking,high_risk_share,high,somewhat_formal,posterior,0.86
00bd92b8-6d0e-5de1-a46e-423739705749,cooking,high_risk_share,high,somewhat_formal,prior,0.59
00bd92b8-6d0e-5de1-a46e-423739705749,dip,high_risk_share,low,max_intimate,posterior,0.9
00bd92b8-6d0e-5de1-a46e-423739705749,dip,high_risk_share,low,max_intimate,prior,0.85
00bd92b8-6d0e-5de1-a46e-423739705749,drinks,low_risk_share,low,somewhat_intimate,posterior,0.94
00bd92b8-6d0e-5de1-a46e-423739705749,drinks,low_risk_share,low,somewhat_intimate,prior,0.89
00bd92b8-6d0e-5de1-a46e-423739705749,driving,no_share,low,somewhat_formal,posterior,0.75
00bd92b8-6d0e-5de1-a46e-423739705749,driving,no_share,low,somewhat_formal,prior,0.64
00bd92b8-6d0e-5de1-a46e-423739705749,fair,no_share,high,max_intimate,posterior,0.56
00bd92b8-6d0e-5de1-a46e-423739705749,fair,no_share,high,max_intimate,prior,0.55
00bd92b8-6d0e-5de1-a46e-423739705749,gala,low_risk_share,high,max_formal,posterior,0.6
00bd92b8-6d0e-5de1-a46e-423739705749,gala,low_risk_share,high,max_formal,prior,0.2
00bd92b8-6d0e-5de1-a46e-423739705749,hike,low_risk_share,high,somewhat_formal,posterior,0.94
00bd92b8-6d0e-5de1-a46e-423739705749,hike,low_risk_share,high,somewhat_formal,prior,0.84
00bd92b8-6d0e-5de1-a46e-423739705749,oysters,no_share,low,somewhat_intimate,posterior,0.62
00bd92b8-6d0e-5de1-a46e-423739705749,oysters,no_share,low,somewhat_intimate,prior,0.9
00bd92b8-6d0e-5de1-a46e-423739705749,social,high_risk_share,low,somewhat_intimate,posterior,0.91
00bd92b8-6d0e-5de1-a46e-423739705749,social,high_risk_share,low,somewhat_intimate,prior,0.86
00bd92b8-6d0e-5de1-a46e-423739705749,soup,high_risk_share,low,max_formal,posterior,0.0
00bd92b8-6d0e-5de1-a46e-423739705749,soup,high_risk_share,low,max_formal,prior,0.0
00bd92b8-6d0e-5de1-a46e-423739705749,takeout,no_share,high,somewhat_formal,posterior,0.0
00bd92b8-6d0e-5de1-a46e-423739705749,takeout,no_share,high,somewhat_formal,prior,0.6
00bd92b8-6d0e-5de1-a46e-423739705749,wedding,low_risk_share,high,max_intimate,posterior,0.88
00bd92b8-6d0e-5de1-a46e-423739705749,wedding,low_risk_share,high,max_intimate,prior,0.83
00fe0766-41a5-58cb-bff0-f20219c6a197,apples,no_share,high,max_formal,posterior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,apples,no_share,high,max_formal,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,basketball,low_risk_share,low,somewhat_intimate,posterior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,basketball,low_risk_share,low,somewhat_intimate,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,birthday,high_risk_share,high,max_formal,posterior,0.88
00fe0766-41a5-58cb-bff0-f20219c6a197,birthday,high_risk_share,high,max_formal,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,brunch,low_risk_share,low,max_intimate,posterior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,brunch,low_risk_share,low,max_intimate,prior,0.77
00fe0766-41a5-58cb-bff0-f20219c6a197,cooking,high_risk_share,high,somewhat_intimate,posterior,0.87
00fe0766-41a5-58cb-bff0-f20219c6a197,cooking,high_risk_share,high,somewhat_intimate,prior,0.79
00fe0766-41a5-58cb-bff0-f20219c6a197,dip,high_risk_share,low,max_intimate,posterior,0.85
00fe0766-41a5-58cb-bff0-f20219c6a197,dip,high_risk_share,low,max_intimate,prior,0.8
00fe0766-41a5-58cb-bff0-f20219c6a197,drinks,no_share,high,somewhat_intimate,posterior,0.06
00fe0766-41a5-58cb-bff0-f20219c6a197,drinks,no_share,high,somewhat_intimate,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,driving,low_risk_share,high,max_formal,posterior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,driving,low_risk_share,high,max_formal,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,fair,high_risk_share,high,max_intimate,posterior,0.91
00fe0766-41a5-58cb-bff0-f20219c6a197,fair,high_risk_share,high,max_intimate,prior,0.89
00fe0766-41a5-58cb-bff0-f20219c6a197,gala,no_share,low,somewhat_formal,posterior,0.07
00fe0766-41a5-58cb-bff0-f20219c6a197,gala,no_share,low,somewhat_formal,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,hike,low_risk_share,high,somewhat_intimate,posterior,0.81
00fe0766-41a5-58cb-bff0-f20219c6a197,hike,low_risk_share,high,somewhat_intimate,prior,0.83
00fe0766-41a5-58cb-bff0-f20219c6a197,oysters,high_risk_share,low,somewhat_formal,posterior,0.88
00fe0766-41a5-58cb-bff0-f20219c6a197,oysters,high_risk_share,low,somewhat_formal,prior,0.8
00fe0766-41a5-58cb-bff0-f20219c6a197,social,low_risk_share,low,somewhat_formal,posterior,0.81
00fe0766-41a5-58cb-bff0-f20219c6a197,social,low_risk_share,low,somewhat_formal,prior,0.51
00fe0766-41a5-58cb-bff0-f20219c6a197,soup,high_risk_share,low,max_formal,posterior,0.83
00fe0766-41a5-58cb-bff0-f20219c6a197,soup,high_risk_share,low,max_formal,prior,0.24
00fe0766-41a5-58cb-bff0-f20219c6a197,takeout,no_share,high,somewhat_formal,posterior,0.06
00fe0766-41a5-58cb-bff0-f20219c6a197,takeout,no_share,high,somewhat_formal,prior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,wedding,no_share,low,max_intimate,posterior,0.5
00fe0766-41a5-58cb-bff0-f20219c6a197,wedding,no_share,low,max_intimate,prior,0.77
014a01f9-bf22-55ee-a4bf-a381dd834058,apples,low_risk_share,low,somewhat_intimate,posterior,0.91
014a01f9-bf22-55ee-a4bf-a381dd834058,apples,low_risk_share,low,somewhat_intimate,prior,0.83
014a01f9-bf22-55ee-a4bf-a381dd834058,basketball,no_share,low,somewhat_intimate,posterior,0.28
014a01f9-bf22-55ee-a4bf-a381dd834058,basketball,no_share,low,somewhat_intimate,prior,0.72
014a01f9-bf22-55ee-a4bf-a381dd834058,birthday,low_risk_share,high,max_intimate,posterior,0.66
014a01f9-bf22-55ee-a4bf-a381dd834058,birthday,low_risk_share,high,max_intimate,prior,0.3
014a01f9-bf22-55ee-a4bf-a381dd834058,brunch,low_risk_share,high,somewhat_formal,posterior,0.87
014a01f9-bf22-55ee-a4bf-a381dd834058,brunch,low_risk_share,high,somewhat_formal,prior,0.75
014a01f9-bf22-55ee-a4bf-a381dd834058,cooking,low_risk_share,high,max_formal,posterior,0.78
014a01f9-bf22-55ee-a4bf-a381dd834058,cooking,low_risk_share,high,max_formal,prior,0.71
014a01f9-bf22-55ee-a4bf-a381dd834058,dip,no_share,high,somewhat_formal,posterior,0.27
014a01f9-bf22-55ee-a4bf-a381dd834058,dip,no_share,high,somewhat_formal,prior,0.34
