subject_id,gender,age,understood,comments,attention_passed,memory_correct_count
410a27e5-6686-5eb9-91b0-7f4e466a5f4b,female,32,yes,,True,1
869ad54b-3b7e-594c-9cb3-24e4aeed6a6b,male,21,yes,,True,2
21b0be78-959e-52ef-a078-1cdadd40a89a,female,49,yes,,True,2
3d018e0f-f0bd-510f-be9e-b9731fecb026,male,29,yes,no,True,3
567dbc4a-426c-52fb-9c70-6f92f91000c9,male,19,yes,,True,0
b243bcbd-8db7-5648-85aa-166ab8c2cd60,male,30,yes,,True,2
5afbfa40-eb74-5b72-bfde-bb9ce3560f28,female,19,yes,,True,3
c3236331-05fb-5adc-b675-a41e2adb527a,male,48,yes,none,True,2
d6a0fa76-c576-55e1-81c9-c34d31475c25,female,43,yes,,True,2
ec5b33ab-6f0d-5a1e-9c3f-bb220a351113,male,19,yes,,True,2
cda1546e-cd10-5a59-b93f-49d7507c27f5,female,41,yes,,True,1
d41d0660-bc8b-5c4d-9e08-76cddf8a24cc,male,32,yes,n/a,True,3
91d6058d-8af1-5e4a-a306-9bbfa004a27c,female,53,yes,,True,2
8af0d6f9-cb7b-5ac8-aa1c-910490dc2d80,female,53,yes,,True,2
a8e1cdbb-a89a-59f6-be81-1940691230db,female,32,yes,n/a,True,1
2a35bd0d-d08c-5dae-838a-8772b0d76c4c,male,55,yes,,True,3
77c2f3d7-c4b4-5800-ad27-affd710c5dba,male,23,yes,,True,2
33bea100-7b23-522d-9c62-7bd873f03c07,male,33,yes,,True,2
