subject_id,scenario_label,stimulus_index,action_condition,desire,effort,stage,intimacy_rating
0082206a-19cc-548a-832f-322f796ac686,apples,11,high_risk_share,high,low,posterior,0.75
0082206a-19cc-548a-832f-322f796ac686,apples,11,high_risk_share,high,low,prior,0.55
0082206a-19cc-548a-832f-322f796ac686,basketball,10,no_share,low,low,posterior,0.65
0082206a-19cc-548a-832f-322f796ac686,basketball,10,no_share,low,low,prior,0.63
0082206a-19cc-548a-832f-322f796ac686,birthday,8,low_risk_share,low,low,posterior,0.62
0082206a-19cc-548a-832f-322f796ac686,birthday,8,low_risk_share,low,low,prior,0.54
0082206a-19cc-548a-832f-322f796ac686,brunch,3,no_share,low,high,posterior,0.6
0082206a-19cc-548a-832f-322f796ac686,brunch,3,no_share,low,high,prior,0.58
0082206a-19cc-548a-832f-322f796ac686,cooking,1,low_risk_share,high,high,posterior,0.56
0082206a-19cc-548a-832f-322f796ac686,cooking,1,low_risk_share,high,high,prior,0.68
0082206a-19cc-548a-832f-322f796ac686,dip,0,high_risk_share,high,high,posterior,0.83
0082206a-19cc-548a-832f-322f796ac686,dip,0,high_risk_share,high,high,prior,0.79
0082206a-19cc-548a-832f-322f796ac686,drinks,6,low_risk_share,low,high,posterior,0.5
0082206a-19cc-548a-832f-322f796ac686,drinks,6,low_risk_share,low,high,prior,0.5
0082206a-19cc-548a-832f-322f796ac686,driving,15,low_risk_share,low,low,posterior,0.56
0082206a-19cc-548a-832f-322f796ac686,driving,15,low_risk_share,low,low,prior,0.57
0082206a-19cc-548a-832f-322f796ac686,fair,5,high_risk_share,low,high,posterior,0.74
0082206a-19cc-548a-832f-322f796ac686,fair,5,high_risk_share,low,high,prior,0.59
0082206a-19cc-548a-832f-322f796ac686,gala,2,high_risk_share,low,low,posterior,0.69
0082206a-19cc-548a-832f-322f796ac686,gala,2,high_risk_share,low,low,prior,0.41
0082206a-19cc-548a-832f-322f796ac686,hike,9,no_share,high,low,posterior,0.54
0082206a-19cc-548a-832f-322f796ac686,hike,9,no_share,high,low,prior,0.59
0082206a-19cc-548a-832f-322f796ac686,oysters,13,no_share,low,high,posterior,0.52
0082206a-19cc-548a-832f-322f796ac686,oysters,13,no_share,low,high,prior,0.56
0082206a-19cc-548a-832f-322f796ac686,social,7,no_share,high,high,posterior,0.36
0082206a-19cc-548a-832f-322f796ac686,social,7,no_share,high,high,prior,0.43
0082206a-19cc-548a-832f-322f796ac686,soup,14,high_risk_share,high,high,posterior,0.67
0082206a-19cc-548a-832f-322f796ac686,soup,14,high_risk_share,high,high,prior,0.57
0082206a-19cc-548a-832f-322f796ac686,takeout,12,low_risk_share,high,low,posterior,0.31
0082206a-19cc-548a-832f-322f796ac686,takeout,12,low_risk_share,high,low,prior,0.43
0082206a-19cc-548a-832f-322f796ac686,wedding,4,low_risk_share,high,low,posterior,0.5
0082206a-19cc-548a-832f-322f796ac686,wedding,4,low_risk_share,high,low,prior,0.5
01b45b17-a375-5721-9cea-bad3ef4bc64a,apples,6,high_risk_share,low,low,posterior,0.87
01b45b17-a375-5721-9cea-bad3ef4bc64a,apples,6,high_risk_share,low,low,prior,0.54
01b45b17-a375-5721-9cea-bad3ef4bc64a,basketball,1,high_risk_share,low,high,posterior,0.96
01b45b17-a375-5721-9cea-bad3ef4bc64a,basketball,1,high_risk_share,low,high,prior,0.54
01b45b17-a375-5721-9cea-bad3ef4bc64a,birthday,9,high_risk_share,high,high,posterior,0.87
01b45b17-a375-5721-9cea-bad3ef4bc64a,birthday,9,high_risk_share,high,high,prior,0.58
01b45b17-a375-5721-9cea-bad3ef4bc64a,brunch,2,low_risk_share,high,high,posterior,0.86
01b45b17-a375-5721-9cea-bad3ef4bc64a,brunch,2,low_risk_share,high,high,prior,0.54
01b45b17-a375-5721-9cea-bad3ef4bc64a,cooking,3,high_risk_share,low,low,posterior,0.89
01b45b17-a375-5721-9cea-bad3ef4bc64a,cooking,3,high_risk_share,low,low,prior,0.64
01b45b17-a375-5721-9cea-bad3ef4bc64a,dip,4,no_share,low,low,posterior,0.57
01b45b17-a375-5721-9cea-bad3ef4bc64a,dip,4,no_share,low,low,prior,0.64
