subject_id,gender,age,understood,comments,attention_passed,memory_correct_count,comprehension_attempt
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,female,28,yes,nine,True,2,1
347e3225-4dca-5c61-8ff4-002d86a369cc,male,35,yes,,True,1,3
7713b045-925d-5b71-ae83-e3ad039b6f74,male,41,yes,,True,2,1
e7ccab03-e49c-576d-b9a4-f9774930668d,female,31,yes,,True,2,3
e8bcb137-b0c8-5d1f-9fe9-9a5c4762b73b,female,39,yes,Enjoyed the study.,True,3,1
2c363363-7cf4-5e90-87e5-8313d540e3d4,female,33,yes,,True,2,1
bec06be6-98b9-5043-af6d-47db3a26d0e0,female,60,yes,I enjoyed taking part in this. It was interesting trying to imagine what would happen. ,True,3,1
238ebf38-6983-5d10-8d88-f4ba306014d6,female,26,yes,,True,2,2
68012367-fed0-5353-a7ca-2540a6e0accb,male,34,yes,,True,2,1
32ce0c0f-598d-5abf-9e77-abbe7a794da0,female,23,yes,None at the moment. Thank you!,True,3,1
d6182725-1425-5302-9093-77ae756d1ee0,male,38,yes,,True,3,1
3efffde8-02fd-52a0-96c2-0a0c06d299b2,male,37,yes,"None, this survey was very clear and made sense. ",True,3,2
4ab141a3-9ecb-52ae-a77f-8467816fcea6,male,43,yes,no,True,3,1
4ab44024-cf6b-53f2-9ac9-9a13eee51d33,male,25,yes,,True,2,1
f7d5a010-4744-578b-8842-24913951e898,male,20,yes,,True,1,3
8a7b4965-13ef-56f6-84eb-a90874b002e1,nonconforming,34,yes,,True,3,1
8e15ebb5-bf70-55e4-8d0a-9c8c0c6a1bab,female,29,yes,,True,0,1
ded245e7-1b24-5ffd-9784-9f9e54dac39e,male,32,yes,"Thank you for allowing me to participate in this important research study examining how people interpret and make judgments about social situations involving food. The study questions asked were relevant, engaging, interesting, compelling, and highly tailored to the purpose, aim, scope, and objective of the study. The navigation flow provided a seamless transition from one screen to another without any difficulty, pain points, or confusion. 5-stars.
",True,1,1
