subject_id,scenario_label,stimulus_index,action_condition,intimacy_condition,stage,desire_rating,effort_rating
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,birthday,0,no_share,max_formal,prior,0.83,0.16
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,birthday,0,no_share,max_formal,posterior,0.11,0.14
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,dip,1,high_risk_share,max_intimate,prior,0.95,0.11
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,dip,1,high_risk_share,max_intimate,posterior,0.98,0.1
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,brunch,2,low_risk_share,max_formal,prior,0.73,0.59
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,brunch,2,low_risk_share,max_formal,posterior,0.91,0.51
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,gala,3,no_share,max_intimate,prior,0.06,0.85
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,gala,3,no_share,max_intimate,posterior,0.13,0.76
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,soup,4,no_share,somewhat_intimate,prior,0.09,0.23
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,soup,4,no_share,somewhat_intimate,posterior,0.07,0.2
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,wedding,5,low_risk_share,somewhat_formal,prior,0.84,0.46
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,wedding,5,low_risk_share,somewhat_formal,posterior,0.1,0.56
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,apples,6,high_risk_share,max_intimate,prior,0.9,0.49
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,apples,6,high_risk_share,max_intimate,posterior,0.55,0.92
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,driving,7,low_risk_share,somewhat_intimate,prior,0.26,0.14
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,driving,7,low_risk_share,somewhat_intimate,posterior,0.2,0.0
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,hike,8,no_share,somewhat_formal,prior,0.78,0.55
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,hike,8,no_share,somewhat_formal,posterior,0.15,0.53
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,drinks,9,high_risk_share,somewhat_formal,prior,0.81,0.28
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,drinks,9,high_risk_share,somewhat_formal,posterior,0.94,0.17
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,basketball,10,high_risk_share,somewhat_intimate,prior,0.57,0.61
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,basketball,10,high_risk_share,somewhat_intimate,posterior,0.77,0.65
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,oysters,11,high_risk_share,somewhat_intimate,prior,0.81,0.41
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,oysters,11,high_risk_share,somewhat_intimate,posterior,0.71,0.37
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,social,12,no_share,max_formal,prior,0.34,0.73
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,social,12,no_share,max_formal,posterior,0.3,0.81
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,takeout,13,low_risk_share,max_intimate,prior,0.63,0.74
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,takeout,13,low_risk_share,max_intimate,posterior,0.54,0.17
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,fair,14,high_risk_share,somewhat_formal,prior,0.32,0.77
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,fair,14,high_risk_share,somewhat_formal,posterior,0.76,0.94
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,cooking,15,high_risk_share,max_formal,prior,0.9,0.75
8d9d3bc2-c2b6-5f7c-9cba-e52ce9c01655,cooking,15,high_risk_share,max_formal,posterior,1.0,0.99
347e3225-4dca-5c61-8ff4-002d86a369cc,social,0,low_risk_share,somewhat_formal,prior,0.7,1.0
347e3225-4dca-5c61-8ff4-002d86a369cc,social,0,low_risk_share,somewhat_formal,posterior,1.0,0.0
347e3225-4dca-5c61-8ff4-002d86a369cc,birthday,1,high_risk_share,max_formal,prior,1.0,0.0
347e3225-4dca-5c61-8ff4-002d86a369cc,birthday,1,high_risk_share,max_formal,posterior,1.0,0.0
347e3225-4dca-5c61-8ff4-002d86a369cc,basketball,2,high_risk_share,max_formal,prior,1.0,0.5
347e3225-4dca-5c61-8ff4-002d86a369cc,basketball,2,high_risk_share,max_formal,posterior,1.0,1.0
