subject_id,scenario_label,stimulus_index,action_condition,desire_condition,stage,intimacy_rating,effort_rating
47b13ca0-fd26-5779-b056-3f754614f114,social,0,low_risk_share,high,prior,0.35,0.63
47b13ca0-fd26-5779-b056-3f754614f114,social,0,low_risk_share,high,posterior,0.74,0.6
47b13ca0-fd26-5779-b056-3f754614f114,basketball,1,no_share,high,prior,0.81,0.36
47b13ca0-fd26-5779-b056-3f754614f114,basketball,1,no_share,high,posterior,0.57,0.62
47b13ca0-fd26-5779-b056-3f754614f114,brunch,2,no_share,high,prior,0.41,0.56
47b13ca0-fd26-5779-b056-3f754614f114,brunch,2,no_share,high,posterior,0.25,0.42
47b13ca0-fd26-5779-b056-3f754614f114,apples,3,high_risk_share,low,prior,0.68,0.63
47b13ca0-fd26-5779-b056-3f754614f114,apples,3,high_risk_share,low,posterior,0.61,0.35
47b13ca0-fd26-5779-b056-3f754614f114,drinks,4,no_share,high,prior,0.75,0.64
47b13ca0-fd26-5779-b056-3f754614f114,drinks,4,no_share,high,posterior,0.55,0.37
47b13ca0-fd26-5779-b056-3f754614f114,fair,5,no_share,low,prior,0.84,0.67
47b13ca0-fd26-5779-b056-3f754614f114,fair,5,no_share,low,posterior,0.69,0.83
47b13ca0-fd26-5779-b056-3f754614f114,hike,6,no_share,low,prior,0.65,0.57
47b13ca0-fd26-5779-b056-3f754614f114,hike,6,no_share,low,posterior,0.61,0.55
47b13ca0-fd26-5779-b056-3f754614f114,birthday,7,high_risk_share,low,prior,0.8,0.66
47b13ca0-fd26-5779-b056-3f754614f114,birthday,7,high_risk_share,low,posterior,0.32,0.67
47b13ca0-fd26-5779-b056-3f754614f114,driving,8,low_risk_share,high,prior,0.79,0.73
47b13ca0-fd26-5779-b056-3f754614f114,driving,8,low_risk_share,high,posterior,0.63,0.81
47b13ca0-fd26-5779-b056-3f754614f114,takeout,9,low_risk_share,high,prior,0.33,0.22
47b13ca0-fd26-5779-b056-3f754614f114,takeout,9,low_risk_share,high,posterior,0.36,0.24
47b13ca0-fd26-5779-b056-3f754614f114,gala,10,high_risk_share,low,prior,0.43,0.66
47b13ca0-fd26-5779-b056-3f754614f114,gala,10,high_risk_share,low,posterior,0.76,0.56
47b13ca0-fd26-5779-b056-3f754614f114,soup,11,high_risk_share,high,prior,0.29,0.66
47b13ca0-fd26-5779-b056-3f754614f114,soup,11,high_risk_share,high,posterior,0.17,0.3
47b13ca0-fd26-5779-b056-3f754614f114,dip,12,low_risk_share,low,prior,0.76,0.64
47b13ca0-fd26-5779-b056-3f754614f114,dip,12,low_risk_share,low,posterior,0.71,0.26
47b13ca0-fd26-5779-b056-3f754614f114,wedding,13,low_risk_share,low,prior,0.22,0.66
47b13ca0-fd26-5779-b056-3f754614f114,wedding,13,low_risk_share,low,posterior,0.41,0.8
47b13ca0-fd26-5779-b056-3f754614f114,cooking,14,high_risk_share,high,prior,0.78,0.63
47b13ca0-fd26-5779-b056-3f754614f114,cooking,14,high_risk_share,high,posterior,0.24,0.71
47b13ca0-fd26-5779-b056-3f754614f114,oysters,15,no_share,low,prior,0.67,0.56
47b13ca0-fd26-5779-b056-3f754614f114,oysters,15,no_share,low,posterior,0.66,0.58
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,fair,0,no_share,high,prior,1.0,0.19
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,fair,0,no_share,high,posterior,0.61,0.18
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,oysters,1,low_risk_share,high,prior,0.51,0.66
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,oysters,1,low_risk_share,high,posterior,0.68,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,social,2,low_risk_share,low,prior,0.92,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,social,2,low_risk_share,low,posterior,0.98,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,gala,3,low_risk_share,high,prior,0.88,0.54
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,gala,3,low_risk_share,high,posterior,0.63,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,hike,4,high_risk_share,low,prior,0.58,0.5
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,hike,4,high_risk_share,low,posterior,0.95,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,brunch,5,no_share,high,prior,0.82,0.77
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,brunch,5,no_share,high,posterior,0.7,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,soup,6,low_risk_share,high,prior,0.85,0.75
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,soup,6,low_risk_share,high,posterior,0.84,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,takeout,7,high_risk_share,high,prior,0.4,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,takeout,7,high_risk_share,high,posterior,0.7,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,driving,8,high_risk_share,low,prior,0.84,0.12
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,driving,8,high_risk_share,low,posterior,0.96,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,wedding,9,no_share,low,prior,0.58,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,wedding,9,no_share,low,posterior,0.49,1.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,birthday,10,no_share,low,prior,1.0,0.42
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,birthday,10,no_share,low,posterior,0.54,0.49
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,apples,11,no_share,low,prior,1.0,0.34
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,apples,11,no_share,low,posterior,0.89,0.49
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,dip,12,high_risk_share,low,prior,1.0,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,dip,12,high_risk_share,low,posterior,1.0,0.0
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,drinks,13,low_risk_share,low,prior,0.78,0.66
83fc67c2-61ce-5b7e-a1e5-d5bde151a4d2,drinks,13,low_risk_share,low,posterior,0.61,0.56
