subject_id,scenario_label,intimacy_condition,reward_condition,action_0,action_1,action_2,action_3
1290d972-ed4e-58cc-89a9-bae85cdf375e,cooking,50,low,0.64,0.35,0.01,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,soup,0,high,0.53,0.47,0,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,oysters,0,low,1,0,0,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,wedding,100,high,0.12,0.37,0.34,0.17
1290d972-ed4e-58cc-89a9-bae85cdf375e,brunch,75,low,0.17,0.48,0.24,0.11
1290d972-ed4e-58cc-89a9-bae85cdf375e,birthday,0,high,0,0.88,0.12,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,hike,0,low,0.93,0.07,0,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,dip,50,high,0,0.84,0.02,0.14
1290d972-ed4e-58cc-89a9-bae85cdf375e,driving,100,high,0.3,0.44,0.22,0.04
1290d972-ed4e-58cc-89a9-bae85cdf375e,gala,75,high,0.23,0.42,0.21,0.14
1290d972-ed4e-58cc-89a9-bae85cdf375e,social,50,high,0.67,0.19,0.12,0.02
1290d972-ed4e-58cc-89a9-bae85cdf375e,basketball,100,low,0.33,0.64,0.03,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,fair,100,low,0.33,0.59,0.05,0.03
1290d972-ed4e-58cc-89a9-bae85cdf375e,drinks,75,high,0.58,0.25,0.13,0.04
1290d972-ed4e-58cc-89a9-bae85cdf375e,apples,75,low,0.73,0.24,0.03,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,takeout,50,low,0.66,0.26,0.08,0
c953754b-4b61-51cd-b273-4c61878b7b08,fair,100,low,0,0.26,0.42,0.32
c953754b-4b61-51cd-b273-4c61878b7b08,oysters,0,high,0.01,0.91,0.05,0.03
c953754b-4b61-51cd-b273-4c61878b7b08,wedding,0,low,0.96,0.01,0.02,0.01
c953754b-4b61-51cd-b273-4c61878b7b08,soup,50,low,0.98,0,0,0.02
c953754b-4b61-51cd-b273-4c61878b7b08,social,50,high,0.09,0.91,0,0
c953754b-4b61-51cd-b273-4c61878b7b08,dip,75,low,0.9,0.08,0.02,0
c953754b-4b61-51cd-b273-4c61878b7b08,basketball,100,high,0,0.22,0.46,0.32
c953754b-4b61-51cd-b273-4c61878b7b08,takeout,50,high,0.02,0.94,0.04,0
c953754b-4b61-51cd-b273-4c61878b7b08,drinks,100,low,0.77,0.19,0.01,0.03
c953754b-4b61-51cd-b273-4c61878b7b08,cooking,50,low,0.8,0.16,0.04,0
c953754b-4b61-51cd-b273-4c61878b7b08,apples,75,low,0.77,0.14,0.09,0
c953754b-4b61-51cd-b273-4c61878b7b08,hike,0,low,0.88,0.07,0.04,0.01
c953754b-4b61-51cd-b273-4c61878b7b08,birthday,0,high,0.06,0.34,0.6,0
c953754b-4b61-51cd-b273-4c61878b7b08,brunch,75,high,0.01,0.05,0.67,0.27
c953754b-4b61-51cd-b273-4c61878b7b08,driving,100,high,0.23,0.49,0.09,0.19
c953754b-4b61-51cd-b273-4c61878b7b08,gala,75,high,0.03,0.15,0.02,0.8
a0617d10-0f54-540d-91fa-fd0ca9959a20,dip,50,low,0.97,0.01,0.02,0
a0617d10-0f54-540d-91fa-fd0ca9959a20,wedding,100,low,0.23,0.02,0.73,0.02
a0617d10-0f54-540d-91fa-fd0ca9959a20,birthday,0,low,0.9,0,0.1,0
a0617d10-0f54-540d-91fa-fd0ca9959a20,driving,100,low,0,0,0,1
a0617d10-0f54-540d-91fa-fd0ca9959a20,hike,100,high,0.42,0.5,0.04,0.04
a0617d10-0f54-540d-91fa-fd0ca9959a20,basketball,75,high,0,0.34,0.34,0.32
a0617d10-0f54-540d-91fa-fd0ca9959a20,apples,50,high,0,0.23,0.59,0.18
a0617d10-0f54-540d-91fa-fd0ca9959a20,social,50,low,1,0,0,0
a0617d10-0f54-540d-91fa-fd0ca9959a20,fair,75,high,0,0.32,0.54,0.14
a0617d10-0f54-540d-91fa-fd0ca9959a20,cooking,0,high,0,0.86,0.13,0.01
a0617d10-0f54-540d-91fa-fd0ca9959a20,drinks,75,low,0.47,0.1,0.01,0.42
a0617d10-0f54-540d-91fa-fd0ca9959a20,brunch,50,high,0,0.6,0.1,0.3
a0617d10-0f54-540d-91fa-fd0ca9959a20,takeout,0,high,0,0.95,0.05,0
a0617d10-0f54-540d-91fa-fd0ca9959a20,gala,75,low,1,0,0,0
a0617d10-0f54-540d-91fa-fd0ca9959a20,oysters,100,high,0,0,0.45,0.55
a0617d10-0f54-540d-91fa-fd0ca9959a20,soup,0,low,1,0,0,0
3b9312fe-f094-5641-936d-d6f8fa326519,social,0,high,0.6,0.32,0.07,0.01
3b9312fe-f094-5641-936d-d6f8fa326519,cooking,0,low,0.55,0.15,0.15,0.15
3b9312fe-f094-5641-936d-d6f8fa326519,birthday,100,high,0.17,0.49,0.17,0.17
3b9312fe-f094-5641-936d-d6f8fa326519,wedding,100,low,0.52,0.16,0.16,0.16
3b9312fe-f094-5641-936d-d6f8fa326519,apples,50,low,0.9,0.1,0,0
3b9312fe-f094-5641-936d-d6f8fa326519,fair,75,low,0.45,0.52,0.03,0
3b9312fe-f094-5641-936d-d6f8fa326519,drinks,75,low,0.82,0.09,0.02,0.07
3b9312fe-f094-5641-936d-d6f8fa326519,oysters,100,high,0.09,0.77,0.09,0.05
3b9312fe-f094-5641-936d-d6f8fa326519,basketball,75,high,0.13,0.56,0.19,0.12
3b9312fe-f094-5641-936d-d6f8fa326519,soup,0,low,0.76,0.08,0.08,0.08
3b9312fe-f094-5641-936d-d6f8fa326519,takeout,0,high,0.11,0.89,0,0
3b9312fe-f094-5641-936d-d6f8fa326519,dip,50,low,0.82,0.06,0.06,0.06
3b9312fe-f094-5641-936d-d6f8fa326519,brunch,50,high,0,1,0,0
3b9312fe-f094-5641-936d-d6f8fa326519,driving,75,high,0.36,0.64,0,0
3b9312fe-f094-5641-936d-d6f8fa326519,gala,50,high,0.15,0.67,0.11,0.07
3b9312fe-f094-5641-936d-d6f8fa326519,hike,100,low,0.94,0.06,0,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,hike,0,high,0.31,0.69,0,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,dip,75,high,0,0.12,0.46,0.42
d1048db8-5e16-5ce4-99f8-18723fb90cf4,apples,75,high,0,0.36,0.37,0.27
d1048db8-5e16-5ce4-99f8-18723fb90cf4,gala,100,low,0.01,0.01,0.06,0.92
d1048db8-5e16-5ce4-99f8-18723fb90cf4,takeout,75,low,0.42,0.19,0.18,0.21
d1048db8-5e16-5ce4-99f8-18723fb90cf4,driving,0,low,0.41,0.48,0.06,0.05
d1048db8-5e16-5ce4-99f8-18723fb90cf4,brunch,100,low,0.46,0.03,0.1,0.41
d1048db8-5e16-5ce4-99f8-18723fb90cf4,soup,50,high,0.39,0.37,0.13,0.11
d1048db8-5e16-5ce4-99f8-18723fb90cf4,cooking,50,high,0,0.74,0.17,0.09
d1048db8-5e16-5ce4-99f8-18723fb90cf4,birthday,50,low,0,0.99,0.01,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,fair,100,high,0,0.43,0.31,0.26
d1048db8-5e16-5ce4-99f8-18723fb90cf4,wedding,0,high,0.84,0.06,0.05,0.05
d1048db8-5e16-5ce4-99f8-18723fb90cf4,oysters,50,low,0.04,0.88,0.08,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,basketball,0,low,0,1,0,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,social,75,low,1,0,0,0
d1048db8-5e16-5ce4-99f8-18723fb90cf4,drinks,100,high,0,0,0,1
5091b562-1ff1-57fd-9b51-0884bd83df81,brunch,75,high,0.18,0.09,0.48,0.25
5091b562-1ff1-57fd-9b51-0884bd83df81,basketball,100,high,0.07,0.06,0.25,0.62
5091b562-1ff1-57fd-9b51-0884bd83df81,soup,50,low,0.94,0,0,0.06
5091b562-1ff1-57fd-9b51-0884bd83df81,wedding,0,low,1,0,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,driving,0,low,0.52,0.48,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,apples,75,high,0.34,0.24,0.42,0
5091b562-1ff1-57fd-9b51-0884bd83df81,social,75,low,0.56,0,0.15,0.29
5091b562-1ff1-57fd-9b51-0884bd83df81,cooking,50,high,0.14,0.14,0.58,0.14
5091b562-1ff1-57fd-9b51-0884bd83df81,hike,0,high,0,1,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,birthday,50,low,0,1,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,dip,75,low,1,0,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,takeout,50,high,0,1,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,oysters,0,high,1,0,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,fair,100,high,1,0,0,0
5091b562-1ff1-57fd-9b51-0884bd83df81,drinks,100,low,0.89,0,0,0.11
5091b562-1ff1-57fd-9b51-0884bd83df81,gala,100,low,1,0,0,0
