subject_id,scenario_label,intimacy,motivation,model,action,p_action
1290d972-ed4e-58cc-89a9-bae85cdf375e,cooking,50,low,humans,0,0.64
1290d972-ed4e-58cc-89a9-bae85cdf375e,cooking,50,low,humans,1,0.35
1290d972-ed4e-58cc-89a9-bae85cdf375e,cooking,50,low,humans,2,0.01
1290d972-ed4e-58cc-89a9-bae85cdf375e,cooking,50,low,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,soup,0,high,humans,0,0.53
1290d972-ed4e-58cc-89a9-bae85cdf375e,soup,0,high,humans,1,0.47
1290d972-ed4e-58cc-89a9-bae85cdf375e,soup,0,high,humans,2,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,soup,0,high,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,oysters,0,low,humans,0,1
1290d972-ed4e-58cc-89a9-bae85cdf375e,oysters,0,low,humans,1,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,oysters,0,low,humans,2,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,oysters,0,low,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,wedding,100,high,humans,0,0.12
1290d972-ed4e-58cc-89a9-bae85cdf375e,wedding,100,high,humans,1,0.37
1290d972-ed4e-58cc-89a9-bae85cdf375e,wedding,100,high,humans,2,0.34
1290d972-ed4e-58cc-89a9-bae85cdf375e,wedding,100,high,humans,3,0.17
1290d972-ed4e-58cc-89a9-bae85cdf375e,brunch,75,low,humans,0,0.17
1290d972-ed4e-58cc-89a9-bae85cdf375e,brunch,75,low,humans,1,0.48
1290d972-ed4e-58cc-89a9-bae85cdf375e,brunch,75,low,humans,2,0.24
1290d972-ed4e-58cc-89a9-bae85cdf375e,brunch,75,low,humans,3,0.11
1290d972-ed4e-58cc-89a9-bae85cdf375e,birthday,0,high,humans,0,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,birthday,0,high,humans,1,0.88
1290d972-ed4e-58cc-89a9-bae85cdf375e,birthday,0,high,humans,2,0.12
1290d972-ed4e-58cc-89a9-bae85cdf375e,birthday,0,high,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,hike,0,low,humans,0,0.93
1290d972-ed4e-58cc-89a9-bae85cdf375e,hike,0,low,humans,1,0.07
1290d972-ed4e-58cc-89a9-bae85cdf375e,hike,0,low,humans,2,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,hike,0,low,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,dip,50,high,humans,0,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,dip,50,high,humans,1,0.84
1290d972-ed4e-58cc-89a9-bae85cdf375e,dip,50,high,humans,2,0.02
1290d972-ed4e-58cc-89a9-bae85cdf375e,dip,50,high,humans,3,0.14
1290d972-ed4e-58cc-89a9-bae85cdf375e,driving,100,high,humans,0,0.3
1290d972-ed4e-58cc-89a9-bae85cdf375e,driving,100,high,humans,1,0.44
1290d972-ed4e-58cc-89a9-bae85cdf375e,driving,100,high,humans,2,0.22
1290d972-ed4e-58cc-89a9-bae85cdf375e,driving,100,high,humans,3,0.04
1290d972-ed4e-58cc-89a9-bae85cdf375e,gala,75,high,humans,0,0.23
1290d972-ed4e-58cc-89a9-bae85cdf375e,gala,75,high,humans,1,0.42
1290d972-ed4e-58cc-89a9-bae85cdf375e,gala,75,high,humans,2,0.21
1290d972-ed4e-58cc-89a9-bae85cdf375e,gala,75,high,humans,3,0.14
1290d972-ed4e-58cc-89a9-bae85cdf375e,social,50,high,humans,0,0.67
1290d972-ed4e-58cc-89a9-bae85cdf375e,social,50,high,humans,1,0.19
1290d972-ed4e-58cc-89a9-bae85cdf375e,social,50,high,humans,2,0.12
1290d972-ed4e-58cc-89a9-bae85cdf375e,social,50,high,humans,3,0.02
1290d972-ed4e-58cc-89a9-bae85cdf375e,basketball,100,low,humans,0,0.33
1290d972-ed4e-58cc-89a9-bae85cdf375e,basketball,100,low,humans,1,0.64
1290d972-ed4e-58cc-89a9-bae85cdf375e,basketball,100,low,humans,2,0.03
1290d972-ed4e-58cc-89a9-bae85cdf375e,basketball,100,low,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,fair,100,low,humans,0,0.33
1290d972-ed4e-58cc-89a9-bae85cdf375e,fair,100,low,humans,1,0.59
1290d972-ed4e-58cc-89a9-bae85cdf375e,fair,100,low,humans,2,0.05
1290d972-ed4e-58cc-89a9-bae85cdf375e,fair,100,low,humans,3,0.03
1290d972-ed4e-58cc-89a9-bae85cdf375e,drinks,75,high,humans,0,0.58
1290d972-ed4e-58cc-89a9-bae85cdf375e,drinks,75,high,humans,1,0.25
1290d972-ed4e-58cc-89a9-bae85cdf375e,drinks,75,high,humans,2,0.13
1290d972-ed4e-58cc-89a9-bae85cdf375e,drinks,75,high,humans,3,0.04
1290d972-ed4e-58cc-89a9-bae85cdf375e,apples,75,low,humans,0,0.73
1290d972-ed4e-58cc-89a9-bae85cdf375e,apples,75,low,humans,1,0.24
1290d972-ed4e-58cc-89a9-bae85cdf375e,apples,75,low,humans,2,0.03
1290d972-ed4e-58cc-89a9-bae85cdf375e,apples,75,low,humans,3,0
1290d972-ed4e-58cc-89a9-bae85cdf375e,takeout,50,low,humans,0,0.66
1290d972-ed4e-58cc-89a9-bae85cdf375e,takeout,50,low,humans,1,0.26
1290d972-ed4e-58cc-89a9-bae85cdf375e,takeout,50,low,humans,2,0.08
1290d972-ed4e-58cc-89a9-bae85cdf375e,takeout,50,low,humans,3,0
d6a24019-37e7-5e54-91df-86eb36d09f98,cooking,0,low,humans,0,0.72
d6a24019-37e7-5e54-91df-86eb36d09f98,cooking,0,low,humans,1,0
d6a24019-37e7-5e54-91df-86eb36d09f98,cooking,0,low,humans,2,0.27
d6a24019-37e7-5e54-91df-86eb36d09f98,cooking,0,low,humans,3,0.01
d6a24019-37e7-5e54-91df-86eb36d09f98,hike,100,high,humans,0,0.07
d6a24019-37e7-5e54-91df-86eb36d09f98,hike,100,high,humans,1,0.17
d6a24019-37e7-5e54-91df-86eb36d09f98,hike,100,high,humans,2,0.49
d6a24019-37e7-5e54-91df-86eb36d09f98,hike,100,high,humans,3,0.27
d6a24019-37e7-5e54-91df-86eb36d09f98,birthday,100,low,humans,0,0.02
d6a24019-37e7-5e54-91df-86eb36d09f98,birthday,100,low,humans,1,0.71
d6a24019-37e7-5e54-91df-86eb36d09f98,birthday,100,low,humans,2,0.18
d6a24019-37e7-5e54-91df-86eb36d09f98,birthday,100,low,humans,3,0.09
d6a24019-37e7-5e54-91df-86eb36d09f98,wedding,50,high,humans,0,0.41
d6a24019-37e7-5e54-91df-86eb36d09f98,wedding,50,high,humans,1,0.52
d6a24019-37e7-5e54-91df-86eb36d09f98,wedding,50,high,humans,2,0.07
d6a24019-37e7-5e54-91df-86eb36d09f98,wedding,50,high,humans,3,0
d6a24019-37e7-5e54-91df-86eb36d09f98,oysters,50,high,humans,0,0.34
d6a24019-37e7-5e54-91df-86eb36d09f98,oysters,50,high,humans,1,0.43
d6a24019-37e7-5e54-91df-86eb36d09f98,oysters,50,high,humans,2,0.23
d6a24019-37e7-5e54-91df-86eb36d09f98,oysters,50,high,humans,3,0
d6a24019-37e7-5e54-91df-86eb36d09f98,driving,0,high,humans,0,0.01
d6a24019-37e7-5e54-91df-86eb36d09f98,driving,0,high,humans,1,0.63
d6a24019-37e7-5e54-91df-86eb36d09f98,driving,0,high,humans,2,0.33
d6a24019-37e7-5e54-91df-86eb36d09f98,driving,0,high,humans,3,0.03
d6a24019-37e7-5e54-91df-86eb36d09f98,dip,50,low,humans,0,0.75
