subject_id,scenario_label,action_condition,intimacy_condition,stage,response
3b9d8180-82b4-5f32-977c-97382c8b689b,oysters,action_1,75,prior,20
3b9d8180-82b4-5f32-977c-97382c8b689b,oysters,action_1,75,posterior,13
3b9d8180-82b4-5f32-977c-97382c8b689b,apples,action_2,100,prior,18
3b9d8180-82b4-5f32-977c-97382c8b689b,apples,action_2,100,posterior,82
3b9d8180-82b4-5f32-977c-97382c8b689b,soup,action_2,0,prior,57
3b9d8180-82b4-5f32-977c-97382c8b689b,soup,action_2,0,posterior,39
3b9d8180-82b4-5f32-977c-97382c8b689b,hike,action_1,50,prior,90
3b9d8180-82b4-5f32-977c-97382c8b689b,hike,action_1,50,posterior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,brunch,action_2,0,prior,100
3b9d8180-82b4-5f32-977c-97382c8b689b,brunch,action_2,0,posterior,88
3b9d8180-82b4-5f32-977c-97382c8b689b,social,action_1,100,prior,4
3b9d8180-82b4-5f32-977c-97382c8b689b,social,action_1,100,posterior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,takeout,action_2,50,prior,99
3b9d8180-82b4-5f32-977c-97382c8b689b,takeout,action_2,50,posterior,100
3b9d8180-82b4-5f32-977c-97382c8b689b,fair,action_1,100,prior,100
3b9d8180-82b4-5f32-977c-97382c8b689b,fair,action_1,100,posterior,5
3b9d8180-82b4-5f32-977c-97382c8b689b,driving,action_1,75,prior,4
3b9d8180-82b4-5f32-977c-97382c8b689b,driving,action_1,75,posterior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,basketball,action_2,75,prior,96
3b9d8180-82b4-5f32-977c-97382c8b689b,basketball,action_2,75,posterior,100
3b9d8180-82b4-5f32-977c-97382c8b689b,dip,action_1,0,prior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,dip,action_1,0,posterior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,drinks,action_1,50,prior,99
3b9d8180-82b4-5f32-977c-97382c8b689b,drinks,action_1,50,posterior,24
3b9d8180-82b4-5f32-977c-97382c8b689b,cooking,action_2,75,prior,32
3b9d8180-82b4-5f32-977c-97382c8b689b,cooking,action_2,75,posterior,100
3b9d8180-82b4-5f32-977c-97382c8b689b,birthday,action_2,100,prior,20
3b9d8180-82b4-5f32-977c-97382c8b689b,birthday,action_2,100,posterior,52
3b9d8180-82b4-5f32-977c-97382c8b689b,gala,action_1,0,prior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,gala,action_1,0,posterior,0
3b9d8180-82b4-5f32-977c-97382c8b689b,wedding,action_2,50,prior,14
3b9d8180-82b4-5f32-977c-97382c8b689b,wedding,action_2,50,posterior,34
4b020849-0757-596f-a2e0-a69462ee1c50,fair,action_1,50,prior,79
4b020849-0757-596f-a2e0-a69462ee1c50,fair,action_1,50,posterior,16
4b020849-0757-596f-a2e0-a69462ee1c50,oysters,action_1,0,prior,17
4b020849-0757-596f-a2e0-a69462ee1c50,oysters,action_1,0,posterior,15
4b020849-0757-596f-a2e0-a69462ee1c50,birthday,action_2,50,prior,8
4b020849-0757-596f-a2e0-a69462ee1c50,birthday,action_2,50,posterior,85
4b020849-0757-596f-a2e0-a69462ee1c50,hike,action_1,100,prior,50
4b020849-0757-596f-a2e0-a69462ee1c50,hike,action_1,100,posterior,10
4b020849-0757-596f-a2e0-a69462ee1c50,soup,action_1,75,prior,35
4b020849-0757-596f-a2e0-a69462ee1c50,soup,action_1,75,posterior,15
4b020849-0757-596f-a2e0-a69462ee1c50,takeout,action_2,100,prior,11
4b020849-0757-596f-a2e0-a69462ee1c50,takeout,action_2,100,posterior,91
4b020849-0757-596f-a2e0-a69462ee1c50,brunch,action_2,75,prior,79
4b020849-0757-596f-a2e0-a69462ee1c50,brunch,action_2,75,posterior,56
4b020849-0757-596f-a2e0-a69462ee1c50,social,action_1,50,prior,10
4b020849-0757-596f-a2e0-a69462ee1c50,social,action_1,50,posterior,15
