subject_id,scenario_label,action_condition,reward_condition,stage,intimacy_rating
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,brunch,action_0,high,prior,61
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,brunch,action_0,high,posterior,53
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,gala,action_2,high,prior,34
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,gala,action_2,high,posterior,52
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,dip,action_1,high,prior,74
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,dip,action_1,high,posterior,60
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,fair,action_2,low,prior,56
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,fair,action_2,low,posterior,70
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,wedding,action_3,high,prior,44
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,wedding,action_3,high,posterior,92
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,birthday,action_0,low,prior,52
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,birthday,action_0,low,posterior,38
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,hike,action_2,high,prior,65
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,hike,action_2,high,posterior,60
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,soup,action_3,high,prior,43
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,soup,action_3,high,posterior,90
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,apples,action_1,low,prior,53
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,apples,action_1,low,posterior,71
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,cooking,action_1,low,prior,66
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,cooking,action_1,low,posterior,53
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,drinks,action_1,high,prior,53
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,drinks,action_1,high,posterior,77
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,basketball,action_0,low,prior,73
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,basketball,action_0,low,posterior,67
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,driving,action_2,low,prior,58
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,driving,action_2,low,posterior,74
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,oysters,action_3,low,prior,61
c6fde83e-12d0-5c5a-b363-db6bc3ce5609,oysters,action_3,low,posterior,97
