subject_id,scenario_label,action_condition,motivation,stage,intimacy_rating
01c2055b-acd3-5870-8e46-ecf3de87a8fb,apples,action_2,low,posterior,70
01c2055b-acd3-5870-8e46-ecf3de87a8fb,apples,action_2,low,prior,65
01c2055b-acd3-5870-8e46-ecf3de87a8fb,basketball,action_1,low,posterior,32
01c2055b-acd3-5870-8e46-ecf3de87a8fb,basketball,action_1,low,prior,42
01c2055b-acd3-5870-8e46-ecf3de87a8fb,birthday,action_1,low,posterior,50
01c2055b-acd3-5870-8e46-ecf3de87a8fb,birthday,action_1,low,prior,34
01c2055b-acd3-5870-8e46-ecf3de87a8fb,brunch,action_1,high,posterior,50
01c2055b-acd3-5870-8e46-ecf3de87a8fb,brunch,action_1,high,prior,61
01c2055b-acd3-5870-8e46-ecf3de87a8fb,cooking,action_2,low,posterior,90
01c2055b-acd3-5870-8e46-ecf3de87a8fb,cooking,action_2,low,prior,54
01c2055b-acd3-5870-8e46-ecf3de87a8fb,dip,action_2,high,posterior,94
01c2055b-acd3-5870-8e46-ecf3de87a8fb,dip,action_2,high,prior,50
01c2055b-acd3-5870-8e46-ecf3de87a8fb,drinks,action_2,high,posterior,61
01c2055b-acd3-5870-8e46-ecf3de87a8fb,drinks,action_2,high,prior,62
01c2055b-acd3-5870-8e46-ecf3de87a8fb,driving,action_3,low,posterior,100
01c2055b-acd3-5870-8e46-ecf3de87a8fb,driving,action_3,low,prior,53
01c2055b-acd3-5870-8e46-ecf3de87a8fb,fair,action_3,low,posterior,99
01c2055b-acd3-5870-8e46-ecf3de87a8fb,fair,action_3,low,prior,67
01c2055b-acd3-5870-8e46-ecf3de87a8fb,gala,action_3,high,posterior,100
01c2055b-acd3-5870-8e46-ecf3de87a8fb,gala,action_3,high,prior,61
01c2055b-acd3-5870-8e46-ecf3de87a8fb,hike,action_3,high,posterior,79
01c2055b-acd3-5870-8e46-ecf3de87a8fb,hike,action_3,high,prior,60
01c2055b-acd3-5870-8e46-ecf3de87a8fb,oysters,action_0,low,posterior,0
01c2055b-acd3-5870-8e46-ecf3de87a8fb,oysters,action_0,low,prior,44
01c2055b-acd3-5870-8e46-ecf3de87a8fb,social,action_0,low,posterior,69
01c2055b-acd3-5870-8e46-ecf3de87a8fb,social,action_0,low,prior,63
01c2055b-acd3-5870-8e46-ecf3de87a8fb,soup,action_0,high,posterior,13
01c2055b-acd3-5870-8e46-ecf3de87a8fb,soup,action_0,high,prior,46
01c2055b-acd3-5870-8e46-ecf3de87a8fb,takeout,action_1,high,posterior,39
01c2055b-acd3-5870-8e46-ecf3de87a8fb,takeout,action_1,high,prior,39
01c2055b-acd3-5870-8e46-ecf3de87a8fb,wedding,action_0,high,posterior,10
