subject_id,scenario_label,intimacy,effort,action,p_action
01124630-c1db-5d33-add3-dd1dee859a27,apples,0,high,1,0.02
01124630-c1db-5d33-add3-dd1dee859a27,apples,0,high,2,0.98
01124630-c1db-5d33-add3-dd1dee859a27,basketball,50,high,1,0.05
01124630-c1db-5d33-add3-dd1dee859a27,basketball,50,high,2,0.95
01124630-c1db-5d33-add3-dd1dee859a27,birthday,75,low,1,0.7
01124630-c1db-5d33-add3-dd1dee859a27,birthday,75,low,2,0.3
01124630-c1db-5d33-add3-dd1dee859a27,brunch,100,low,1,0.0
01124630-c1db-5d33-add3-dd1dee859a27,brunch,100,low,2,1.0
01124630-c1db-5d33-add3-dd1dee859a27,cooking,75,low,1,0.9
01124630-c1db-5d33-add3-dd1dee859a27,cooking,75,low,2,0.1
01124630-c1db-5d33-add3-dd1dee859a27,dip,50,low,1,0.25
01124630-c1db-5d33-add3-dd1dee859a27,dip,50,low,2,0.75
01124630-c1db-5d33-add3-dd1dee859a27,drinks,0,low,1,0.5
01124630-c1db-5d33-add3-dd1dee859a27,drinks,0,low,2,0.5
01124630-c1db-5d33-add3-dd1dee859a27,driving,50,low,1,0.8
01124630-c1db-5d33-add3-dd1dee859a27,driving,50,low,2,0.2
01124630-c1db-5d33-add3-dd1dee859a27,fair,50,high,1,0.3
01124630-c1db-5d33-add3-dd1dee859a27,fair,50,high,2,0.7
01124630-c1db-5d33-add3-dd1dee859a27,gala,100,high,1,0.0
01124630-c1db-5d33-add3-dd1dee859a27,gala,100,high,2,1.0
01124630-c1db-5d33-add3-dd1dee859a27,hike,100,low,1,0.85
01124630-c1db-5d33-add3-dd1dee859a27,hike,100,low,2,0.15
01124630-c1db-5d33-add3-dd1dee859a27,oysters,75,high,1,0.3
01124630-c1db-5d33-add3-dd1dee859a27,oysters,75,high,2,0.7
01124630-c1db-5d33-add3-dd1dee859a27,social,75,high,1,0.05
01124630-c1db-5d33-add3-dd1dee859a27,social,75,high,2,0.95
01124630-c1db-5d33-add3-dd1dee859a27,soup,0,high,1,0.03
01124630-c1db-5d33-add3-dd1dee859a27,soup,0,high,2,0.97
01124630-c1db-5d33-add3-dd1dee859a27,takeout,0,low,1,1.0
01124630-c1db-5d33-add3-dd1dee859a27,takeout,0,low,2,0.0
01124630-c1db-5d33-add3-dd1dee859a27,wedding,100,high,1,0.0
01124630-c1db-5d33-add3-dd1dee859a27,wedding,100,high,2,1.0
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,1,0.15
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,2,0.85
2d603083-5409-5572-9c66-9fd9132da339,basketball,100,high,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,basketball,100,high,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,birthday,0,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,birthday,0,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,brunch,50,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,brunch,50,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,cooking,0,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,cooking,0,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,dip,100,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,dip,100,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,drinks,75,low,1,0.0
2d603083-5409-5572-9c66-9fd9132da339,drinks,75,low,2,1.0
2d603083-5409-5572-9c66-9fd9132da339,driving,100,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,driving,100,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,fair,100,high,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,fair,100,high,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,gala,50,high,1,0.48
2d603083-5409-5572-9c66-9fd9132da339,gala,50,high,2,0.52
2d603083-5409-5572-9c66-9fd9132da339,hike,50,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,hike,50,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,oysters,0,high,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,oysters,0,high,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,social,0,high,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,social,0,high,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,soup,75,high,1,0.21
2d603083-5409-5572-9c66-9fd9132da339,soup,75,high,2,0.79
2d603083-5409-5572-9c66-9fd9132da339,takeout,75,low,1,1.0
2d603083-5409-5572-9c66-9fd9132da339,takeout,75,low,2,0.0
2d603083-5409-5572-9c66-9fd9132da339,wedding,50,high,1,0.0
2d603083-5409-5572-9c66-9fd9132da339,wedding,50,high,2,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,apples,100,low,1,0.5
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,apples,100,low,2,0.5
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,basketball,0,low,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,basketball,0,low,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,birthday,0,high,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,birthday,0,high,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,brunch,50,high,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,brunch,50,high,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,cooking,0,high,1,0.95
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,cooking,0,high,2,0.05
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,dip,100,high,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,dip,100,high,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,drinks,75,high,1,0.9
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,drinks,75,high,2,0.1
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,driving,100,high,1,0.82
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,driving,100,high,2,0.18
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,fair,0,low,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,fair,0,low,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,gala,75,low,1,0.8
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,gala,75,low,2,0.2
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,hike,50,high,1,0.75
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,hike,50,high,2,0.25
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,oysters,50,low,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,oysters,50,low,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,social,50,low,1,0.75
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,social,50,low,2,0.25
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,soup,100,low,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,soup,100,low,2,0.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,takeout,75,high,1,0.1
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,takeout,75,high,2,0.9
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,wedding,75,low,1,1.0
34dd2dc6-a669-5aaa-96ed-3d258b0aff7f,wedding,75,low,2,0.0
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,apples,50,high,1,0.4
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,apples,50,high,2,0.6
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,basketball,0,low,1,0.98
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,basketball,0,low,2,0.02
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,birthday,0,high,1,0.77
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,birthday,0,high,2,0.23
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,brunch,0,high,1,0.95
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,brunch,0,high,2,0.05
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,cooking,50,low,1,0.99
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,cooking,50,low,2,0.01
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,dip,50,high,1,0.9
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,dip,50,high,2,0.1
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,drinks,75,low,1,0.1
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,drinks,75,low,2,0.9
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,driving,75,low,1,0.75
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,driving,75,low,2,0.25
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,fair,75,high,1,0.32
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,fair,75,high,2,0.68
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,gala,75,high,1,0.07
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,gala,75,high,2,0.93
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,hike,100,low,1,0.91
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,hike,100,low,2,0.09
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,oysters,100,low,1,0.7
