subject_id,scenario_label,action_condition,effort_condition,intimacy_condition,stage,response
39c410f8-4466-563b-88eb-0566b1ed9b2d,takeout,high_risk_share,low,neither,prior,0.8
39c410f8-4466-563b-88eb-0566b1ed9b2d,takeout,high_risk_share,low,neither,posterior,0.9
39c410f8-4466-563b-88eb-0566b1ed9b2d,wedding,low_risk_share,low,max_intimate,prior,0.97
39c410f8-4466-563b-88eb-0566b1ed9b2d,wedding,low_risk_share,low,max_intimate,posterior,0.99
39c410f8-4466-563b-88eb-0566b1ed9b2d,hike,no_share,high,neither,prior,0.77
39c410f8-4466-563b-88eb-0566b1ed9b2d,hike,no_share,high,neither,posterior,0.62
39c410f8-4466-563b-88eb-0566b1ed9b2d,apples,no_share,low,max_formal,prior,0.89
39c410f8-4466-563b-88eb-0566b1ed9b2d,apples,no_share,low,max_formal,posterior,0.52
39c410f8-4466-563b-88eb-0566b1ed9b2d,cooking,no_share,low,max_intimate,prior,0.93
39c410f8-4466-563b-88eb-0566b1ed9b2d,cooking,no_share,low,max_intimate,posterior,0.64
39c410f8-4466-563b-88eb-0566b1ed9b2d,dip,low_risk_share,high,somewhat_intimate,prior,0.7
39c410f8-4466-563b-88eb-0566b1ed9b2d,dip,low_risk_share,high,somewhat_intimate,posterior,0.95
39c410f8-4466-563b-88eb-0566b1ed9b2d,birthday,high_risk_share,low,somewhat_intimate,prior,0.77
39c410f8-4466-563b-88eb-0566b1ed9b2d,birthday,high_risk_share,low,somewhat_intimate,posterior,0.86
39c410f8-4466-563b-88eb-0566b1ed9b2d,oysters,high_risk_share,high,somewhat_intimate,prior,0.61
39c410f8-4466-563b-88eb-0566b1ed9b2d,oysters,high_risk_share,high,somewhat_intimate,posterior,0.93
39c410f8-4466-563b-88eb-0566b1ed9b2d,driving,no_share,high,max_intimate,prior,0.89
39c410f8-4466-563b-88eb-0566b1ed9b2d,driving,no_share,high,max_intimate,posterior,0.61
39c410f8-4466-563b-88eb-0566b1ed9b2d,social,high_risk_share,high,neither,prior,0.74
39c410f8-4466-563b-88eb-0566b1ed9b2d,social,high_risk_share,high,neither,posterior,0.95
39c410f8-4466-563b-88eb-0566b1ed9b2d,brunch,low_risk_share,low,somewhat_intimate,prior,0.72
39c410f8-4466-563b-88eb-0566b1ed9b2d,brunch,low_risk_share,low,somewhat_intimate,posterior,0.96
39c410f8-4466-563b-88eb-0566b1ed9b2d,soup,low_risk_share,low,max_formal,prior,0.81
39c410f8-4466-563b-88eb-0566b1ed9b2d,soup,low_risk_share,low,max_formal,posterior,0.94
39c410f8-4466-563b-88eb-0566b1ed9b2d,gala,high_risk_share,low,max_intimate,prior,0.94
39c410f8-4466-563b-88eb-0566b1ed9b2d,gala,high_risk_share,low,max_intimate,posterior,0.98
39c410f8-4466-563b-88eb-0566b1ed9b2d,drinks,low_risk_share,high,max_formal,prior,0.68
39c410f8-4466-563b-88eb-0566b1ed9b2d,drinks,low_risk_share,high,max_formal,posterior,0.79
39c410f8-4466-563b-88eb-0566b1ed9b2d,basketball,no_share,low,somewhat_intimate,prior,0.74
39c410f8-4466-563b-88eb-0566b1ed9b2d,basketball,no_share,low,somewhat_intimate,posterior,0.24
39c410f8-4466-563b-88eb-0566b1ed9b2d,fair,low_risk_share,low,neither,prior,0.92
39c410f8-4466-563b-88eb-0566b1ed9b2d,fair,low_risk_share,low,neither,posterior,0.89
2f7f831a-1131-5880-aeb3-d09faee78459,dip,low_risk_share,low,somewhat_intimate,prior,0.77
2f7f831a-1131-5880-aeb3-d09faee78459,dip,low_risk_share,low,somewhat_intimate,posterior,0.77
2f7f831a-1131-5880-aeb3-d09faee78459,cooking,high_risk_share,high,max_formal,prior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,cooking,high_risk_share,high,max_formal,posterior,0.23
2f7f831a-1131-5880-aeb3-d09faee78459,birthday,high_risk_share,low,somewhat_intimate,prior,0.77
2f7f831a-1131-5880-aeb3-d09faee78459,birthday,high_risk_share,low,somewhat_intimate,posterior,0.85
2f7f831a-1131-5880-aeb3-d09faee78459,wedding,high_risk_share,high,neither,prior,1.0
2f7f831a-1131-5880-aeb3-d09faee78459,wedding,high_risk_share,high,neither,posterior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,brunch,high_risk_share,low,max_intimate,prior,0.94
2f7f831a-1131-5880-aeb3-d09faee78459,brunch,high_risk_share,low,max_intimate,posterior,0.97
2f7f831a-1131-5880-aeb3-d09faee78459,gala,no_share,high,somewhat_intimate,prior,0.89
2f7f831a-1131-5880-aeb3-d09faee78459,gala,no_share,high,somewhat_intimate,posterior,0.79
2f7f831a-1131-5880-aeb3-d09faee78459,apples,no_share,low,neither,prior,0.89
2f7f831a-1131-5880-aeb3-d09faee78459,apples,no_share,low,neither,posterior,0.78
2f7f831a-1131-5880-aeb3-d09faee78459,hike,no_share,high,max_formal,prior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,hike,no_share,high,max_formal,posterior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,soup,high_risk_share,low,max_formal,prior,0.91
2f7f831a-1131-5880-aeb3-d09faee78459,soup,high_risk_share,low,max_formal,posterior,0.16
2f7f831a-1131-5880-aeb3-d09faee78459,fair,no_share,high,max_intimate,prior,0.92
2f7f831a-1131-5880-aeb3-d09faee78459,fair,no_share,high,max_intimate,posterior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,social,low_risk_share,high,max_intimate,prior,0.78
2f7f831a-1131-5880-aeb3-d09faee78459,social,low_risk_share,high,max_intimate,posterior,0.84
2f7f831a-1131-5880-aeb3-d09faee78459,basketball,high_risk_share,high,max_intimate,prior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,basketball,high_risk_share,high,max_intimate,posterior,0.75
2f7f831a-1131-5880-aeb3-d09faee78459,driving,low_risk_share,low,neither,prior,0.5
2f7f831a-1131-5880-aeb3-d09faee78459,driving,low_risk_share,low,neither,posterior,0.76
2f7f831a-1131-5880-aeb3-d09faee78459,drinks,low_risk_share,low,max_formal,prior,0.77
2f7f831a-1131-5880-aeb3-d09faee78459,drinks,low_risk_share,low,max_formal,posterior,0.85
2f7f831a-1131-5880-aeb3-d09faee78459,oysters,high_risk_share,low,neither,prior,0.77
2f7f831a-1131-5880-aeb3-d09faee78459,oysters,high_risk_share,low,neither,posterior,0.24
2f7f831a-1131-5880-aeb3-d09faee78459,takeout,low_risk_share,high,neither,prior,0.5
