subject_id,gender,age,understood,comments,attention_passed,memory_correct_count,comprehension_attempt
65d4ef84-feb9-515c-b271-eddbe23f3b62,male,38,yes,,True,3,1
2206f2a4-e560-5e22-bbcf-6efafe7ee925,male,52,yes,,True,3,2
62a92b72-85a3-5e00-84c3-e622cfb08197,female,25,yes,none,True,3,3
abdbcf08-87dd-54b9-86f0-be6b02de14fa,female,57,yes,Have a great day!!,True,3,3
b977fef4-805a-54ae-b2b4-52273dec36a0,male,63,yes,,True,3,1
77efaaef-2c14-5736-b2c3-c7ce97504790,female,49,yes,,True,3,1
325ab20e-65b5-56b8-ae2a-38d61fd34aaa,female,44,yes,,True,3,1
aa90ddf6-6f3e-549f-8b50-405baf4361f5,female,39,yes,Great survey,True,3,2
bf9ebd7b-1e8d-59e8-80c8-d6cb425bd08d,female,30,yes,,True,3,2
d317376f-1625-5280-a7bd-394d0add7400,female,34,yes,none,True,3,1
a7b9f864-93be-55ff-8611-6c9816188287,male,42,yes,,True,3,1
797c16fc-4869-5d4c-8997-951093832ca0,female,35,yes,"Some of these were easier to infer; others were more difficult. I liked the format of the attention check, that incorrect answers don't end the study, and you still have an opportunity to get paid.",True,3,1
febc130c-e580-57b7-8a77-8d796d8ec2f5,female,23,yes,,True,3,2
c5413e26-2318-5366-95da-42e5dd7230d6,female,29,yes,,True,3,1
1ae780d5-297c-53c9-908c-42c961e5edea,female,48,yes,,True,3,3
0dc5d2ba-0305-5449-8071-2c5b0f13ab40,male,37,yes,N/A,True,2,1
36f53a78-c9f7-524f-acd6-dfdfa3cbe359,female,40,yes,,True,2,3
fa875fb9-091c-597d-bf78-388cb9cdd26f,male,31,yes,,True,3,1
29e604df-285b-5182-ae20-30e7ee167f21,female,63,yes,,True,3,1
3812a47a-d392-59e1-b194-b5e985822672,female,30,yes,,True,3,1
8493a55c-2129-5e94-8ede-9475e26eea83,female,62,yes,I appreciate the dark font. The only way I'd be a scammer is if someone hacked into my account. I'm glad I have good memory. ,True,3,1
9f2816f4-2f46-5ca0-b92b-993f153e4b4a,male,55,yes,,True,2,1
bd967bd1-bd00-52dc-a776-95ecee88d2d9,female,31,yes,"None at this time, other than this was super interesting. ",True,3,1
e6735a48-2238-5d5e-8304-46664b4f9434,female,41,yes,,True,3,2
0a962052-8f0e-59bd-bf20-1d3af3322bba,female,19,yes,,True,3,3
5e4aaf2f-a63f-58de-b73b-faa14c072387,male,40,yes,,True,3,2
e283e1bb-89c6-5a83-9439-5ea4737bafb3,female,44,yes,,True,3,2
faca052d-4569-571d-b308-b834435f1826,female,58,yes,,True,2,1
e716d8f8-dc5e-5d52-b784-7aa007a97d09,male,28,yes,The study was great and engaging.,True,3,1
34d5e951-7206-5ce6-89e7-b35dd23eb28e,female,61,yes,This was interesting - I appreciated the scenario's.  Have a nice weekend.,True,3,1
67cf6bd0-538c-5aae-bfb5-805e843568b9,male,31,yes,,True,3,1
ced0ef6d-94a3-5b58-9b71-f7ee0c73d546,female,40,yes,na,True,1,1
bf700e30-ce39-59e4-9b7d-cf6fc0126c89,male,46,yes,This survey made no sense. ,True,3,1
2584b0ab-05cf-553e-bf9d-02061f69453b,female,64,yes,,True,3,1
d6f0f40b-64f3-56ed-aa8b-892a3ff5e3c0,male,42,yes,,True,3,1
3f585fbf-f856-5b1d-b241-79cdf040b7b0,female,41,yes,none,True,3,3
2234c7ff-bf0a-5157-ad1d-e5941e189570,male,55,yes,,True,3,2
0c2705a8-ad7c-5e2c-939e-00821290da69,female,29,yes,,True,3,1
fc0b1617-20f2-5e99-97b5-342a1720b5ac,female,61,yes,,True,3,1
