subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
0ca7ef6c-69f2-548b-b201-2465d5231c73,bed,12,no_share,max_intimate,posterior,0.44,0.15
0ca7ef6c-69f2-548b-b201-2465d5231c73,bed,12,no_share,max_intimate,prior,0.93,0.5
0ca7ef6c-69f2-548b-b201-2465d5231c73,blanket,3,high_risk_share,somewhat_intimate,posterior,0.79,0.6
0ca7ef6c-69f2-548b-b201-2465d5231c73,blanket,3,high_risk_share,somewhat_intimate,prior,0.86,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,breakup,9,no_share,max_intimate,posterior,0.13,0.72
0ca7ef6c-69f2-548b-b201-2465d5231c73,breakup,9,no_share,max_intimate,prior,0.53,0.48
0ca7ef6c-69f2-548b-b201-2465d5231c73,chapstick,0,high_risk_share,somewhat_formal,posterior,0.84,0.9
0ca7ef6c-69f2-548b-b201-2465d5231c73,chapstick,0,high_risk_share,somewhat_formal,prior,0.68,0.2
0ca7ef6c-69f2-548b-b201-2465d5231c73,earbuds,2,low_risk_share,somewhat_intimate,posterior,0.98,0.07
0ca7ef6c-69f2-548b-b201-2465d5231c73,earbuds,2,low_risk_share,somewhat_intimate,prior,0.92,0.45
0ca7ef6c-69f2-548b-b201-2465d5231c73,gossip,8,no_share,somewhat_intimate,posterior,0.14,0.89
0ca7ef6c-69f2-548b-b201-2465d5231c73,gossip,8,no_share,somewhat_intimate,prior,0.75,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,hairbrush,10,high_risk_share,somewhat_intimate,posterior,0.71,0.07
0ca7ef6c-69f2-548b-b201-2465d5231c73,hairbrush,10,high_risk_share,somewhat_intimate,prior,0.71,0.37
0ca7ef6c-69f2-548b-b201-2465d5231c73,harmonica,6,no_share,max_formal,posterior,0.43,0.54
0ca7ef6c-69f2-548b-b201-2465d5231c73,harmonica,6,no_share,max_formal,prior,0.58,0.56
0ca7ef6c-69f2-548b-b201-2465d5231c73,home,14,low_risk_share,somewhat_formal,posterior,0.75,0.21
0ca7ef6c-69f2-548b-b201-2465d5231c73,home,14,low_risk_share,somewhat_formal,prior,0.82,0.42
0ca7ef6c-69f2-548b-b201-2465d5231c73,locker-room,7,no_share,somewhat_formal,posterior,0.42,0.84
0ca7ef6c-69f2-548b-b201-2465d5231c73,locker-room,7,no_share,somewhat_formal,prior,0.52,0.49
0ca7ef6c-69f2-548b-b201-2465d5231c73,navigation,15,no_share,max_formal,posterior,0.38,0.66
0ca7ef6c-69f2-548b-b201-2465d5231c73,navigation,15,no_share,max_formal,prior,0.72,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,salary,4,high_risk_share,max_formal,posterior,0.8,0.26
0ca7ef6c-69f2-548b-b201-2465d5231c73,salary,4,high_risk_share,max_formal,prior,0.55,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,sauna,5,low_risk_share,somewhat_formal,posterior,0.62,0.31
0ca7ef6c-69f2-548b-b201-2465d5231c73,sauna,5,low_risk_share,somewhat_formal,prior,0.56,0.5
0ca7ef6c-69f2-548b-b201-2465d5231c73,sleeping-bag,13,high_risk_share,max_intimate,posterior,0.74,0.69
0ca7ef6c-69f2-548b-b201-2465d5231c73,sleeping-bag,13,high_risk_share,max_intimate,prior,0.83,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,sunscreen,1,low_risk_share,max_formal,posterior,0.95,0.06
0ca7ef6c-69f2-548b-b201-2465d5231c73,sunscreen,1,low_risk_share,max_formal,prior,0.9,0.51
0ca7ef6c-69f2-548b-b201-2465d5231c73,towel,11,low_risk_share,max_intimate,posterior,0.86,0.37
0ca7ef6c-69f2-548b-b201-2465d5231c73,towel,11,low_risk_share,max_intimate,prior,0.88,0.52
2155eec6-925c-5a2c-9428-eb59a1872b7e,bed,13,low_risk_share,somewhat_intimate,posterior,1.0,0.16
2155eec6-925c-5a2c-9428-eb59a1872b7e,bed,13,low_risk_share,somewhat_intimate,prior,0.61,0.55
2155eec6-925c-5a2c-9428-eb59a1872b7e,blanket,14,low_risk_share,somewhat_formal,posterior,1.0,0.0
2155eec6-925c-5a2c-9428-eb59a1872b7e,blanket,14,low_risk_share,somewhat_formal,prior,0.79,0.61
2155eec6-925c-5a2c-9428-eb59a1872b7e,breakup,5,low_risk_share,max_intimate,posterior,1.0,0.28
2155eec6-925c-5a2c-9428-eb59a1872b7e,breakup,5,low_risk_share,max_intimate,prior,0.38,0.58
2155eec6-925c-5a2c-9428-eb59a1872b7e,chapstick,3,low_risk_share,somewhat_intimate,posterior,1.0,0.18
2155eec6-925c-5a2c-9428-eb59a1872b7e,chapstick,3,low_risk_share,somewhat_intimate,prior,0.61,0.38
2155eec6-925c-5a2c-9428-eb59a1872b7e,earbuds,1,no_share,max_intimate,posterior,0.62,0.62
2155eec6-925c-5a2c-9428-eb59a1872b7e,earbuds,1,no_share,max_intimate,prior,1.0,0.31
2155eec6-925c-5a2c-9428-eb59a1872b7e,gossip,11,low_risk_share,max_formal,posterior,0.63,0.42
2155eec6-925c-5a2c-9428-eb59a1872b7e,gossip,11,low_risk_share,max_formal,prior,0.56,0.44
