scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,not_close,0,0,21,1.1904761904761905,1,1.1867167327712635,1.428726708074534
basketball,not_close,0,1,21,1.7142857142857142,1.2,1.7036297722337708,2.368585526315789
basketball,not_close,0,2,21,4.9523809523809526,4.2105263157894735,4.960992429146067,5.681877990430622
basketball,not_close,0,3,21,6.238095238095238,5.75,6.247687578629341,6.705882352941177
basketball,somewhat_close,1,0,22,1.8636363636363638,1.3570378151260505,1.8669783906435924,2.5
basketball,somewhat_close,1,1,22,1.772727272727273,1.25,1.7745685158386337,2.4378124999999997
basketball,somewhat_close,1,2,22,3.2727272727272725,2.44,3.2541127304951423,4.050065789473684
basketball,somewhat_close,1,3,22,4.681818181818182,3.944362745098039,4.687242502592401,5.444696969696969
basketball,close,2,0,24,1.4583333333333333,1.1762254901960785,1.4534344558409675,1.8181818181818181
basketball,close,2,1,24,1.7916666666666665,1.2173136645962734,1.7892075057158392,2.5
basketball,close,2,2,24,3.3333333333333335,2.68,3.359653598390405,4.043641304347826
basketball,close,2,3,24,4,3.3328947368421056,4.002590766457404,4.714484126984127
basketball,extremely_close,3,0,22,1.1363636363636365,1,1.1376429323801227,1.3043478260869565
basketball,extremely_close,3,1,22,1.0454545454545454,1,1.0447648690812201,1.1538461538461537
basketball,extremely_close,3,2,22,2.5454545454545454,2,2.538585098311456,3.1052631578947367
basketball,extremely_close,3,3,22,3.8181818181818183,3.05,3.8124605693011238,4.625115740740741
birthday,not_close,0,0,22,1.2727272727272727,1.0625,1.2658440939141191,1.5
birthday,not_close,0,1,22,1.6818181818181819,1.2605978260869566,1.6798363492862718,2.269999999999999
birthday,not_close,0,2,22,4.090909090909091,3.5,4.096565766494183,4.714285714285714
birthday,not_close,0,3,22,5.363636363636363,4.618956043956043,5.36145880664031,6.069027093596058
birthday,somewhat_close,1,0,22,1.9545454545454546,1.4116978609625668,1.963797926009976,2.6156249999999996
birthday,somewhat_close,1,1,22,1.727272727272727,1.2105263157894737,1.72806933337629,2.4212406015037593
birthday,somewhat_close,1,2,22,3.090909090909091,2.666304347826087,3.104906017213582,3.5714285714285716
birthday,somewhat_close,1,3,22,5.318181818181818,4.608478260869565,5.302434019786269,5.9048701298701305
birthday,close,2,0,24,1.6666666666666665,1.2272727272727273,1.6795392501728097,2.3
birthday,close,2,1,24,1.2083333333333333,1.0416666666666667,1.2134343067734075,1.4285714285714286
birthday,close,2,2,24,2.3333333333333335,1.639909090909091,2.31724531498447,3.0914141414141407
birthday,close,2,3,24,3.6666666666666665,2.8181818181818183,3.675609283533824,4.583455882352942
birthday,extremely_close,3,0,21,1.4761904761904763,1.105263157894737,1.4810153089327287,1.9131340579710148
birthday,extremely_close,3,1,21,1.4285714285714284,1.0525657894736842,1.4368570919233261,2.0454545454545454
birthday,extremely_close,3,2,21,2.1904761904761907,1.6666666666666667,2.1853505843544645,2.7502976190476187
birthday,extremely_close,3,3,21,3.5238095238095237,2.8124255952380954,3.5477712468794245,4.3462499999999995
brunch,not_close,0,0,24,1,1,1,1
brunch,not_close,0,1,24,1.5,1.21047149122807,1.4975619658944914,1.8335
brunch,not_close,0,2,24,2.7083333333333335,2.0796666666666668,2.71122181455689,3.435024154589372
brunch,not_close,0,3,24,4.916666666666667,4.370039682539683,4.926603103216567,5.470665634674923
brunch,somewhat_close,1,0,26,1.1923076923076923,1.0333333333333334,1.1909469363430856,1.4003448275862065
brunch,somewhat_close,1,1,26,1.5384615384615385,1.1428571428571428,1.5297294999025446,2.0385869565217387
brunch,somewhat_close,1,2,26,2.1923076923076925,1.6296031746031745,2.200733053017583,2.8697010869565216
brunch,somewhat_close,1,3,26,3.769230769230769,3.2,3.7653307896662866,4.318181818181818
brunch,close,2,0,21,1.380952380952381,1,1.381987453471937,1.909280303030303
brunch,close,2,1,21,1.4285714285714284,1.045405138339921,1.4352950307676982,1.9512499999999988
brunch,close,2,2,21,2.142857142857143,1.5,2.1582940593641955,2.8700483091787437
brunch,close,2,3,21,3.0476190476190474,2.2603002070393376,3.0374227162421574,3.9412581699346405
brunch,extremely_close,3,0,18,1.5,1.083173076923077,1.5085612761320597,2.001086956521738
brunch,extremely_close,3,1,18,1.1111111111111112,1,1.1135575952365158,1.3751488095238094
brunch,extremely_close,3,2,18,1.5555555555555556,1.2,1.559018214489057,2
brunch,extremely_close,3,3,18,2.1666666666666665,1.5333333333333334,2.1783171508280867,2.9334374999999997
conference,not_close,0,0,21,2.0952380952380953,1.4397142857142855,2.094862294402339,2.8573809523809524
conference,not_close,0,1,21,1.2857142857142858,1,1.2829915968946635,1.8130208333333329
conference,not_close,0,2,21,5.190476190476191,4.523809523809524,5.204313986607142,5.9
conference,not_close,0,3,21,6.285714285714286,5.666666666666667,6.273008731425007,6.765032679738562
conference,somewhat_close,1,0,22,1.3636363636363638,1.08,1.366896799938748,1.7059436274509803
conference,somewhat_close,1,1,22,1.2727272727272727,1.0769230769230769,1.2755028904830827,1.5418749999999999
conference,somewhat_close,1,2,22,3.3636363636363638,2.692105263157895,3.336642294578112,4.040086956521739
conference,somewhat_close,1,3,22,5.136363636363637,4.293014705882353,5.136397595305387,5.8423026315789475
conference,close,2,0,23,1.391304347826087,1.062326388888889,1.3919108484557536,1.8574534161490677
conference,close,2,1,23,1.5217391304347827,1.0453598484848485,1.5143798221048952,2.066666666666667
conference,close,2,2,23,2.782608695652174,2.083173076923077,2.7660515798042615,3.5200952380952377
conference,close,2,3,23,4.478260869565218,3.8092857142857137,4.4762122668892514,5.136525974025974
conference,extremely_close,3,0,23,1.434782608695652,1.0909090909090908,1.4327184541992446,1.9
conference,extremely_close,3,1,23,1.6956521739130437,1.1904761904761905,1.6994796492715256,2.347826086956522
conference,extremely_close,3,2,23,2.5217391304347827,1.9523214285714285,2.509932386234531,3.087163561076604
conference,extremely_close,3,3,23,3.8260869565217392,3.074074074074074,3.828007729404976,4.666964285714286
cooking,not_close,0,0,20,2.2,1.5497916666666667,2.2018466305588853,3
