subject_id,gender,age,understood,comments,attention_passed,memory_correct_count
c838fb8b-9e03-545d-8f5e-8a8e58450767,male,47,yes,I have no other comments or suggestions for now,True,3
8488d1e0-f549-50fb-b532-237e8f6611b5,male,32,yes,I had a great time completing the survey,True,3
16256509-5d45-5656-91f4-4abdcc0ff109,female,74,yes,"it was fun, thanks!",True,3
f2e8a54d-9839-5bfd-8afe-e4e25056b0e8,female,50,yes,,True,2
c1e13cda-255f-5683-97f5-9b7f44c13a90,male,39,yes,,True,2
861e836a-2029-5d31-b76e-a9cacb94f3ab,female,65,yes,,True,3
7204608a-e3c1-5f78-bdf5-abca20adadfa,female,37,yes,,True,3
14b451a2-87af-59d0-9f7a-c78d2cc2a42b,male,53,yes,,True,3
e1994536-1d1a-532d-ba66-8669c20bc029,female,30,yes,Nope!,True,1
789fcd36-f99a-5738-bf43-a770fdfdf134,male,32,yes,no,True,2
a8d798dc-b3f3-5fcd-952a-11018a266734,female,46,yes,no,True,2
fbae9a90-912a-505a-94e7-4d26bddb6e42,female,41,yes,,True,1
d774e64e-a270-5ef5-94f3-358d6adf906b,male,33,yes,,True,0
6e20e21e-b7bf-5bad-9aa3-fc8d9d83a6f2,male,41,yes,,True,3
6fd951bf-dfc5-599b-8eda-f12b06587ca4,male,35,yes,"Everything went fine, there's nothing I'd change.  ",True,3
ad2ad9f3-4676-5200-979f-67450d7bff5a,female,27,yes,No,True,3
753032a1-95a4-5789-b1cb-77bee08a4f74,male,43,yes,no,True,3
78231e96-9b51-54b1-8bb8-1e415123201a,female,47,yes,no comment,True,2
f03bb561-fbcd-5321-923d-92168c237cc9,female,38,yes,,True,2
c2c06747-e676-539a-ad8a-40b3e9e6e9c7,male,72,yes,,True,2
b4ecb588-1461-5667-8da4-6d870a50b2b7,male,40,yes,,True,2
508b66e9-1045-5aa4-ba39-37b61827ef57,male,34,yes,N/A,True,3
a5afb998-b149-586b-b573-3f86416c05a4,female,29,yes,,True,3
09b78a27-08bd-54b9-8789-4e1ba7a941ab,female,70,yes,"I enjoyed participating in your study , it was very interesting , and I sincerely hope my responses help with your research. Thank you and have a nice evening !",True,2
491997f4-03a8-5bc5-9a2b-7990c085373d,female,42,yes,,True,1
a94fb08f-cb0b-5d20-b353-851445ab369f,male,53,yes,n/a,True,3
8c0063dc-8583-52a0-85cd-a4270d54c3cd,female,30,yes,,True,2
f086531d-930a-5083-918f-8c4238cc673b,female,57,yes,,True,2
626cb853-98b7-5ef5-8b20-4fb73b2741dd,male,49,yes,,True,1
fd82801a-be4b-52da-9fa6-7430cee96751,male,41,yes,N/A,True,3
2b9e2825-7f97-5894-8a6c-9498837adc38,male,37,yes,n/a,True,2
43b0a1a5-8b7a-59df-b163-09934ab482da,male,30,yes,,True,1
1dfc730a-c7ee-5a48-9a74-05410fcc4207,female,58,yes,,True,1
5e1b6d7b-a3e9-5ed0-9f91-33dc7f7fd3c1,female,34,yes,,True,3
