subject_id,gender,age,understood,comments
70e5610f-8779-5ef7-9648-19c14ab650af,female,31,yes,
02368d5b-0102-5a97-889d-0296c11a6a21,female,52,yes,
c71fd6e3-9538-5f2d-8dc9-dac17a39b1c9,male,62,yes,no
99cef2a1-8ed6-5870-bc44-1924a79f9aa9,male,29,yes,
2deb19df-2ed4-5926-bc9b-c2e9fd621300,male,47,yes,
c06002c4-9b7a-5620-a877-aff327961a58,female,32,yes,
0a96bb08-7a74-5231-aafe-86ba3d88b2c3,male,42,yes,
7d5634c4-891b-5f66-921b-bdad69575f58,female,62,yes,
f7c4176f-19a3-57f3-9de4-1bdefad0ac71,female,46,yes,None
aa950ac9-3d3b-5aba-a8c2-1c41b4a62509,female,64,yes,
62a6cf4a-87ec-5cf7-b61e-c8d52561aa36,male,36,yes,None.
15ed3f5e-248b-5a44-b874-81ae11521f41,male,50,yes,
0f8d84a1-e73a-50f7-8d4c-b3ab5e621a04,nonconforming,37,yes,"I'm hoping I got the memory questions right. I have ADHD and while I can read the names and items and stuff in the scenario and understand them just fine, when presented with a multiple choice like asking what Alvin brought...both of the options were brought by at least one of the people but my brain no longer knows which person brought which items. It's really difficult. I did try my best and paid attention and I'm not a bot. So...just saying."
168db6cb-533c-5a55-8a9b-fa172ce09665,female,38,yes,
9f5a3cf9-9cb8-54fe-a67b-96817c6aec97,male,30,yes,
ca7f38a4-5404-55c5-9231-9e5c5ad55e59,female,26,yes,no
7028ec5f-a750-5de0-850d-c25a85625f39,female,54,yes,
d84243d8-2f15-5eb4-84a6-ba954d605fcb,female,33,yes,No.
4c0379b6-dc58-5abe-a7d6-58a636582975,female,33,yes,Nothing comes to mind other than it was interesting and something I've never been asked before.
08426c63-68d3-570c-9a75-2378c6e37fe4,male,25,yes,no comment
9442cf0e-3464-52f1-8b0f-e1a8c970efa5,male,49,yes,"I bet every man will answer just like I did: just eat your own food, enough with the splitting."
745db6bf-7e13-5f50-bed5-f4952345a66f,male,27,yes,no comment
f1b2880d-76b3-5e44-99a9-995fce3a4f93,female,48,yes,"Yes, this type of memory check is against Prolific guidelines. I'm not sure I got them right because the names of the people in the story, what they brought, or what event they were at were not important to what the study was asking me to do. "
27980945-baa4-5fce-af95-265c0853f167,abstain,33,yes,
306a2d3c-9cf1-5877-8261-ebe302fb89d8,male,54,yes,N/A
7be702b2-60ac-552e-8f80-0c36fdf759a4,female,34,yes,
b77696b6-5472-568c-b74f-59c07d5b9506,male,34,yes,
19faa12b-fce1-525b-b591-f4ba904f1499,male,41,yes,Not sure
0f3fc5b7-e2c1-54c9-bfa5-920caed2eb28,male,38,yes,No
e874374e-d906-5fcc-a1a8-1250ddd84222,female,29,yes,
4af7db3d-c9d2-5084-927d-9de3a821136e,male,48,yes,thank you
28848571-ef12-5f1d-adeb-7602dae458f5,female,52,yes,
f68f093c-5443-5a8e-8b7d-88c128e3a678,male,27,yes,N/A
52f0ce8b-49e4-5aed-8755-31c3b4fca6ff,male,31,yes,no
c93ab250-69fc-5861-a78e-94a91fe6b83f,female,27,yes,
8ee07482-b5ce-5730-976d-f5362bcf449e,female,47,yes,no
c31dd779-5e75-5344-8eaa-cd18542c5237,female,30,yes,
73135efd-70d3-52a6-9953-116136dcede1,male,51,yes,
25ff005b-915d-5ff4-a56f-9cfb2f95c2a0,female,51,yes,
49902f09-1bc3-5997-9811-50889c094d62,male,45,yes,
ecf1bb11-2b90-59d1-9f07-1b6d8ac3cc98,male,32,yes,
95f1d515-53b6-56e2-ba43-7f39338fcd81,female,43,yes,
7a34dfc9-b25b-57a4-ad62-f185454a250d,female,50,yes,NO
69d15e62-04e2-5210-aa56-8979435db353,male,34,yes,
86612ac8-e6c2-5018-a623-65631891c977,female,32,yes,
0aabaaae-8b78-5c4d-8917-20af76911e2f,female,23,yes,
9625209d-6f5a-5eb2-84c4-4c6d3dd5f8ff,female,28,yes,
f34ecb6a-48e6-5d82-832c-74ba3d6a0700,female,72,yes,
a5ce8004-6a48-583e-88f3-20ee89d1d865,male,58,yes,excellent
75f60a30-5bc9-534d-bcfd-820fcbca65ca,female,47,yes,
0e38bbf4-34df-56ed-a0cf-c3b1375848af,female,42,yes,Non
bd4ef406-d385-5ffd-a2eb-751c15c8a437,female,28,yes,
3d4f52cf-270e-51b6-bb4a-d2bf9832f2d5,female,29,yes,
1123a55d-4852-5b0f-a6f4-e8cb3b37a4c6,male,38,yes,interesting scenarios.  i am hungry now.  
89c56dcd-b89e-59c6-9d44-cdbc106cd305,female,51,yes,none
e4adc855-6f88-5169-a7d0-697500fa4f71,female,49,yes,
fd27d0fb-1996-5002-927e-ddf3dea01868,male,50,yes,"Apparently my short-term memory is shot, lol!"
8910cb88-f535-5e33-bf46-392d60f11f8a,female,30,yes,NA
70412ab3-0d2a-576b-9b6e-a3816f98e349,male,42,yes,why would you use irrelevant details as a memory check when the questions are about effort
