subject_id,scenario_label,action_0,action_1,action_2,action_3
70e5610f-8779-5ef7-9648-19c14ab650af,soup,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,social,0,1,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,cooking,0,1,2,0
70e5610f-8779-5ef7-9648-19c14ab650af,drinks,1,1,1,0
70e5610f-8779-5ef7-9648-19c14ab650af,driving,0,1,3,2
70e5610f-8779-5ef7-9648-19c14ab650af,conference,0,2,1,3
70e5610f-8779-5ef7-9648-19c14ab650af,brunch,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,oysters,0,3,4,4
70e5610f-8779-5ef7-9648-19c14ab650af,fair,0,3,1,2
70e5610f-8779-5ef7-9648-19c14ab650af,wedding,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,hike,0,2,1,1
70e5610f-8779-5ef7-9648-19c14ab650af,dip,1,1,1,4
70e5610f-8779-5ef7-9648-19c14ab650af,crabs,0,3,3,3
70e5610f-8779-5ef7-9648-19c14ab650af,basketball,0,3,2,2
70e5610f-8779-5ef7-9648-19c14ab650af,gala,0,1,1,2
70e5610f-8779-5ef7-9648-19c14ab650af,birthday,0,1,1,2
02368d5b-0102-5a97-889d-0296c11a6a21,hike,0,3,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,fair,1,3,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,drinks,2,2,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,conference,1,2,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,social,1,2,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,birthday,1,3,2,1
02368d5b-0102-5a97-889d-0296c11a6a21,gala,0,2,2,3
02368d5b-0102-5a97-889d-0296c11a6a21,driving,1,2,2,1
02368d5b-0102-5a97-889d-0296c11a6a21,brunch,0,3,2,2
02368d5b-0102-5a97-889d-0296c11a6a21,oysters,1,3,2,2
02368d5b-0102-5a97-889d-0296c11a6a21,basketball,1,3,1,1
02368d5b-0102-5a97-889d-0296c11a6a21,soup,1,3,3,1
02368d5b-0102-5a97-889d-0296c11a6a21,cooking,1,2,2,1
