scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,0,61,1.0327868852459017,1,1.0325426523950783,1.105263157894737
basketball,1,61,1.1311475409836065,1.0333196721311477,1.1334750366164346,1.2742831541218638
basketball,2,61,2.8852459016393444,2.6139827179890025,2.8814039602240893,3.20515873015873
basketball,3,61,4.819672131147541,4.438569078947369,4.815050597839839,5.192324561403509
birthday,0,61,1.0327868852459017,1,1.031631745479417,1.103448275862069
birthday,1,61,1.1639344262295084,1.0491412958626074,1.1615603916024186,1.3
birthday,2,61,3.0327868852459017,2.7222222222222223,3.0300738977818726,3.3686367558239856
birthday,3,61,5,4.623108695652174,5.006283030306527,5.385748847926267
brunch,0,61,1.0163934426229508,1,1.0163761451471407,1.0545707070707069
brunch,1,61,1.1639344262295082,1.0565971299495085,1.1631740766256224,1.2954755892255891
brunch,2,61,2.4262295081967213,2.124905303030303,2.431064262187658,2.7587341197822144
brunch,3,61,3.819672131147541,3.372509487666034,3.8276026407184447,4.262316652286454
conference,0,61,1.0655737704918034,1,1.064557119109734,1.218181818181818
conference,1,61,1.278688524590164,1.087700228832952,1.2798205059089216,1.5209272540983607
conference,2,61,3.901639344262295,3.5420711350796092,3.9078826292205777,4.272805642633228
conference,3,61,5.229508196721311,4.833203125000001,5.2318360826252865,5.618638492417484
cooking,0,61,1.0491803278688525,1,1.0481905715422137,1.1607142857142858
cooking,1,61,1.4426229508196722,1.2428341013824884,1.447176683090085,1.6958745059288536
cooking,2,61,3.245901639344262,2.943396226415094,3.2488782644522134,3.5652378999179652
cooking,3,61,4.573770491803279,4.176423902894491,4.575977983648144,4.968266369047619
crabs,0,61,1.0491803278688525,1,1.0479175737990425,1.1636363636363636
crabs,1,61,1.1967213114754098,1.0555555555555556,1.1946672826157922,1.3637121212121213
crabs,2,61,3.9344262295081966,3.6127980364656382,3.9377355989548772,4.268795137217141
crabs,3,61,4.622950819672131,4.265522836538462,4.62775441841872,5.016988386691776
dip,0,61,1.098360655737705,1,1.0994097778600909,1.2698412698412698
dip,1,61,2.2295081967213113,1.9128840579710145,2.2149924693271017,2.507949959644875
dip,2,61,3.1803278688524594,2.799915254237288,3.1837406660961296,3.5540178571428567
dip,3,61,4.672131147540983,4.2202652910832725,4.6636461597612,5.095912505523641
drinks,0,61,1.0983606557377048,1,1.1005663267152552,1.2858294930875576
drinks,1,61,2.245901639344262,1.9285455486542444,2.242393163251721,2.5636963979416807
drinks,2,61,3.1147540983606556,2.79984126984127,3.1117082107597955,3.458382936507937
drinks,3,61,4.508196721311475,4.142857142857143,4.506964432896476,4.873367910163684
driving,0,61,1.0655737704918034,1,1.0660074478882418,1.1765231092436974
driving,1,61,1.180327868852459,1.0544976076555024,1.1802938991783758,1.3333333333333335
driving,2,61,3.0491803278688527,2.7047479121558924,3.046503490711295,3.408205085312814
driving,3,61,5,4.618168449197861,5.004223689063463,5.3621081504702195
fair,0,61,1.1311475409836065,1,1.1315269557742325,1.3480856586632055
fair,1,61,1.2459016393442623,1.0705596405228757,1.2451263948105677,1.4655172413793103
fair,2,61,3.540983606557377,3.2,3.5349172687498167,3.875
fair,3,61,5.262295081967213,4.885198087431694,5.258378690067831,5.660863095238095
gala,0,61,1.0655737704918034,1,1.0659949365328951,1.1897214854111404
gala,1,61,3,2.6763691683569983,3.0049863549841245,3.3529411764705883
gala,2,61,3.721311475409836,3.348227431228206,3.7276457919155965,4.129667577413479
gala,3,61,4.80327868852459,4.38458904109589,4.795670233636762,5.180365126676603
hike,0,61,1.098360655737705,1,1.097420800339818,1.2608695652173914
hike,1,61,1.2459016393442623,1.079334077380952,1.2420399412252352,1.4584421641791045
hike,2,61,3.819672131147541,3.4998287671232875,3.8302867709469814,4.150063559322034
hike,3,61,5.327868852459017,4.9618439108061745,5.329589762115272,5.730366300366301
oysters,0,61,1.0819672131147542,1,1.0809379104141439,1.2372881355932202
oysters,1,61,1.6721311475409835,1.4339622641509435,1.6767260173289844,1.9232758620689652
oysters,2,61,3.721311475409836,3.4126549249836917,3.7215355403423285,4.065573770491803
oysters,3,61,5.098360655737705,4.698343685300207,5.094016088212152,5.5345135467980295
social,0,61,1.0819672131147542,1,1.0824807502904816,1.234375
social,1,61,3.0491803278688527,2.6470113851992414,3.0466084375054803,3.453225446428571
social,2,61,4.39344262295082,4.031398809523809,4.401228354806483,4.76056338028169
social,3,61,5.786885245901639,5.428383458646617,5.793282648788653,6.177984496124031
soup,0,61,1.0491803278688525,1,1.0515795596285518,1.1791723202170963
soup,1,61,1.4098360655737703,1.206262939958592,1.416639454933315,1.6722396335583412
soup,2,61,4,3.6615384615384614,4.005958984059207,4.358270124785906
soup,3,61,4.950819672131147,4.5735771729044234,4.964221607377791,5.3449190177638455
wedding,0,61,1.0819672131147542,1,1.0816215492426566,1.2449075856757794
wedding,1,61,1.2459016393442623,1.1041487068965519,1.2490049422594205,1.4364714946070876
wedding,2,61,2.4262295081967213,2.1570935960591138,2.4309756724487226,2.7142857142857144
wedding,3,61,4.590163934426229,4.181750339213026,4.594464273895056,4.984765625
