subject_id,scenario_label,action_0,action_1,action_2,action_3
8417a26e-58e0-5e31-bb96-e400dd450860,dip,0,0,1,3
8417a26e-58e0-5e31-bb96-e400dd450860,gala,0,3,3,4
8417a26e-58e0-5e31-bb96-e400dd450860,cooking,0,0,3,4
8417a26e-58e0-5e31-bb96-e400dd450860,oysters,0,1,2,3
8417a26e-58e0-5e31-bb96-e400dd450860,hike,0,2,3,4
8417a26e-58e0-5e31-bb96-e400dd450860,wedding,0,0,1,3
8417a26e-58e0-5e31-bb96-e400dd450860,driving,0,0,3,4
8417a26e-58e0-5e31-bb96-e400dd450860,brunch,0,0,1,3
8417a26e-58e0-5e31-bb96-e400dd450860,drinks,0,3,2,4
8417a26e-58e0-5e31-bb96-e400dd450860,fair,0,0,2,4
8417a26e-58e0-5e31-bb96-e400dd450860,crabs,0,0,2,3
8417a26e-58e0-5e31-bb96-e400dd450860,conference,0,0,3,3
8417a26e-58e0-5e31-bb96-e400dd450860,soup,0,0,3,4
8417a26e-58e0-5e31-bb96-e400dd450860,basketball,0,0,2,3
8417a26e-58e0-5e31-bb96-e400dd450860,birthday,0,0,2,3
8417a26e-58e0-5e31-bb96-e400dd450860,social,0,3,3,4
17004f82-e7b4-569e-b113-b9e3468713cc,gala,0,1,1,2
17004f82-e7b4-569e-b113-b9e3468713cc,soup,0,0,3,5
17004f82-e7b4-569e-b113-b9e3468713cc,birthday,0,0,2,6
17004f82-e7b4-569e-b113-b9e3468713cc,fair,0,0,2,6
17004f82-e7b4-569e-b113-b9e3468713cc,driving,0,0,2,6
17004f82-e7b4-569e-b113-b9e3468713cc,wedding,0,0,2,5
17004f82-e7b4-569e-b113-b9e3468713cc,basketball,0,0,2,6
17004f82-e7b4-569e-b113-b9e3468713cc,crabs,0,0,4,5
17004f82-e7b4-569e-b113-b9e3468713cc,dip,0,1,3,6
17004f82-e7b4-569e-b113-b9e3468713cc,cooking,0,0,3,5
17004f82-e7b4-569e-b113-b9e3468713cc,drinks,0,0,2,4
17004f82-e7b4-569e-b113-b9e3468713cc,oysters,0,0,4,6
17004f82-e7b4-569e-b113-b9e3468713cc,social,0,4,5,6
17004f82-e7b4-569e-b113-b9e3468713cc,brunch,0,0,3,6
17004f82-e7b4-569e-b113-b9e3468713cc,hike,0,0,4,6
17004f82-e7b4-569e-b113-b9e3468713cc,conference,0,0,6,6
3d0ed036-ea6a-5096-ab95-9b4686464807,basketball,0,1,0,2
3d0ed036-ea6a-5096-ab95-9b4686464807,crabs,0,0,4,3
3d0ed036-ea6a-5096-ab95-9b4686464807,driving,0,0,0,2
3d0ed036-ea6a-5096-ab95-9b4686464807,birthday,0,0,1,2
3d0ed036-ea6a-5096-ab95-9b4686464807,soup,0,1,1,0
3d0ed036-ea6a-5096-ab95-9b4686464807,social,0,0,1,3
3d0ed036-ea6a-5096-ab95-9b4686464807,oysters,0,0,1,1
3d0ed036-ea6a-5096-ab95-9b4686464807,fair,0,0,0,2
3d0ed036-ea6a-5096-ab95-9b4686464807,drinks,0,1,0,2
3d0ed036-ea6a-5096-ab95-9b4686464807,cooking,0,0,1,1
3d0ed036-ea6a-5096-ab95-9b4686464807,dip,0,0,1,2
3d0ed036-ea6a-5096-ab95-9b4686464807,hike,0,0,1,2
3d0ed036-ea6a-5096-ab95-9b4686464807,conference,0,0,1,2
3d0ed036-ea6a-5096-ab95-9b4686464807,brunch,0,0,0,1
3d0ed036-ea6a-5096-ab95-9b4686464807,wedding,0,0,0,1
3d0ed036-ea6a-5096-ab95-9b4686464807,gala,0,1,2,2
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,birthday,0,0,3,5
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,wedding,0,0,0,4
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,basketball,0,0,3,5
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,brunch,0,0,3,4
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,cooking,0,0,2,5
df6b0877-bd00-5ee8-9c85-fbb1a171fcce,gala,0,2,2,3
