scenario_label,action,n,empirical_stat,ci_lower,mean,ci_upper
basketball,0,61,1.0327868852459017,1,1.0339275554946414,1.1153846153846154
basketball,1,61,1.1311475409836065,1.0322452636968766,1.134034966312867,1.2641648168701445
basketball,2,61,2.8852459016393444,2.606472807702316,2.8869378949063305,3.200084745762712
basketball,3,61,4.819672131147541,4.4327907874421,4.815084880187553,5.200084745762712
birthday,0,61,1.0327868852459017,1,1.0325280559528283,1.1111111111111112
birthday,1,61,1.1639344262295084,1.055530303030303,1.1629348178629444,1.3051189174412248
birthday,2,61,3.0327868852459017,2.7368172790466736,3.032725537146588,3.3585126768867926
birthday,3,61,5,4.5913438967136155,5.000178071378444,5.410763888888889
brunch,0,61,1.0163934426229508,1,1.016865713487131,1.0555555555555556
brunch,1,61,1.1639344262295082,1.049160497091486,1.1639153674749785,1.295126793032787
brunch,2,61,2.4262295081967213,2.1363636363636362,2.415052584064896,2.7230851063829786
brunch,3,61,3.819672131147541,3.3832738095238097,3.8121549852208862,4.2609052031361365
conference,0,61,1.0655737704918034,1,1.065552322806687,1.2105964912280702
conference,1,61,1.278688524590164,1.0819672131147542,1.2735378887983404,1.5263931888544893
conference,2,61,3.901639344262295,3.5531548055759354,3.9118646936034023,4.290417457305503
conference,3,61,5.229508196721311,4.8549220672682525,5.234926578571917,5.600073529411764
cooking,0,61,1.0491803278688525,1,1.0474083783294712,1.1578947368421053
cooking,1,61,1.4426229508196722,1.227980665950591,1.4459503064975114,1.7101797658862876
cooking,2,61,3.245901639344262,2.948068965517241,3.2385915798549223,3.5714285714285716
cooking,3,61,4.573770491803279,4.181818181818182,4.569864909235826,4.966428319209039
crabs,0,61,1.0491803278688525,1,1.0489761298233438,1.1607873376623377
crabs,1,61,1.1967213114754098,1.0666304347826088,1.1965989985473195,1.3650869963369963
crabs,2,61,3.9344262295081966,3.587241689128482,3.932801210430483,4.285714285714286
crabs,3,61,4.622950819672131,4.2575,4.636765829866331,5.037054507337526
dip,0,61,1.098360655737705,1,1.100510689842523,1.2616176470588234
dip,1,61,2.2295081967213113,1.9454545454545455,2.237228942454627,2.568642533936652
dip,2,61,3.1803278688524594,2.793945556946183,3.179090210422122,3.5690932311621966
dip,3,61,4.672131147540983,4.234348958333333,4.675535397582778,5.12337003641408
drinks,0,61,1.0983606557377048,1,1.1008641369453356,1.301928908355795
drinks,1,61,2.245901639344262,1.9498349056603774,2.2393757776519,2.5789473684210527
drinks,2,61,3.1147540983606556,2.7894089732528045,3.1110939596116296,3.4363636363636365
drinks,3,61,4.508196721311475,4.166581632653061,4.5126598762120675,4.868852459016393
driving,0,61,1.0655737704918034,1,1.0661150402327728,1.1694915254237288
driving,1,61,1.180327868852459,1.059992537313433,1.1819841772165316,1.3461956521739131
driving,2,61,3.0491803278688527,2.681737012987013,3.0377183196480333,3.4033492429229755
driving,3,61,5,4.626694029850746,4.998299766596873,5.346346153846153
fair,0,61,1.1311475409836065,1,1.1325442115001867,1.3448275862068964
fair,1,61,1.2459016393442623,1.07688679245283,1.2444197968181656,1.4423076923076923
fair,2,61,3.540983606557377,3.1998245614035086,3.543603632604818,3.909124830393487
fair,3,61,5.262295081967213,4.874864130434783,5.268081122138081,5.660406386066763
gala,0,61,1.0655737704918034,1,1.0662385470806623,1.1803335610200365
gala,1,61,3,2.652073268921095,2.9975622311908707,3.3571428571428568
gala,2,61,3.721311475409836,3.3703216374269007,3.727672874306181,4.1230155306298535
gala,3,61,4.80327868852459,4.431352124183007,4.804871086071282,5.200288461538461
hike,0,61,1.098360655737705,1,1.09906642078523,1.281361607142857
hike,1,61,1.2459016393442623,1.0909090909090908,1.2443849238243219,1.4576864406779662
hike,2,61,3.819672131147541,3.4923076923076923,3.820387281816895,4.140680803571429
hike,3,61,5.327868852459017,4.94010185558693,5.3221535413965055,5.677433023510115
oysters,0,61,1.0819672131147542,1,1.0842305269131212,1.2420191722458915
oysters,1,61,1.6721311475409835,1.430439814814815,1.6758637429504326,1.93447827218319
oysters,2,61,3.721311475409836,3.3703022875816995,3.716501813195796,4.03639794168096
oysters,3,61,5.098360655737705,4.688602150537634,5.105411783440177,5.516696428571429
social,0,61,1.0819672131147542,1,1.0833383165091657,1.2457236842105264
social,1,61,3.0491803278688527,2.6840544157002677,3.057918070547783,3.446588611859838
social,2,61,4.39344262295082,4.051702220923437,4.387889532058581,4.70609243697479
social,3,61,5.786885245901639,5.408450704225352,5.7777115088305395,6.134458521346755
soup,0,61,1.0491803278688525,1,1.051297866919413,1.1666666666666665
soup,1,61,1.4098360655737703,1.1928992740471869,1.40953443228598,1.6538636363636365
soup,2,61,4,3.629575163398693,4.003230637160495,4.365460526315789
soup,3,61,4.950819672131147,4.536973180076629,4.940408185512932,5.338467741935483
wedding,0,61,1.0819672131147542,1,1.0777513729853319,1.2307692307692308
wedding,1,61,1.2459016393442623,1.0952380952380953,1.2415695897386774,1.4138649425287355
wedding,2,61,2.4262295081967213,2.166666666666667,2.426000820357067,2.683463114754098
wedding,3,61,4.590163934426229,4.2103356216628525,4.58362222293295,5
