subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,0,0.94,0.0,1,0,0.3699196,0.19011483,0.439189,0.5060528,0.19713584,0.6408491
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,1,0.02,0.0,1,0,0.47905827,0.40916693,0.439189,0.32740545,0.37920165,0.23797022
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,2,0.02,0.0,1,0,0.12064114,0.24908495,0.099210754,0.120236784,0.25032914,0.08836687
00f163d0-f623-5456-b48c-e09b0d6c6fd5,apples,0,high,3,0.02,0.0,1,0,0.030381043,0.15163323,0.022411248,0.04630491,0.17333344,0.032813787
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,0,0.59,0.75,0,1,0.52012193,0.54962945,0.3159864,0.5967847,0.6263912,0.3357234
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,1,0.39,0.75,0,1,0.2171174,0.2275344,0.3159864,0.21556045,0.22523564,0.3357234
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,2,0.01,0.75,0,1,0.15380535,0.13851412,0.21784379,0.1004674,0.080252655,0.16885245
00f163d0-f623-5456-b48c-e09b0d6c6fd5,basketball,75,low,3,0.01,0.75,0,1,0.108955264,0.084322006,0.15018342,0.087187454,0.06812047,0.15970068
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,0,0.59,0.0,1,2,0.3699196,0.19011483,0.439189,0.37177452,0.19127162,0.42618304
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,1,0.33,0.0,1,2,0.47905827,0.40916693,0.439189,0.43288296,0.36767924,0.42618304
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,2,0.05,0.0,1,2,0.12064114,0.24908495,0.099210754,0.16236515,0.28739306,0.1235392
00f163d0-f623-5456-b48c-e09b0d6c6fd5,birthday,0,high,3,0.03,0.0,1,2,0.030381043,0.15163323,0.022411248,0.03297728,0.15365607,0.024094619
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,0,0.26,0.5,0,3,0.57735443,0.54962945,0.3702086,0.38921884,0.36972126,0.30992648
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,1,0.41,0.5,0,3,0.24100827,0.2275344,0.3702086,0.20376064,0.1929991,0.30992648
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,2,0.16,0.5,0,3,0.120944336,0.13851412,0.1759544,0.27078304,0.2655044,0.27382904
00f163d0-f623-5456-b48c-e09b0d6c6fd5,brunch,50,low,3,0.17,0.5,0,3,0.060693063,0.084322006,0.0836284,0.13623755,0.1717753,0.106318004
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,0,0.48,0.0,0,4,0.6455648,0.54962945,0.439189,0.6731162,0.50054824,0.5664647
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,1,0.36,0.0,0,4,0.2694817,0.2275344,0.439189,0.19301595,0.2223352,0.2694623
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,2,0.14,0.0,0,4,0.067863524,0.13851412,0.099210754,0.11576033,0.20358959,0.13204749
00f163d0-f623-5456-b48c-e09b0d6c6fd5,cooking,0,low,3,0.02,0.0,0,4,0.01709006,0.084322006,0.022411248,0.01810748,0.07352696,0.03202556
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,0,0.56,0.5,0,5,0.57735443,0.54962945,0.3702086,0.4748343,0.45437774,0.36020824
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,1,0.4,0.5,0,5,0.24100827,0.2275344,0.3702086,0.3313454,0.31656533,0.36020824
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,2,0.03,0.5,0,5,0.120944336,0.13851412,0.1759544,0.15258522,0.17161,0.1939358
00f163d0-f623-5456-b48c-e09b0d6c6fd5,dip,50,low,3,0.01,0.5,0,5,0.060693063,0.084322006,0.0836284,0.041235033,0.05744697,0.08564767
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,0,0.42,1.0,0,6,0.44398928,0.54962945,0.25,0.42057085,0.48961693,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,1,0.29,1.0,0,6,0.1853369,0.2275344,0.25,0.23886114,0.27737924,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,2,0.2,1.0,0,6,0.1853369,0.13851412,0.25,0.17798556,0.14923593,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,drinks,100,low,3,0.09,1.0,0,6,0.1853369,0.084322006,0.25,0.16258252,0.08376794,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,0,0.57,0.75,0,7,0.52012193,0.54962945,0.3159864,0.45113015,0.4707796,0.3070956
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,1,0.38,0.75,0,7,0.2171174,0.2275344,0.3159864,0.2650634,0.27595744,0.3070956
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,2,0.04,0.75,0,7,0.15380535,0.13851412,0.21784379,0.1945519,0.18383652,0.2397261
00f163d0-f623-5456-b48c-e09b0d6c6fd5,driving,75,low,3,0.01,0.75,0,7,0.108955264,0.084322006,0.15018342,0.08925447,0.06942646,0.14608268
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,0,0.22,1.0,1,8,0.07661096,0.19011483,0.25,0.058976844,0.1612132,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,1,0.46,1.0,1,8,0.30779636,0.40916693,0.25,0.34807017,0.4726698,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,2,0.28,1.0,1,8,0.30779636,0.24908495,0.25,0.35603657,0.24074152,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,fair,100,high,3,0.04,1.0,1,8,0.30779636,0.15163323,0.25,0.2369164,0.12537542,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,0,0.45,1.0,1,9,0.07661096,0.19011483,0.25,0.056212123,0.1450326,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,1,0.22,1.0,1,9,0.30779636,0.40916693,0.25,0.33175334,0.4392484,0.25
00f163d0-f623-5456-b48c-e09b0d6c6fd5,gala,100,high,2,0.22,1.0,1,9,0.30779636,0.24908495,0.25,0.24720347,0.20094302,0.25
