model,experiment,alpha_observer,delta,nll,n_params
full,intimacy,2.5726730823516846,,7892.5,1
vanilla,intimacy,0.09849230945110321,,8417.98046875,1
discomfort_only,intimacy,3.781109094619751,,7926.32080078125,1
full_lm,intimacy,2.6497204303741455,,7881.779296875,1
vanilla_lm,intimacy,1.199965238571167,,8417.98046875,1
discomfort_only_lm,intimacy,2.782940626144409,,7890.75537109375,1
full_modified,intimacy,2.744964361190796,0.6248294711112976,7890.81884765625,2
full_lm_modified,intimacy,2.829206943511963,0.5007685422897339,7877.02685546875,2
full,reward,1.99831223487854,,978.0748901367188,1
vanilla,reward,2.1004934310913086,,949.41552734375,1
discomfort_only,reward,9.995351791381836,,1330.8431396484375,1
full_lm,reward,2.0763533115386963,,990.3360595703125,1
vanilla_lm,reward,2.2439732551574707,,962.362060546875,1
discomfort_only_lm,reward,1.0,,1330.8431396484375,1
full_modified,reward,2.8363075256347656,0.0,938.5452880859375,2
full_lm_modified,reward,2.97830867767334,0.0,948.761474609375,2
