fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
0,apples,access_full,2022.44287109375,134.29151916503906,0.2931076624773551,0.29193808514138925,6900,460,1.0,0.6929346323013306,1.471012830734253,0.41253241896629333,0.7720847129821777,0.8678817342379292
0,apples,access_only,2152.03466796875,144.9039764404297,0.3118890823143116,0.3150086444357167,6900,460,1.0,,1.2834304571151733,,0.709213137626648,0.634988583025978
0,apples,no_access,2276.34130859375,153.81094360351562,0.3299045374773551,0.3343716165293818,6900,460,1.0,0.5920398831367493,,0.9400266408920288,,0.4374626536615482
1,basketball,access_full,2018.3680419921875,138.54307556152344,0.29251710753509963,0.30118059904679007,6900,460,1.0,0.6941712498664856,1.496637225151062,0.4924018085002899,0.8088287115097046,0.8601611136222553
1,basketball,access_only,2150.400146484375,146.439208984375,0.31165219514266307,0.31834610648777173,6900,460,1.0,,1.2803406715393066,,0.7188318371772766,0.6255003756313887
1,basketball,no_access,2260.926513671875,170.26266479492188,0.327670509227808,0.37013622781504757,6900,460,1.0,0.5900503396987915,,1.2414543628692627,,-0.11836034239415949
2,birthday,access_full,2023.1175537109375,133.635498046875,0.29320544256680253,0.2905119522758152,6900,460,1.0,0.6928022503852844,1.4496145248413086,0.4448795020580292,0.767217218875885,0.9470329518364935
2,birthday,access_only,2152.835693359375,143.93544006347656,0.31200517295063407,0.31290313057277513,6900,460,1.0,,1.2643834352493286,,0.7239727973937988,0.6701236936895316
2,birthday,no_access,2274.31884765625,155.4100799560547,0.32961142719655795,0.33784799990446673,6900,460,1.0,0.572218120098114,,1.0500335693359375,,0.34406206705921494
3,brunch,access_full,2004.748046875,151.96041870117188,0.29054319519927535,0.3303487363068954,6900,460,1.0,0.7032764554023743,1.464253306388855,0.46101340651512146,0.7835073471069336,0.6317710958818968
3,brunch,access_only,2143.86328125,152.88706970214844,0.31070482336956523,0.33236319500467054,6900,460,1.0,,1.264206051826477,,0.7291677594184875,0.5650250552381414
3,brunch,no_access,2262.91650390625,167.3916473388672,0.32795891360960144,0.3638948855192765,6900,460,1.0,0.5912274122238159,,1.1720255613327026,,-0.3066587803443167
4,cooking,access_full,2023.6988525390625,133.3275146484375,0.29328968877377715,0.2898424231487772,6900,460,1.0,0.7169148921966553,1.5041239261627197,0.5272126197814941,0.7931503057479858,0.7474965234634084
4,cooking,access_only,2147.40087890625,149.3680419921875,0.3112175186820652,0.324713134765625,6900,460,1.0,,1.2731976509094238,,0.7263307571411133,0.36820494292409106
4,cooking,no_access,2289.57763671875,140.27947998046875,0.3318228459012681,0.3049553912618886,6900,460,1.0,0.5627813935279846,,1.0668118000030518,,0.6381025088366936
5,dip,access_full,2037.9432373046875,118.77803802490234,0.2953540923629982,0.25821312614109204,6900,460,1.0,0.6923415660858154,1.475759744644165,0.42575374245643616,0.7790442109107971,0.9458131240695913
5,dip,access_only,2154.6044921875,142.1374969482422,0.31226152060688406,0.3089945585831352,6900,460,1.0,,1.2574487924575806,,0.7388179898262024,0.5734950260519369
5,dip,no_access,2303.310302734375,127.12842559814453,0.33381308735280796,0.276366142604662,6900,460,1.0,0.5414605736732483,,0.9431537985801697,,0.8899393687718402
6,drinks,access_full,2023.365966796875,133.57687377929688,0.29324144446331524,0.29038450821586276,6900,460,1.0,0.7197626829147339,1.4913311004638672,0.4259336292743683,0.7377490997314453,0.9140483981138299
6,drinks,access_only,2153.898681640625,142.86532592773438,0.312159229223279,0.3105767954950747,6900,460,1.0,,1.264768123626709,,0.72552090883255,0.6880177380152055
6,drinks,no_access,2288.575439453125,141.3004150390625,0.33167759992074275,0.3071748153023098,6900,460,1.0,0.55799800157547,,1.0238819122314453,,0.811263003898685
7,driving,access_full,2014.4794921875,142.3383331298828,0.2919535495923913,0.3094311589780061,6900,460,1.0,0.7227428555488586,1.4508692026138306,0.46521133184432983,0.7686170935630798,0.8184647868118313
7,driving,access_only,2154.7578125,141.9959259033203,0.312283740942029,0.30868679544200067,6900,460,1.0,,1.2572904825210571,,0.7319934964179993,0.7940265372784979
7,driving,no_access,2264.226318359375,165.68243408203125,0.3281487417912138,0.3601792045261549,6900,460,1.0,0.599960207939148,,1.11711585521698,,-0.12042557868996986
8,fair,access_full,2005.406982421875,153.96249389648438,0.29063869310461954,0.3347010736880095,6900,460,1.0,0.7321771383285522,1.4619593620300293,0.7112702131271362,0.7712647914886475,0.44149365127013773
8,fair,access_only,2148.171875,148.70249938964844,0.31132925724637683,0.32326630302097487,6900,460,1.0,,1.2784367799758911,,0.7131479382514954,0.5075370143331568
8,fair,no_access,2253.13037109375,180.98300170898438,0.3265406334918478,0.39344130806300953,6900,460,1.0,0.6008064150810242,,1.3854933977127075,,-0.27466009383375084
9,gala,access_full,2042.00146484375,114.8493881225586,0.2959422412817029,0.2496725828751274,6900,460,1.0,0.6818501949310303,1.4726040363311768,0.40811556577682495,0.760334849357605,0.940432737479576
9,gala,access_only,2156.05078125,140.70602416992188,0.31247112771739133,0.3058826612389606,6900,460,1.0,,1.2646186351776123,,0.7273669838905334,0.5583117572903209
9,gala,no_access,2300.850341796875,129.72640991210938,0.3334565712749094,0.2820139345915421,6900,460,1.0,0.5292086601257324,,0.9763343334197998,,0.875428807059599
10,hike,access_full,2027.8258056640625,129.00936889648438,0.2938877979223279,0.28045514977496605,6900,460,1.0,0.6944330334663391,1.4511361122131348,0.41509106755256653,0.7895878553390503,0.9397606758322942
10,hike,access_only,2157.232666015625,139.51156616210938,0.3126424153645833,0.30328601339588995,6900,460,1.0,,1.2575634717941284,,0.7367609739303589,0.6912866690232734
10,hike,no_access,2279.52490234375,150.36029052734375,0.3303659278759058,0.3268701967985734,6900,460,1.0,0.5781928300857544,,0.9710837602615356,,0.5624493607622103
11,oysters,access_full,2012.7222900390625,144.13555908203125,0.2916988826143569,0.3133381719174592,6900,460,1.0,0.72255939245224,1.455728530883789,0.42875951528549194,0.7761942148208618,0.7398744564615274
11,oysters,access_only,2153.255859375,143.4985809326172,0.31206606657608693,0.31195343681003734,6900,460,1.0,,1.2642830610275269,,0.7280117273330688,0.7422747630568551
11,oysters,no_access,2270.822265625,159.685302734375,0.32910467617753625,0.3471419624660326,6900,460,1.0,0.6142462491989136,,0.9345691800117493,,0.24598500599814535
12,social,access_full,2036.12158203125,120.79312133789062,0.29509008435235506,0.2625937420388927,6900,460,1.0,0.6905719637870789,1.4607105255126953,0.40575143694877625,0.8071672916412354,0.8887339045962759
12,social,access_only,2168.37060546875,128.37094116210938,0.31425660948822465,0.27906726339588994,6900,460,1.0,,1.2572954893112183,,0.7397342920303345,0.7861142498607899
12,social,no_access,2278.63525390625,152.21070861816406,0.3302369933197464,0.3308928448220958,6900,460,1.0,0.5926453471183777,,0.8780791163444519,,0.44394110213012994
13,soup,access_full,2001.114990234375,159.0552978515625,0.2900166652513587,0.34577238663383153,6900,460,1.0,0.7380232214927673,1.5295885801315308,0.17843176424503326,0.7766692638397217,0.26618694197851367
13,soup,access_only,2151.38720703125,145.41488647460938,0.3117952473958333,0.31611931842306384,6900,460,1.0,,1.2717738151550293,,0.7198723554611206,0.6377760800789848
13,soup,no_access,2263.058349609375,168.26913452148438,0.32797947095788044,0.365802466351053,6900,460,1.0,0.6411089897155762,,0.925466775894165,,-0.252451767174472
14,takeout,access_full,2025.2919921875,131.5400390625,0.29352057857789854,0.2859566066576087,6900,460,1.0,0.7023698091506958,1.4822239875793457,0.4839947819709778,0.7612800598144531,0.8986102985918857
14,takeout,access_only,2153.949462890625,142.8013916015625,0.31216658882472825,0.3104378078294837,6900,460,1.0,,1.266213059425354,,0.7288293838500977,0.6203852527905891
14,takeout,no_access,2288.0556640625,141.77456665039062,0.3316022701539855,0.30820557967476225,6900,460,1.0,0.5665690302848816,,1.0735795497894287,,0.6565065766006368
