fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
0,apples,full,148.93121337890625,12.573251724243164,0.27579854329427084,0.3492569923400879,540,36,1.0,1.048017978668213,1.4571261405944824,1.2037192583084106,0.8610875606536865,0.6046368025709918
0,apples,discomfort_only,155.63514709472656,14.006487846374512,0.2882132353606047,0.3890691068437364,540,36,1.0,,1.2048159837722778,,1.125999093055725,0.3972959745509982
0,apples,base,187.1497344970703,12.476648330688477,0.34657358240198205,0.3465735647413466,540,36,1.0,0.866768479347229,,9.999999974752427e-07,,0.471472288629916
1,basketball,full,152.3352813720703,9.218375205993652,0.2821023729112413,0.2560659779442681,540,36,1.0,1.1326979398727417,1.4099338054656982,1.389763355255127,0.8678390979766846,0.5252483358369161
1,basketball,discomfort_only,161.10755920410156,8.460487365722656,0.29834733185944734,0.23501353793674046,540,36,1.0,,1.1074787378311157,,1.2180638313293457,0.8089069211839214
1,basketball,base,187.09140014648438,12.61385440826416,0.3464655558268229,0.35038484467400444,540,36,1.0,1.1048702001571655,,0.08775591105222702,,-0.36538063879016636
2,birthday,full,151.88848876953125,9.559123039245605,0.2812749792028357,0.26553119553460014,540,36,1.0,1.0026042461395264,1.4148459434509277,1.2513030767440796,0.9240657091140747,0.6935379184877726
2,birthday,discomfort_only,160.00074768066406,9.564374923706055,0.29629768089011865,0.2656770812140571,540,36,1.0,,1.133406400680542,,1.2509573698043823,0.7469246540534058
2,birthday,base,187.08604431152344,12.618697166442871,0.3464556376139323,0.3505193657345242,540,36,1.0,0.7769465446472168,,0.08744851499795914,,-0.6444112959148194
3,brunch,full,151.197998046875,10.249395370483398,0.27999629267939813,0.28470542695787215,540,36,1.0,1.0234841108322144,1.403487205505371,1.2205954790115356,0.9236493706703186,0.777107982441104
3,brunch,discomfort_only,158.92555236816406,10.630565643310547,0.2943065784595631,0.29529349009195965,540,36,1.0,,1.135543704032898,,1.2424160242080688,0.6453327463684257
3,brunch,base,187.1334991455078,12.516754150390625,0.34654351693612556,0.34768761528862846,540,36,1.0,1.1569485664367676,,0.046724315732717514,,-0.26873279514392756
