fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
0,apples,full_gamma,2022.44287109375,134.29151916503906,0.2931076624773551,0.29193808514138925,6900,460,1.0,0.6929346323013306,1.471012830734253,0.41253241896629333,0.7720847129821777,0.8678817342379292
1,basketball,full_gamma,2018.3680419921875,138.54307556152344,0.29251710753509963,0.30118059904679007,6900,460,1.0,0.6941712498664856,1.496637225151062,0.4924018085002899,0.8088287115097046,0.8601611136222553
2,birthday,full_gamma,2023.1175537109375,133.635498046875,0.29320544256680253,0.2905119522758152,6900,460,1.0,0.6928022503852844,1.4496145248413086,0.4448795020580292,0.767217218875885,0.9470329518364935
3,brunch,full_gamma,2004.748046875,151.96041870117188,0.29054319519927535,0.3303487363068954,6900,460,1.0,0.7032764554023743,1.464253306388855,0.46101340651512146,0.7835073471069336,0.6317710958818968
4,cooking,full_gamma,2023.6988525390625,133.3275146484375,0.29328968877377715,0.2898424231487772,6900,460,1.0,0.7169148921966553,1.5041239261627197,0.5272126197814941,0.7931503057479858,0.7474965234634084
5,dip,full_gamma,2037.9432373046875,118.77803802490234,0.2953540923629982,0.25821312614109204,6900,460,1.0,0.6923415660858154,1.475759744644165,0.42575374245643616,0.7790442109107971,0.9458131240695913
6,drinks,full_gamma,2023.365966796875,133.57687377929688,0.29324144446331524,0.29038450821586276,6900,460,1.0,0.7197626829147339,1.4913311004638672,0.4259336292743683,0.7377490997314453,0.9140483981138299
7,driving,full_gamma,2014.4794921875,142.3383331298828,0.2919535495923913,0.3094311589780061,6900,460,1.0,0.7227428555488586,1.4508692026138306,0.46521133184432983,0.7686170935630798,0.8184647868118313
8,fair,full_gamma,2005.406982421875,153.96249389648438,0.29063869310461954,0.3347010736880095,6900,460,1.0,0.7321771383285522,1.4619593620300293,0.7112702131271362,0.7712647914886475,0.44149365127013773
9,gala,full_gamma,2042.00146484375,114.8493881225586,0.2959422412817029,0.2496725828751274,6900,460,1.0,0.6818501949310303,1.4726040363311768,0.40811556577682495,0.760334849357605,0.940432737479576
10,hike,full_gamma,2027.8258056640625,129.00936889648438,0.2938877979223279,0.28045514977496605,6900,460,1.0,0.6944330334663391,1.4511361122131348,0.41509106755256653,0.7895878553390503,0.9397606758322942
11,oysters,full_gamma,2012.7222900390625,144.13555908203125,0.2916988826143569,0.3133381719174592,6900,460,1.0,0.72255939245224,1.455728530883789,0.42875951528549194,0.7761942148208618,0.7398744564615274
12,social,full_gamma,2036.12158203125,120.79312133789062,0.29509008435235506,0.2625937420388927,6900,460,1.0,0.6905719637870789,1.4607105255126953,0.40575143694877625,0.8071672916412354,0.8887339045962759
13,soup,full_gamma,2001.114990234375,159.0552978515625,0.2900166652513587,0.34577238663383153,6900,460,1.0,0.7380232214927673,1.5295885801315308,0.17843176424503326,0.7766692638397217,0.26618694197851367
14,takeout,full_gamma,2025.2919921875,131.5400390625,0.29352057857789854,0.2859566066576087,6900,460,1.0,0.7023698091506958,1.4822239875793457,0.4839947819709778,0.7612800598144531,0.8986102985918857
15,wedding,full_gamma,2024.238037109375,132.52891540527344,0.2933678314651268,0.28810633783755096,6900,460,1.0,0.6969460844993591,1.4532196521759033,0.40828293561935425,0.7584379315376282,0.925402440834673
