fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma,test_cell_r
0,bed,access_full,341.8456115722656,21.878185272216797,0.3351427564433977,0.32173801870907054,1020,68,1.0,0.34787940979003906,1.0797979831695557,0.3292689621448517,2.1697449684143066,0.5780253735033258
0,bed,access_only,346.47918701171875,22.124435424804688,0.33968547746246935,0.3253593444824219,1020,68,1.0,,0.9317684769630432,,2.378329038619995,0.5200584089391529
0,bed,no_access,356.1796875,23.6474609375,0.3491957720588235,0.3477567784926471,1020,68,1.0,0.21516922116279602,,0.44274383783340454,,0.1627202408145174
1,blanket,access_full,341.2996520996094,22.414941787719727,0.3346075020584406,0.3296314968782313,1020,68,1.0,0.35248374938964844,1.0486791133880615,0.4023118317127228,1.9333585500717163,0.6019753494134373
1,blanket,access_only,346.0791320800781,22.54218864440918,0.3392932667451746,0.3315027741824879,1020,68,1.0,,0.9122623205184937,,2.084517478942871,0.6153328634438893
1,blanket,no_access,355.66864013671875,24.135042190551758,0.3486947452320772,0.35492709103752584,1020,68,1.0,0.21437734365463257,,0.4895388185977936,,0.02544043972284819
2,breakup,access_full,341.1457824707031,22.653881072998047,0.3344566494810815,0.3331453098970301,1020,68,1.0,0.3317905366420746,1.0852912664413452,0.4485131800174713,1.863510251045227,0.5745376938199532
2,breakup,access_only,344.9912414550781,23.614500045776367,0.33822670730890014,0.3472720594967113,1020,68,1.0,,0.9648401737213135,,2.1271448135375977,0.3879013384005889
2,breakup,no_access,356.6632385253906,23.20733070373535,0.34966984169155946,0.34128427505493164,1020,68,1.0,0.16969026625156403,,0.4908837080001831,,0.4314218456128751
3,chapstick,access_full,340.0749206542969,23.625490188598633,0.333406784955193,0.3474336792440975,1020,68,1.0,0.35433894395828247,1.1167799234390259,0.3667210042476654,1.9973078966140747,0.4150854975040428
3,chapstick,access_only,344.7875671386719,23.837421417236328,0.33802702660654105,0.3505503149593578,1020,68,1.0,,0.9901627898216248,,2.128647804260254,0.3815579126184822
3,chapstick,no_access,355.2698669433594,24.55909538269043,0.34830379112094056,0.3611631673925063,1020,68,1.0,0.23345105350017548,,0.5187890529632568,,-0.07035686465663643
4,gossip,access_full,341.8415832519531,21.85184669494629,0.33513880710975796,0.3213506866903866,1020,68,1.0,0.3527486324310303,1.0827491283416748,0.3846612870693207,1.9766883850097656,0.8540097076291033
4,gossip,access_only,346.3038024902344,22.291675567626953,0.33951353185317096,0.3278187583474552,1020,68,1.0,,0.9388886094093323,,2.206129550933838,0.7230824322039404
4,gossip,no_access,356.66912841796875,23.139169692993164,0.3496756160960478,0.3402819072498995,1020,68,1.0,0.19949863851070404,,0.4599619209766388,,0.5395963504431849
5,hairbrush,access_full,341.37506103515625,22.351436614990234,0.3346814323874081,0.32869759727926817,1020,68,1.0,0.33969950675964355,1.0640016794204712,0.326254278421402,1.9130630493164062,0.6111746823937828
5,hairbrush,access_only,345.8489685058594,22.768789291381836,0.3390676161822151,0.33483513663796816,1020,68,1.0,,0.9248156547546387,,2.058129072189331,0.4831860380852737
5,hairbrush,no_access,356.4220886230469,23.381256103515625,0.3494334202186734,0.3438420015222886,1020,68,1.0,0.2031964510679245,,0.5014837980270386,,0.18920795898016496
6,harmonica,access_full,341.40692138671875,22.3595027923584,0.33471266802619487,0.3288162175346823,1020,68,1.0,0.3784927725791931,1.0608233213424683,0.35585707426071167,2.0711398124694824,0.3647105804915226
6,harmonica,access_only,346.803955078125,21.812606811523438,0.34000387752757355,0.320773629581227,1020,68,1.0,,0.9081582427024841,,2.200634241104126,0.5748935612728427
6,harmonica,no_access,355.49652099609375,24.389122009277344,0.3485260009765625,0.35866355895996094,1020,68,1.0,0.25140580534935,,0.507290244102478,,-0.3841611710015416
7,hat,access_full,339.4773864746094,24.24932861328125,0.33282096713196996,0.35660777372472424,1020,68,1.0,0.3471527397632599,1.1090176105499268,0.3055162727832794,2.046546220779419,0.343457904319824
