fold,held_out_scenario,variant,train_nll,test_nll,train_nll_per_trial,test_nll_per_trial,n_train,n_test,param_alpha,param_w_v,param_w_d,param_w_e,test_cell_r
0,bed,access_full,343.5337829589844,21.699947357177734,0.3367978264303768,0.31911687289967255,1020,68,1.0,0.3463936150074005,0.866025984287262,0.32685229182243347,0.6076784197269771
0,bed,access_only,348.1729431152344,22.016992568969727,0.3413460226619945,0.32377930248484893,1020,68,1.0,,0.7231990694999695,,0.5263952580014047
0,bed,no_access,356.1796875,23.6474609375,0.3491957720588235,0.3477567784926471,1020,68,1.0,0.21516922116279602,,0.44274383783340454,0.1627202408145174
1,blanket,access_full,342.55023193359375,22.654827117919922,0.33583356071920956,0.3331592223223518,1020,68,1.0,0.3521772623062134,0.8745611906051636,0.40318530797958374,0.5198796271307721
1,blanket,access_only,347.34783935546875,22.823596954345703,0.3405370974073223,0.33564113168155446,1020,68,1.0,,0.7372233271598816,,0.5204453860140991
1,blanket,no_access,355.66864013671875,24.135042190551758,0.3486947452320772,0.35492709103752584,1020,68,1.0,0.21437734365463257,,0.4895388185977936,0.02544043972284819
2,breakup,access_full,342.3644104003906,22.91693878173828,0.335651382745481,0.33701380561379823,1020,68,1.0,0.3394123911857605,0.9175233244895935,0.4598217010498047,0.5345279009843924
2,breakup,access_only,346.44451904296875,23.71340560913086,0.3396514892578125,0.3487265530754538,1020,68,1.0,,0.7761682868003845,,0.35133001186960633
2,breakup,no_access,356.6632385253906,23.20733070373535,0.34966984169155946,0.34128427505493164,1020,68,1.0,0.16969026625156403,,0.4908837080001831,0.4314218456128751
3,chapstick,access_full,341.525390625,23.670072555541992,0.3348288143382353,0.3480893022873822,1020,68,1.0,0.35325387120246887,0.9138128161430359,0.36190488934516907,0.3527808790177256
3,chapstick,access_only,346.2485656738281,23.91659164428711,0.3394593781115962,0.3517145830042222,1020,68,1.0,,0.7884582281112671,,0.2976047515882819
3,chapstick,no_access,355.2698669433594,24.55909538269043,0.34830379112094056,0.3611631673925063,1020,68,1.0,0.23345105350017548,,0.5187890529632568,-0.07035686465663643
4,gossip,access_full,343.1633605957031,22.029008865356445,0.3364346672506893,0.3239560127258301,1020,68,1.0,0.3561829626560211,0.9013833403587341,0.3886551856994629,0.801456759304648
4,gossip,access_only,347.75341796875,22.407909393310547,0.3409347234987745,0.3295280793133904,1020,68,1.0,,0.7492512464523315,,0.6765268092527639
