experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test
intimacy,access_full,0,apples,2.4572272300720215,7428.8349609375,488.6137909889221,1710,114
intimacy,access_full,1,basketball,2.4513657093048096,7436.5556640625,480.8424458503723,1710,114
intimacy,access_full,2,birthday,2.450223445892334,7429.6064453125,487.7823281288147,1710,114
intimacy,access_full,3,brunch,2.4618186950683594,7399.50927734375,517.9822235107422,1710,114
intimacy,access_full,4,cooking,2.463156223297119,7416.7470703125,500.7564971446991,1710,114
intimacy,access_full,5,dip,2.464545249938965,7420.158203125,497.359988451004,1710,114
intimacy,access_full,6,drinks,2.530298948287964,7408.111328125,510.2865571975708,1710,114
intimacy,access_full,7,driving,2.452963352203369,7428.5263671875,488.88507771492004,1710,114
intimacy,access_full,8,fair,2.4452335834503174,7441.7275390625,475.62155628204346,1710,114
intimacy,access_full,9,gala,2.5267441272735596,7408.72265625,509.6162712574005,1710,114
intimacy,access_full,10,hike,2.446263313293457,7431.3740234375,485.98376655578613,1710,114
intimacy,access_full,11,oysters,2.4590044021606445,7418.64892578125,498.81658458709717,1710,114
intimacy,access_full,12,social,2.4530956745147705,7432.919921875,484.49320340156555,1710,114
intimacy,access_full,13,soup,2.5162227153778076,7416.1708984375,501.9995958805084,1710,114
intimacy,access_full,14,takeout,2.4500834941864014,7437.353515625,480.0349280834198,1710,114
intimacy,access_full,15,wedding,2.52073073387146,7407.84765625,510.3929786682129,1710,114
intimacy,access_only,0,apples,2.972161054611206,7399.876953125,489.41285586357117,1710,114
intimacy,access_only,1,basketball,2.9625062942504883,7408.41943359375,480.8065884113312,1710,114
intimacy,access_only,2,birthday,2.9230291843414307,7402.1484375,486.8909845352173,1710,114
intimacy,access_only,3,brunch,2.9710195064544678,7370.9677734375,518.3152344226837,1710,114
intimacy,access_only,4,cooking,2.9622087478637695,7390.8212890625,498.4038963317871,1710,114
intimacy,access_only,5,dip,2.9733755588531494,7391.21826171875,498.0813789367676,1710,114
intimacy,access_only,6,drinks,2.982686996459961,7388.072265625,501.2975797653198,1710,114
intimacy,access_only,7,driving,2.926663637161255,7400.35546875,488.6964099407196,1710,114
intimacy,access_only,8,fair,2.9110748767852783,7416.396484375,472.6112062931061,1710,114
intimacy,access_only,9,gala,2.981116771697998,7387.220703125,502.13714122772217,1710,114
intimacy,access_only,10,hike,2.9160733222961426,7404.158203125,484.8617670536041,1710,114
intimacy,access_only,11,oysters,2.965273857116699,7392.9345703125,496.31032252311707,1710,114
intimacy,access_only,12,social,2.9230074882507324,7408.33984375,480.69906067848206,1710,114
intimacy,access_only,13,soup,3.0301973819732666,7385.11474609375,504.7195899486542,1710,114
intimacy,access_only,14,takeout,2.9113752841949463,7412.40234375,476.6063177585602,1710,114
intimacy,access_only,15,wedding,3.027620792388916,7378.75,511.05463004112244,1710,114
intimacy,no_access,0,apples,1.068496584892273,7891.85546875,526.1237268447876,1710,114
intimacy,no_access,1,basketball,0.7008374333381653,7891.85546875,526.1237268447876,1710,114
intimacy,no_access,2,birthday,0.7084555625915527,7891.85546875,526.1237201690674,1710,114
intimacy,no_access,3,brunch,0.8017697930335999,7891.85546875,526.1237268447876,1710,114
intimacy,no_access,4,cooking,0.8163718581199646,7891.85595703125,526.123740196228,1710,114
intimacy,no_access,5,dip,0.6070871949195862,7891.85546875,526.1236996650696,1710,114
intimacy,no_access,6,drinks,0.8081098198890686,7891.85595703125,526.1237411499023,1710,114
intimacy,no_access,7,driving,0.7254942059516907,7891.85595703125,526.1237268447876,1710,114
intimacy,no_access,8,fair,0.8173906207084656,7891.85546875,526.1237077713013,1710,114
intimacy,no_access,9,gala,0.6137099266052246,7891.85595703125,526.1237268447876,1710,114
intimacy,no_access,10,hike,0.6051503419876099,7891.85595703125,526.1237268447876,1710,114
intimacy,no_access,11,oysters,0.7128587365150452,7891.85546875,526.12371301651,1710,114
intimacy,no_access,12,social,0.8000079393386841,7891.85595703125,526.1237330436707,1710,114
intimacy,no_access,13,soup,0.8025134801864624,7891.85595703125,526.1237678527832,1710,114
intimacy,no_access,14,takeout,0.6023052334785461,7891.85595703125,526.1237268447876,1710,114
intimacy,no_access,15,wedding,0.800806999206543,7891.85595703125,526.1237268447876,1710,114
desire,access_full,0,apples,2.004591941833496,953.8642578125,60.84767513890698,1800,120
desire,access_full,1,basketball,1.9362479448318481,955.8182983398438,58.441649457330506,1800,120
desire,access_full,2,birthday,1.9956679344177246,945.2989501953125,69.32565032311747,1800,120
desire,access_full,3,brunch,2.0068233013153076,934.1362915039062,80.59874720577105,1800,120
desire,access_full,4,cooking,2.0876708030700684,962.746826171875,53.17433638104546,1800,120
desire,access_full,5,dip,2.005826950073242,973.27587890625,41.44878368564705,1800,120
desire,access_full,6,drinks,2.066563606262207,960.4488525390625,55.09851538268694,1800,120
desire,access_full,7,driving,2.079129219055176,934.52734375,81.23706044880844,1800,120
desire,access_full,8,fair,2.0774178504943848,945.196533203125,70.53740663043779,1800,120
desire,access_full,9,gala,2.0872626304626465,964.670654296875,51.242723310043814,1800,120
desire,access_full,10,hike,2.0690650939941406,941.1607055664062,74.4286361331468,1800,120
desire,access_full,11,oysters,2.0082285404205322,947.9849853515625,66.76510052184884,1800,120
desire,access_full,12,social,1.9308682680130005,960.8729858398438,53.372883595219456,1800,120
desire,access_full,13,soup,2.0037519931793213,936.541015625,78.16240395937272,1800,120
desire,access_full,14,takeout,1.996707797050476,950.7855224609375,63.84864053503462,1800,120
desire,access_full,15,wedding,2.06475830078125,955.054931640625,60.46249736600609,1800,120
desire,access_only,0,apples,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,1,basketball,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,2,birthday,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,3,brunch,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,4,cooking,10.0,1247.665771484375,83.17766166719355,1800,120
desire,access_only,5,dip,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,6,drinks,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,7,driving,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,8,fair,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,9,gala,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,10,hike,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,11,oysters,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,12,social,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,13,soup,10.0,1247.665771484375,83.17766166719353,1800,120
desire,access_only,14,takeout,10.0,1247.665771484375,83.17766166719355,1800,120
desire,access_only,15,wedding,10.0,1247.665771484375,83.17766166719353,1800,120
desire,no_access,0,apples,2.5818896293640137,972.9813232421875,64.13338079399927,1800,120
desire,no_access,1,basketball,2.520780324935913,974.69921875,62.24405592591683,1800,120
desire,no_access,2,birthday,2.5235490798950195,968.4869995117188,68.45945113392885,1800,120
desire,no_access,3,brunch,2.58339262008667,956.4104614257812,80.71112825691755,1800,120
desire,no_access,4,cooking,2.6630940437316895,984.3548583984375,53.31543774959624,1800,120
desire,no_access,5,dip,2.588852643966675,995.8784790039062,41.26937787795545,1800,120
desire,no_access,6,drinks,2.5924489498138428,980.648681640625,56.51740574011633,1800,120
desire,no_access,7,driving,2.709991455078125,952.238525390625,85.91768705922564,1800,120
desire,no_access,8,fair,2.7053375244140625,962.9700927734375,75.13249959544972,1800,120
desire,no_access,9,gala,2.6456193923950195,989.0184326171875,48.5014743660307,1800,120
desire,no_access,10,hike,2.642096757888794,963.6341552734375,73.85737811717102,1800,120
desire,no_access,11,oysters,2.5891201496124268,968.1162109375,69.03299855198365,1800,120
desire,no_access,12,social,2.5096020698547363,978.874755859375,58.060655921101926,1800,120
desire,no_access,13,soup,2.579867362976074,958.23193359375,78.87370811133445,1800,120
desire,no_access,14,takeout,2.5715131759643555,971.3900756835938,65.68030991786992,1800,120
desire,no_access,15,wedding,2.5805439949035645,978.3599243164062,58.74868861672906,1800,120
