experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test,param_w_v,param_w_d,param_w_e,param_gamma
intimacy_noalt,access_full_padded,0,apples,1.614467740058899,1934.0042724609375,120.20715379714966,435,29,0.3438383638858795,1.606022834777832,1.3732142448425293,0.8821820020675659
intimacy_noalt,access_full_padded,1,basketball,1.6536487340927124,1926.0770263671875,129.60986948013306,435,29,0.3081853687763214,1.6444319486618042,1.4308019876480103,0.8211198449134827
intimacy_noalt,access_full_padded,2,birthday,1.650520920753479,1926.589599609375,128.57026505470276,435,29,0.3052762746810913,1.6406959295272827,1.4330620765686035,0.8611456751823425
intimacy_noalt,access_full_padded,3,brunch,1.6341419219970703,1922.9205322265625,133.5786373615265,435,29,0.3432454764842987,1.6252574920654297,1.457035779953003,0.7262011766433716
intimacy_noalt,access_full_padded,4,cooking,1.6536164283752441,1925.356689453125,130.16067576408386,435,29,0.3178102374076843,1.6422208547592163,1.4172277450561523,0.8280548453330994
intimacy_noalt,access_full_padded,5,dip,1.650420069694519,1928.1318359375,126.18064093589783,435,29,0.2969793677330017,1.6445430517196655,1.4359266757965088,0.9994533658027649
intimacy_noalt,access_full_padded,6,drinks,1.6905653476715088,1920.1400146484375,136.06962490081787,435,29,0.31441283226013184,1.6821331977844238,1.447096824645996,0.8770630955696106
intimacy_noalt,access_full_padded,7,driving,1.621200680732727,1928.993408203125,125.93052864074707,435,29,0.3424120545387268,1.6139482259750366,1.4691801071166992,0.8324868083000183
intimacy_noalt,access_full_padded,8,fair,1.6469265222549438,1926.9822998046875,127.62390804290771,435,29,0.3163418769836426,1.6372630596160889,1.4373581409454346,0.9193955063819885
intimacy_noalt,access_full_padded,9,gala,1.6505327224731445,1927.9718017578125,126.74131155014038,435,29,0.34705784916877747,1.6423566341400146,1.4505215883255005,0.9216228127479553
intimacy_noalt,access_full_padded,10,hike,1.624132513999939,1927.52734375,127.95940041542053,435,29,0.35863667726516724,1.6136634349822998,1.4191169738769531,0.7705508470535278
intimacy_noalt,access_full_padded,11,oysters,1.681069254875183,1922.274658203125,133.1653287410736,435,29,0.27436792850494385,1.671625018119812,1.4306073188781738,0.9199890494346619
intimacy_noalt,access_full_padded,12,social,1.6747639179229736,1931.176025390625,123.2320282459259,435,29,0.2835328280925751,1.6601159572601318,1.2886459827423096,0.9824956655502319
intimacy_noalt,access_full_padded,13,soup,1.6234772205352783,1926.9097900390625,128.17070174217224,435,29,0.34862542152404785,1.6152033805847168,1.420514702796936,0.8078572154045105
intimacy_noalt,access_full_padded,14,takeout,1.708467721939087,1922.25732421875,129.46523547172546,435,29,9.999999974752427e-07,1.6086095571517944,9.999999974752427e-07,1.0008835792541504
intimacy_noalt,access_full_padded,15,wedding,1.6286059617996216,1924.1661376953125,131.72937989234924,435,29,0.3756822347640991,1.6222658157348633,1.4768558740615845,0.7612723112106323
intimacy_noalt,access_only_padded,0,apples,1.6542774438858032,1931.393798828125,120.31176710128784,435,29,,1.6461281776428223,,0.9977973699569702
intimacy_noalt,access_only_padded,1,basketball,1.6688082218170166,1922.7421875,129.44516015052795,435,29,,1.6618582010269165,,0.8915809988975525
intimacy_noalt,access_only_padded,2,birthday,1.6659038066864014,1923.443359375,128.47397255897522,435,29,,1.6586112976074219,,0.937980055809021
intimacy_noalt,access_only_padded,3,brunch,1.698746681213379,1919.848876953125,133.2983627319336,435,29,,1.6865655183792114,,0.845529317855835
intimacy_noalt,access_only_padded,4,cooking,1.6958789825439453,1921.8173828125,130.5065495967865,435,29,,1.6857242584228516,,0.949652373790741
intimacy_noalt,access_only_padded,5,dip,1.6649385690689087,1925.6220703125,126.21663475036621,435,29,,1.6618413925170898,,1.0358099937438965
intimacy_noalt,access_only_padded,6,drinks,1.7293672561645508,1917.6956787109375,135.3736970424652,435,29,,1.7238588333129883,,0.9677560329437256
intimacy_noalt,access_only_padded,7,driving,1.6612718105316162,1926.173583984375,125.71290850639343,435,29,,1.6547704935073853,,0.9320687055587769
intimacy_noalt,access_only_padded,8,fair,1.663622260093689,1924.244873046875,127.55347728729248,435,29,,1.6572318077087402,,0.981555700302124
intimacy_noalt,access_only_padded,9,gala,1.662635087966919,1926.0755615234375,125.76428556442261,435,29,,1.6582649946212769,,0.9580943584442139
intimacy_noalt,access_only_padded,10,hike,1.6619257926940918,1924.6011962890625,127.57349872589111,435,29,,1.6507679224014282,,0.8712344765663147
intimacy_noalt,access_only_padded,11,oysters,1.6995192766189575,1919.513916015625,132.8416633605957,435,29,,1.693953514099121,,0.9714521169662476
intimacy_noalt,access_only_padded,12,social,1.6954336166381836,1928.592529296875,123.56202268600464,435,29,,1.685482144355774,,1.0585671663284302
intimacy_noalt,access_only_padded,13,soup,1.6622856855392456,1923.963623046875,127.94360685348511,435,29,,1.6534723043441772,,0.9254347085952759
intimacy_noalt,access_only_padded,14,takeout,1.7068980932235718,1922.5399169921875,129.839537858963,435,29,,1.7007548809051514,,1.012372374534607
intimacy_noalt,access_only_padded,15,wedding,1.66361665725708,1921.676025390625,130.60478925704956,435,29,,1.6576822996139526,,0.8668470978736877
intimacy_noalt,no_access_padded,0,apples,0.8999999165534973,2007.57763671875,133.8384919166565,435,29,0.977718710899353,,0.930099606513977,
intimacy_noalt,no_access_padded,1,basketball,0.8999968767166138,2007.577392578125,133.83848905563354,435,29,1.0726162195205688,,0.9053412079811096,
intimacy_noalt,no_access_padded,2,birthday,0.8999965190887451,2007.57763671875,133.8384919166565,435,29,1.0897331237792969,,0.9044708013534546,
intimacy_noalt,no_access_padded,3,brunch,0.8999999761581421,2007.57763671875,133.83850574493408,435,29,0.9030206799507141,,0.937706470489502,
