experiment,variant,fold,held_out_scenario,alpha_observer,train_nll,test_nll,n_train,n_test
desire,full,0,apples,2.009056329727173,950.765380859375,60.67887657484513,1800,120
desire,full,1,basketball,1.99159038066864,953.3226318359376,57.97416497997444,1800,120
desire,full,2,birthday,2.000617504119873,942.0704345703124,69.29848321302106,1800,120
desire,full,3,brunch,2.0113089084625244,930.8670043945312,80.59864582390604,1800,120
desire,full,4,cooking,2.092832565307617,959.5068969726562,53.08723953732966,1800,120
desire,full,5,dip,2.010624647140503,970.1876220703124,41.27145403803563,1800,120
desire,full,6,drinks,2.0727880001068115,957.073486328125,55.18006121554595,1800,120
desire,full,7,driving,2.083324909210205,931.557861328125,80.86962161287984,1800,120
desire,full,8,fair,2.0822954177856445,941.96728515625,70.44280176056586,1800,120
desire,full,9,gala,2.091757297515869,962.1331787109376,50.441567920081305,1800,120
desire,full,10,hike,2.0738983154296875,937.9495239257812,74.3217988519764,1800,120
desire,full,11,oysters,2.0125277042388916,944.8359375,66.64155648245578,1800,120
desire,full,12,social,1.93474805355072,958.0844116210938,52.96069326175152,1800,120
desire,full,13,soup,2.008261442184448,933.3500366210938,78.086800089293,1800,120
desire,full,14,takeout,2.0015201568603516,947.65673828125,63.71999911866712,1800,120
desire,full,15,wedding,2.0692391395568848,952.3916625976562,59.805740686286434,1800,120
desire,discomfort_only,0,apples,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,1,basketball,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,2,birthday,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,3,brunch,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,4,cooking,10.0,1247.665771484375,83.17766166719355,1800,120
desire,discomfort_only,5,dip,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,6,drinks,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,7,driving,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,8,fair,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,9,gala,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,10,hike,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,11,oysters,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,12,social,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,13,soup,10.0,1247.665771484375,83.17766166719353,1800,120
desire,discomfort_only,14,takeout,10.0,1247.665771484375,83.17766166719355,1800,120
desire,discomfort_only,15,wedding,10.0,1247.665771484375,83.17766166719353,1800,120
desire,base,0,apples,2.5818896293640137,972.9813232421876,64.13338079399927,1800,120
desire,base,1,basketball,2.520780324935913,974.69921875,62.24405592591683,1800,120
desire,base,2,birthday,2.5235490798950195,968.4869995117188,68.45945113392885,1800,120
desire,base,3,brunch,2.58339262008667,956.4104614257812,80.71112825691755,1800,120
desire,base,4,cooking,2.6630940437316895,984.3548583984376,53.31543774959624,1800,120
desire,base,5,dip,2.588852643966675,995.8784790039062,41.26937787795545,1800,120
desire,base,6,drinks,2.5924489498138428,980.648681640625,56.51740574011633,1800,120
desire,base,7,driving,2.709991455078125,952.238525390625,85.91768705922564,1800,120
desire,base,8,fair,2.7053375244140625,962.9700927734376,75.13249959544972,1800,120
desire,base,9,gala,2.6456193923950195,989.0184326171876,48.5014743660307,1800,120
desire,base,10,hike,2.642096757888794,963.6341552734376,73.85737811717102,1800,120
desire,base,11,oysters,2.5891201496124268,968.1162109375,69.03299855198365,1800,120
desire,base,12,social,2.5096020698547363,978.874755859375,58.060655921101926,1800,120
desire,base,13,soup,2.579867362976074,958.23193359375,78.87370811133445,1800,120
desire,base,14,takeout,2.5715131759643555,971.3900756835938,65.68030991786992,1800,120
desire,base,15,wedding,2.5805439949035645,978.3599243164062,58.74868861672906,1800,120
