subject_id,scenario_label,intimacy,effort,action,p_action,intimacy_scaled,effort_condition,action_idx,scenario_idx,pred_access_full,pred_access_only,pred_no_access
01124630-c1db-5d33-add3-dd1dee859a27,apples,0,high,1,0.02,0.0,1,0,0,0.88531923,0.8908658,0.4999998
01124630-c1db-5d33-add3-dd1dee859a27,apples,0,high,2,0.98,0.0,1,1,0,0.11468076,0.10913422,0.50000024
01124630-c1db-5d33-add3-dd1dee859a27,basketball,50,high,1,0.05,0.5,1,0,1,0.59909517,0.740738,0.4999998
01124630-c1db-5d33-add3-dd1dee859a27,basketball,50,high,2,0.95,0.5,1,1,1,0.40090486,0.25926206,0.50000024
01124630-c1db-5d33-add3-dd1dee859a27,birthday,75,low,1,0.7,0.75,0,0,2,0.5798553,0.61201537,0.4999999
01124630-c1db-5d33-add3-dd1dee859a27,birthday,75,low,2,0.3,0.75,0,1,2,0.42014468,0.3879847,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,brunch,100,low,1,0.0,1.0,0,0,3,0.39674285,0.5,0.4999999
01124630-c1db-5d33-add3-dd1dee859a27,brunch,100,low,2,1.0,1.0,0,1,3,0.6032572,0.5,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,cooking,75,low,1,0.9,0.75,0,0,4,0.6449365,0.6282937,0.49999997
01124630-c1db-5d33-add3-dd1dee859a27,cooking,75,low,2,0.1,0.75,0,1,4,0.3550635,0.37170628,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,dip,50,low,1,0.25,0.5,0,0,5,0.8623403,0.740738,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,dip,50,low,2,0.75,0.5,0,1,5,0.13765971,0.25926206,0.49999994
01124630-c1db-5d33-add3-dd1dee859a27,drinks,0,low,1,0.5,0.0,0,0,6,0.93281597,0.87458754,0.49999997
01124630-c1db-5d33-add3-dd1dee859a27,drinks,0,low,2,0.5,0.0,0,1,6,0.06718405,0.1254125,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,driving,50,low,1,0.8,0.5,0,0,7,0.7744865,0.73396116,0.49999997
01124630-c1db-5d33-add3-dd1dee859a27,driving,50,low,2,0.2,0.5,0,1,7,0.2255135,0.2660388,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,fair,50,high,1,0.3,0.5,1,0,8,0.603408,0.6995372,0.49999985
01124630-c1db-5d33-add3-dd1dee859a27,fair,50,high,2,0.7,0.5,1,1,8,0.39659202,0.30046275,0.5000002
01124630-c1db-5d33-add3-dd1dee859a27,gala,100,high,1,0.0,1.0,1,0,9,0.2888515,0.5,0.49999982
01124630-c1db-5d33-add3-dd1dee859a27,gala,100,high,2,1.0,1.0,1,1,9,0.7111485,0.5,0.5000002
01124630-c1db-5d33-add3-dd1dee859a27,hike,100,low,1,0.85,1.0,0,0,10,0.44780892,0.5,0.49999997
01124630-c1db-5d33-add3-dd1dee859a27,hike,100,low,2,0.15,1.0,0,1,10,0.55219114,0.5,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,oysters,75,high,1,0.3,0.75,1,0,11,0.43839198,0.6180222,0.4999998
01124630-c1db-5d33-add3-dd1dee859a27,oysters,75,high,2,0.7,0.75,1,1,11,0.561608,0.3819778,0.5000002
01124630-c1db-5d33-add3-dd1dee859a27,social,75,high,1,0.05,0.75,1,0,12,0.5005802,0.6211152,0.49999985
01124630-c1db-5d33-add3-dd1dee859a27,social,75,high,2,0.95,0.75,1,1,12,0.4994198,0.37888476,0.5000001
01124630-c1db-5d33-add3-dd1dee859a27,soup,0,high,1,0.03,0.0,1,0,13,0.8659318,0.85323185,0.49999985
01124630-c1db-5d33-add3-dd1dee859a27,soup,0,high,2,0.97,0.0,1,1,13,0.13406822,0.1467681,0.5000002
01124630-c1db-5d33-add3-dd1dee859a27,takeout,0,low,1,1.0,0.0,0,0,14,0.94598925,0.8908658,0.49999997
01124630-c1db-5d33-add3-dd1dee859a27,takeout,0,low,2,0.0,0.0,0,1,14,0.0540107,0.10913422,0.50000006
01124630-c1db-5d33-add3-dd1dee859a27,wedding,100,high,1,0.0,1.0,1,0,15,0.31988522,0.5,0.49999985
01124630-c1db-5d33-add3-dd1dee859a27,wedding,100,high,2,1.0,1.0,1,1,15,0.6801148,0.5,0.5000002
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,1,0.15,0.75,1,0,0,0.42557633,0.6282937,0.4999998
2d603083-5409-5572-9c66-9fd9132da339,apples,75,high,2,0.85,0.75,1,1,0,0.5744236,0.37170628,0.50000024
2d603083-5409-5572-9c66-9fd9132da339,basketball,100,high,1,1.0,1.0,1,0,1,0.23852508,0.5,0.4999998
