subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,0,1.0,0.0,0,0,0.55173385,0.46671888,0.3336831
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,1,0.0,0.0,0,0,0.20796458,0.24834187,0.2117838
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,2,0.0,0.0,0,0,0.14771962,0.17530687,0.22585349
15e4b468-56da-5152-a637-1f11b624f2e9,bed,0,low,3,0.0,0.0,0,0,0.092582,0.109632395,0.22867958
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,0,0.0,1.0,1,1,0.1930019,0.25,0.20070885
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,1,0.08,1.0,1,1,0.26948068,0.25,0.27216268
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,2,0.44,1.0,1,1,0.26899907,0.25,0.26638958
15e4b468-56da-5152-a637-1f11b624f2e9,blanket,100,high,3,0.48,1.0,1,1,0.26851833,0.25,0.2607389
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,0,0.61,0.5,0,2,0.40670776,0.32702872,0.34331954
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,1,0.19,0.5,0,2,0.2531366,0.2860861,0.23297454
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,2,0.0,0.5,0,2,0.1948844,0.22060052,0.22686231
15e4b468-56da-5152-a637-1f11b624f2e9,breakup,50,low,3,0.2,0.5,0,2,0.14527127,0.1662846,0.19684358
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,0,0.25,0.75,0,3,0.37968367,0.30280963,0.336108
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,1,0.28,0.75,0,3,0.23340337,0.26356545,0.20879786
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,2,0.35,0.75,0,3,0.20150705,0.2262451,0.22266917
15e4b468-56da-5152-a637-1f11b624f2e9,chapstick,75,low,3,0.12,0.75,0,3,0.1854059,0.20737979,0.23242496
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,0,0.28,0.5,1,4,0.26692894,0.33771178,0.19424544
15e4b468-56da-5152-a637-1f11b624f2e9,gossip,50,high,1,0.28,0.5,1,4,0.3175762,0.2866189,0.2749385
