model,experiment,alpha_observer,beta,nll,n_params
full,intimacy,2.5726728439331055,,7892.50048828125,1
vanilla,intimacy,0.21638895571231842,,8417.98046875,1
discomfort_only,intimacy,3.7811033725738525,,7926.32177734375,1
full_modified,intimacy,2.744964361190796,0.6248292922973633,7890.818359375,2
access_full,intimacy,2.635963201522827,,7891.318359375,1
access_only,intimacy,2.9413907527923584,,7872.5732421875,1
no_access,intimacy,0.7907068133354187,,8417.98046875,1
access_full_llm,intimacy,2.240506172180176,,7894.4775390625,1
access_only_llm,intimacy,3.1611766815185547,,7882.51513671875,1
no_access_llm,intimacy,0.009999999776482582,,8417.98046875,1
full,reward,1.99831223487854,,978.074951171875,1
vanilla,reward,2.0982754230499268,,949.44970703125,1
discomfort_only,reward,7.333702564239502,,1330.8433837890625,1
full_modified,reward,2.8363075256347656,0.0,938.5452270507812,2
access_full,reward,1.9341931343078613,,965.7603759765625,1
access_only,reward,7.333702564239502,,1330.8433837890625,1
no_access,reward,2.095431327819824,,949.482177734375,1
access_full_llm,reward,2.0789735317230225,,1009.34130859375,1
access_only_llm,reward,10.0,,1330.8433837890625,1
no_access_llm,reward,6.700042724609375,,1026.6441650390625,1
