scenario_label,effort_condition,action,new_effort_raw,new_effort_raw_std,new_effort,new_n_runs,new_n_failures,old_effort_raw,old_effort_raw_std,old_effort,delta_effort_raw
basketball,low,0,0.5,0.0,0.08333333333333333,5,0,0.0,0.0,0.0,0.5
basketball,low,1,2.1,0.0,0.35,5,0,1.8,0.4582575694955839,0.3,0.30000000000000004
basketball,low,2,4.5,0.0,0.75,5,0,2.74,0.626418390534633,0.4566666666666666,1.7599999999999998
basketball,high,0,0.4,0.20000000000000004,0.06666666666666667,5,0,0.0,0.0,0.0,0.4
basketball,high,1,5.74,0.11999999999999993,0.9566666666666667,5,0,5.0,0.5,0.8333333333333333,0.7400000000000002
basketball,high,2,1.8,0.37947331922020555,0.3,5,0,1.5,0.0,0.25,0.30000000000000004
drinks,low,0,2.5,0.0,0.41666666666666663,5,0,0.7,0.4,0.1166666666666666,1.8
drinks,low,1,1.8,0.0,0.3,5,0,1.4600000000000002,0.3231098884280702,0.2433333333333333,0.33999999999999986
drinks,low,2,0.2,0.0,0.03333333333333333,5,0,0.15,0.15,0.0249999999999999,0.05000000000000002
drinks,high,0,4.5600000000000005,0.11999999999999994,0.76,5,0,5.699999999999999,0.3,0.9499999999999998,-1.1399999999999988
drinks,high,1,5.74,0.11999999999999993,0.9566666666666667,5,0,5.5,0.0,0.9166666666666666,0.2400000000000002
drinks,high,2,0.2,0.0,0.03333333333333333,5,0,0.2,0.0,0.0333333333333333,0.0
wedding,low,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
wedding,low,1,1.5,0.0,0.25,5,0,1.5,0.0,0.25,0.0
wedding,low,2,4.319999999999999,0.23999999999999985,0.7199999999999999,5,0,4.200000000000001,8.881784197001252e-16,0.7000000000000002,0.11999999999999833
wedding,high,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
wedding,high,1,4.5,0.0,0.75,5,0,4.5,0.0,0.75,0.0
wedding,high,2,5.8,0.0,0.9666666666666666,5,0,3.1,0.9,0.5166666666666666,2.6999999999999997
oysters,low,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
oysters,low,1,2.5,0.0,0.41666666666666663,5,0,2.5,0.0,0.4166666666666666,0.0
oysters,low,2,1.44,0.2939387691339814,0.24,5,0,1.56,0.2939387691339814,0.26,-0.1200000000000001
oysters,high,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
oysters,high,1,4.9,0.48989794855663565,0.8166666666666667,5,0,4.5,0.0,0.75,0.40000000000000036
oysters,high,2,1.8,0.0,0.3,5,0,1.8,0.0,0.3,0.0
