scenario_label,observed_action,effort_condition,intimacy_condition,alt_idx,action_text,is_share,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
takeout,no_share,low,max_formal,0,"Elizabeth dips from the honey mustard sauce container, while Emily uses the ketchup packets",0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,max_formal,1,They pour the honey mustard sauce into extra containers to divide it between them,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,max_formal,2,They take turns dipping from the honey mustard sauce container,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,somewhat_intimate,0,Emily and Elizabeth pour the honey mustard sauce into extra containers to share,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,somewhat_intimate,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,somewhat_intimate,2,They decide not to use any sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,no_share,low,somewhat_intimate,3,They order additional honey mustard sauce from the restaurant,0,0.0,0.0,0.0,4.5,0.5,0.75,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_formal,0,go downstairs to get extra sauce containers,1,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_formal,1,ask the hotel for a plate or surface to pour the sauce onto,1,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_formal,2,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,high,max_formal,3,neither of them use the honey mustard sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,no_share,low,max_intimate,0,Emily and Elizabeth pour the honey mustard sauce into the extra containers to divide it evenly between them,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,max_intimate,1,Elizabeth dips from the honey mustard sauce container and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,max_intimate,2,They put the honey mustard sauce aside and both use the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,no_share,low,max_intimate,3,They take turns dipping from the honey mustard sauce container,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,neither,0,go downstairs to the hotel restaurant to get extra sauce containers,1,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,neither,1,pour the honey mustard sauce onto a surface to divide it,1,0.0,0.0,0.0,3.0,0.0,0.5,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,neither,2,Elizabeth uses no sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,high,neither,3,Emily gives the honey mustard sauce to Elizabeth,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,neither,0,Emily pours the honey mustard sauce into extra containers to divide it between them,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,neither,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,neither,2,They put the honey mustard sauce aside and both use the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,no_share,low,neither,3,They take turns dipping from the honey mustard sauce container,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,max_formal,0,use the ketchup packets as a dipping sauce instead,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,low,max_formal,1,take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,max_formal,2,one person uses the honey mustard and the other uses a ketchup packet,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,max_formal,3,ask the hotel or restaurant for an additional container of honey mustard,0,0.0,0.0,0.0,4.5,0.5,0.75,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,somewhat_intimate,0,go downstairs to get extra sauce containers,1,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,somewhat_intimate,1,take turns dipping in the honey mustard sauce,1,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,somewhat_intimate,2,Emily gives the honey mustard sauce to Elizabeth,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,high,somewhat_intimate,3,Elizabeth gives the ketchup packets to Emily and they both use the honey mustard sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_intimate,0,go downstairs to get extra sauce containers so they can each have honey mustard sauce,0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_intimate,1,share the honey mustard sauce by taking turns dipping,1,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_intimate,2,pour the honey mustard sauce onto a plate or other surface to divide it,1,0.0,0.0,0.0,3.0,0.0,0.5,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,high,max_intimate,3,Emily gives the honey mustard sauce to Elizabeth,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,high,max_intimate,4,Elizabeth gives the ketchup packets to Emily and takes the honey mustard sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,max_intimate,0,use the ketchup packets as a dipping sauce instead,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,low,max_intimate,1,take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,max_intimate,2,one person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,somewhat_intimate,0,Use the ketchup packets as a dipping sauce instead,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,low,somewhat_intimate,1,Take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,somewhat_intimate,2,One person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,somewhat_intimate,3,Order another container of honey mustard from the restaurant,0,0.0,0.0,0.0,4.5,0.5,0.75,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,neither,0,take turns dipping from the original container,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,neither,1,one person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,neither,2,order another container of honey mustard from the restaurant,0,0.0,0.0,0.0,4.5,0.5,0.75,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,neither,3,use the honey mustard container back and forth without pouring into separate containers,1,6.0,0.0,1.0,0.4,0.4898979485566356,0.0666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,neither,0,take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,neither,1,one person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,high,neither,2,go to the hotel restaurant to get extra sauce containers and then share the honey mustard between them,1,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,neither,3,one person gets extra sauce from the hotel restaurant while the other waits,0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,neither,4,use the ketchup packets as a dipping sauce for both,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
