scenario_label,action,risk_raw,risk_raw_std,risk,n_runs_risk,n_failures_risk
basketball,no_share,0.0,0.0,0.0,10,0
basketball,low_risk_share,3.0,0.0,0.5,10,0
basketball,high_risk_share,6.0,0.0,1.0,10,0
birthday,no_share,0.0,0.0,0.0,10,0
birthday,low_risk_share,0.0,0.0,0.0,10,0
birthday,high_risk_share,6.0,0.0,1.0,10,0
brunch,no_share,2.2,0.2449489742783178,0.3666666666666667,10,0
brunch,low_risk_share,1.15,0.229128784747792,0.1916666666666666,10,0
brunch,high_risk_share,4.85,0.8077747210701757,0.8083333333333332,10,0
takeout,no_share,0.0,0.0,0.0,10,0
takeout,low_risk_share,0.0,0.0,0.0,10,0
takeout,high_risk_share,6.0,0.0,1.0,10,0
cooking,no_share,0.0,0.0,0.0,10,0
cooking,low_risk_share,0.0,0.0,0.0,10,0
cooking,high_risk_share,6.0,0.0,1.0,10,0
apples,no_share,0.0,0.0,0.0,10,0
apples,low_risk_share,0.0,0.0,0.0,10,0
apples,high_risk_share,6.0,0.0,1.0,10,0
dip,no_share,0.0,0.0,0.0,10,0
dip,low_risk_share,0.0,0.0,0.0,10,0
dip,high_risk_share,6.0,0.0,1.0,10,0
drinks,no_share,0.0,0.0,0.0,10,0
drinks,low_risk_share,0.6,0.3,0.0999999999999999,10,0
drinks,high_risk_share,6.0,0.0,1.0,10,0
driving,no_share,0.0,0.0,0.0,10,0
driving,low_risk_share,0.3,0.9000000000000001,0.0499999999999999,10,0
driving,high_risk_share,6.0,0.0,1.0,10,0
fair,no_share,0.0,0.0,0.0,10,0
fair,low_risk_share,2.8,0.6,0.4666666666666666,10,0
fair,high_risk_share,6.0,0.0,1.0,10,0
gala,no_share,0.0,0.0,0.0,10,0
gala,low_risk_share,1.0,0.0,0.1666666666666666,10,0
gala,high_risk_share,6.0,0.0,1.0,10,0
hike,no_share,0.0,0.0,0.0,10,0
hike,low_risk_share,3.55,0.687386354243376,0.5916666666666667,10,0
hike,high_risk_share,6.0,0.0,1.0,10,0
oysters,no_share,0.0,0.0,0.0,10,0
oysters,low_risk_share,0.0,0.0,0.0,10,0
oysters,high_risk_share,6.0,0.0,1.0,10,0
social,no_share,0.0,0.0,0.0,10,0
social,low_risk_share,3.0,0.0,0.5,10,0
social,high_risk_share,6.0,0.0,1.0,10,0
soup,no_share,0.0,0.0,0.0,10,0
soup,low_risk_share,2.1,0.3,0.35,10,0
soup,high_risk_share,6.0,0.0,1.0,10,0
wedding,no_share,0.0,0.0,0.0,10,0
wedding,low_risk_share,2.0,0.0,0.3333333333333333,10,0
wedding,high_risk_share,5.7,0.458257569495584,0.95,10,0
