scenario_label,effort_condition,action,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low,low_risk_share,1.0,0.0,0.16666666666666666,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high,low_risk_share,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25,10,10,10,0,0,0
birthday,low,low_risk_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25,10,10,10,0,0,0
birthday,high,low_risk_share,0.0,0.0,0.0,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,no_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,1.55,0.8500000000000001,0.2583333333333333,10,10,10,0,0,0
brunch,low,low_risk_share,0.5,0.0,0.08333333333333333,3.56,0.11999999999999993,0.5933333333333333,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,high_risk_share,4.1,0.2,0.6833333333333332,1.44,0.12000000000000002,0.24,6.0,0.0,1.0,10,10,10,0,0,0
brunch,high,no_share,0.0,0.0,0.0,1.5,0.0,0.25,1.55,0.8500000000000001,0.2583333333333333,10,10,10,0,0,0
