scenario_label,desire_condition,desire_raw,desire_raw_std,desire,n_runs,n_failures
basketball,low,20.0,0.0,0.2,10,0
basketball,high,95.0,0.0,0.95,10,0
birthday,low,62.5,12.5,0.625,10,0
birthday,high,88.0,4.0,0.88,10,0
brunch,low,60.0,0.0,0.6,10,0
brunch,high,90.0,0.0,0.9,10,0
takeout,low,84.0,3.0,0.84,10,0
takeout,high,91.5,2.29128784747792,0.915,10,0
cooking,low,50.0,0.0,0.5,10,0
cooking,high,98.0,0.0,0.98,10,0
apples,low,20.0,0.0,0.2,10,0
apples,high,90.0,0.0,0.9,10,0
drinks,low,20.0,0.0,0.2,10,0
drinks,high,90.0,0.0,0.9,10,0
dip,low,40.0,0.0,0.4,10,0
dip,high,90.0,0.0,0.9,10,0
driving,low,60.0,12.649110640673518,0.6,10,0
driving,high,98.0,0.0,0.98,10,0
gala,low,20.0,0.0,0.2,10,0
gala,high,90.0,0.0,0.9,10,0
fair,low,40.0,0.0,0.4,10,0
fair,high,90.0,0.0,0.9,10,0
hike,low,20.0,0.0,0.2,10,0
hike,high,95.0,0.0,0.95,10,0
oysters,low,50.0,0.0,0.5,10,0
oysters,high,95.3,0.9,0.953,10,0
social,low,20.0,0.0,0.2,10,0
social,high,95.3,0.9,0.953,10,0
soup,low,20.0,0.0,0.2,10,0
soup,high,90.0,0.0,0.9,10,0
wedding,low,80.0,0.0,0.8,10,0
wedding,high,90.0,0.0,0.9,10,0
