scenario_label,observed_action,intimacy_condition,effort_condition,alt_idx,action_text,is_share,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,no_share,max_intimate,low,0,Carissa buys the hot dog and eats it,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_intimate,high,0,Carissa buys the hot dog and eats it,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_intimate,low,1,Josh buys the hot dog and eats it,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_intimate,high,1,Josh buys the hot dog and eats it,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_intimate,low,2,They buy one hot dog and share it,1,6.0,0.0,1.0,0.85,0.3201562118716424,0.1416666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,max_intimate,high,2,They buy one hot dog and share it,1,6.0,0.0,1.0,0.15,0.229128784747792,0.0249999999999999,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,max_formal,low,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_formal,high,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_formal,low,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_formal,high,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,max_formal,low,2,They buy one hot dog and split it,1,6.0,0.0,1.0,1.6,0.5385164807134504,0.2666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,max_formal,high,2,They buy one hot dog and split it,1,6.0,0.0,1.0,0.15,0.229128784747792,0.0249999999999999,6.0,0.0,1.0,10,10,10,0,0,0
