scenario_label,effort_condition,action,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low,low_risk_share,1.1,0.3,0.18333333333333335,1.9,0.19999999999999998,0.31666666666666665,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low,high_risk_share,6.0,0.0,1.0,0.85,0.32015621187164245,0.14166666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high,low_risk_share,1.1,0.3,0.18333333333333335,5.85,0.22912878474779197,0.9749999999999999,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,high_risk_share,6.0,0.0,1.0,0.15,0.22912878474779202,0.024999999999999998,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25,10,10,10,0,0,0
birthday,low,low_risk_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.25,10,10,10,0,0,0
birthday,high,low_risk_share,0.0,0.0,0.0,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,no_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,1.65,0.45,0.27499999999999997,10,10,10,0,0,0
brunch,low,low_risk_share,0.5,0.0,0.08333333333333333,3.7699999999999996,0.08999999999999994,0.6283333333333332,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,high_risk_share,4.5,0.0,0.75,1.2299999999999998,0.09000000000000001,0.20499999999999996,5.95,0.15,0.9916666666666667,10,10,10,0,0,0
brunch,high,no_share,0.0,0.0,0.0,1.5,0.0,0.25,1.65,0.45,0.27499999999999997,10,10,10,0,0,0
brunch,high,low_risk_share,0.5,0.0,0.08333333333333333,3.839999999999999,0.12000000000000012,0.6399999999999998,6.0,0.0,1.0,10,10,10,0,0,0
brunch,high,high_risk_share,4.5,0.0,0.75,0.53,0.09000000000000001,0.08833333333333333,5.95,0.15,0.9916666666666667,10,10,10,0,0,0
takeout,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low,low_risk_share,0.0,0.0,0.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,high,low_risk_share,0.0,0.0,0.0,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
