scenario_label,observed_action,desire_condition,effort_condition,alt_idx,action_text,is_share,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,no_share,low,low,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,low,high,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,low,low,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,low,high,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,low,low,2,They buy one hot dog and share it,1,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,low,high,2,They buy one hot dog and share it,1,6.0,0.0,1.0,0.35,0.22912878474779197,0.05833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high_risk_share,high,low,0,Carissa buys the hot dog and eats it herself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,high,0,Carissa buys the hot dog and eats it herself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,low,1,Josh buys the hot dog and eats it himself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,high,1,Josh buys the hot dog and eats it himself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,low,2,They decide not to buy a hot dog and look for other food options,0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,high,2,They decide not to buy a hot dog and look for other food options,0,0.0,0.0,0.0,0.7,0.45825756949558394,0.11666666666666665,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,high,low,3,They cut the hot dog in half and each eat a portion,1,1.8,0.9797958971132713,0.3,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high_risk_share,high,high,3,They cut the hot dog in half and each eat a portion,1,1.8,0.9797958971132713,0.3,5.65,0.22912878474779197,0.9416666666666667,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low_risk_share,high,low,0,Carissa buys the hot dog and eats it all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,0,Carissa buys the hot dog and eats it all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,low,1,Josh buys the hot dog and eats it all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,1,Josh buys the hot dog and eats it all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,low,2,They decide not to buy a hot dog and look for other food options,0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,2,They decide not to buy a hot dog and look for other food options,0,0.0,0.0,0.0,0.7,0.45825756949558394,0.11666666666666665,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,high,low,3,They take turns eating the hot dog in its entirety,1,6.0,0.0,1.0,1.1,0.3,0.18333333333333335,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low_risk_share,high,high,3,They take turns eating the hot dog in its entirety,1,6.0,0.0,1.0,0.35,0.22912878474779197,0.05833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low_risk_share,low,low,0,Carissa buys the hot dog and eats it alone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,high,0,Carissa buys the hot dog and eats it alone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,low,1,Josh buys the hot dog and eats it alone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,high,1,Josh buys the hot dog and eats it alone,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,low,2,They decide not to buy a hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,high,2,They decide not to buy a hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,low,3,They look for another food stand that accepts card payments,0,0.0,0.0,0.0,3.1,0.3,0.5166666666666666,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low_risk_share,low,high,3,They look for another food stand that accepts card payments,0,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0,10,10,10,0,0,0
basketball,no_share,high,low,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,high,high,0,Carissa buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,high,low,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,high,high,1,Josh buys the hot dog,0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,0.39999999999999997,10,10,10,0,0,0
basketball,no_share,high,low,2,They buy one hot dog and share it,1,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,high,high,2,They buy one hot dog and share it,1,6.0,0.0,1.0,0.35,0.22912878474779197,0.05833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,no_share,high,low,3,One of them goes to find an ATM to withdraw cash,0,0.0,0.0,0.0,5.0,0.0,0.8333333333333333,4.5,2.0124611797498106,0.75,10,10,10,0,0,0
basketball,no_share,high,high,3,One of them goes to find an ATM to withdraw cash,0,0.0,0.0,0.0,4.3,0.45825756949558405,0.7166666666666666,4.5,2.0124611797498106,0.75,10,10,10,0,0,0
basketball,high_risk_share,low,low,0,Carissa buys the hot dog and eats it herself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,high,0,Carissa buys the hot dog and eats it herself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,low,1,Josh buys the hot dog and eats it himself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,high,1,Josh buys the hot dog and eats it himself,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,low,2,They decide not to buy a hot dog and look for other snacks,0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,high,2,They decide not to buy a hot dog and look for other snacks,0,0.0,0.0,0.0,0.7,0.45825756949558394,0.11666666666666665,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high_risk_share,low,low,3,They cut the hot dog in half and each eat a portion,1,1.8,0.9797958971132713,0.3,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high_risk_share,low,high,3,They cut the hot dog in half and each eat a portion,1,1.8,0.9797958971132713,0.3,5.65,0.22912878474779197,0.9416666666666667,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,low,0,Emily uses the honey mustard and Elizabeth uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,high,0,Emily uses the honey mustard and Elizabeth uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,low,1,They take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.15,0.22912878474779197,0.024999999999999998,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,high,1,They take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.5,0.5,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,low,low,2,Elizabeth uses the honey mustard and Emily uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,high,2,Elizabeth uses the honey mustard and Emily uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,low,low,3,They decide not to use any dipping sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,low,high,3,They decide not to use any dipping sauce,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,high,low,0,take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.15,0.22912878474779197,0.024999999999999998,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,high,0,take turns dipping into the single container of honey mustard,1,6.0,0.0,1.0,0.5,0.5,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,low,1,one person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,high,high,1,one person uses the honey mustard and the other uses ketchup,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low_risk_share,high,low,2,use the ketchup packets together as a substitute for honey mustard,1,2.7,0.9,0.45,0.6,0.2,0.09999999999999999,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,high,high,2,use the ketchup packets together as a substitute for honey mustard,1,2.7,0.9,0.45,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,10,10,10,0,0,0
takeout,low_risk_share,high,low,3,order another container of honey mustard from the restaurant,0,0.0,0.0,0.0,4.0,0.0,0.6666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low_risk_share,high,high,3,order another container of honey mustard from the restaurant,0,0.0,0.0,0.0,4.9,0.3,0.8166666666666667,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,low,0,Emily and Elizabeth share the honey mustard sauce,1,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,high,0,Emily and Elizabeth share the honey mustard sauce,1,6.0,0.0,1.0,0.2,0.4000000000000001,0.03333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,low,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,high,1,Elizabeth uses the honey mustard sauce and Emily uses the ketchup packets,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,no_share,low,low,2,They ask the hotel to help them contact the restaurant to request an additional honey mustard sauce,0,0.0,0.0,0.0,3.0,0.0,0.5,6.0,0.0,1.0,10,10,10,0,0,0
takeout,no_share,low,high,2,They ask the hotel to help them contact the restaurant to request an additional honey mustard sauce,0,0.0,0.0,0.0,4.0,0.0,0.6666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
