scenario_label,effort_condition,action,risk_raw,risk_raw_std,risk,effort_raw,effort_raw_std,effort,g_raw,g_raw_std,g,n_runs_risk,n_runs_effort,n_runs_g,n_failures_risk,n_failures_effort,n_failures_g
basketball,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,low,low_risk_share,1.8,0.9797958971132713,0.3,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
basketball,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
basketball,high,low_risk_share,1.8,0.9797958971132713,0.3,5.65,0.22912878474779197,0.9416666666666667,6.0,0.0,1.0,10,10,10,0,0,0
basketball,high,high_risk_share,6.0,0.0,1.0,0.35,0.22912878474779197,0.05833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,low,low_risk_share,0.0,0.0,0.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
takeout,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
takeout,high,low_risk_share,0.0,0.0,0.0,4.0,0.22360679774997896,0.6666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
takeout,high,high_risk_share,6.0,0.0,1.0,0.2,0.4000000000000001,0.03333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.687386354243376,0.32499999999999996,10,10,10,0,0,0
birthday,low,low_risk_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,10,10,0,0,0
birthday,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.687386354243376,0.32499999999999996,10,10,10,0,0,0
birthday,high,low_risk_share,0.0,0.0,0.0,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
birthday,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,no_share,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,1.5,0.0,0.25,10,10,10,0,0,0
brunch,low,low_risk_share,0.0,0.0,0.0,3.59,0.13747727084867511,0.5983333333333333,6.0,0.0,1.0,10,10,10,0,0,0
brunch,low,high_risk_share,4.95,1.1715374513859982,0.825,1.41,0.13747727084867523,0.235,6.0,0.0,1.0,10,10,10,0,0,0
brunch,high,no_share,0.0,0.0,0.0,1.5,0.0,0.25,1.5,0.0,0.25,10,10,10,0,0,0
brunch,high,low_risk_share,0.0,0.0,0.0,3.88,0.16000000000000014,0.6466666666666666,6.0,0.0,1.0,10,10,10,0,0,0
brunch,high,high_risk_share,4.95,1.1715374513859982,0.825,0.69,0.20223748416156684,0.11499999999999999,6.0,0.0,1.0,10,10,10,0,0,0
drinks,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
drinks,low,low_risk_share,0.2,0.24494897427831783,0.03333333333333333,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
drinks,low,high_risk_share,6.0,0.0,1.0,0.5,0.0,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
drinks,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
drinks,high,low_risk_share,0.2,0.24494897427831783,0.03333333333333333,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
drinks,high,high_risk_share,6.0,0.0,1.0,0.55,0.15,0.09166666666666667,6.0,0.0,1.0,10,10,10,0,0,0
apples,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
apples,low,low_risk_share,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
apples,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
apples,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
apples,high,low_risk_share,0.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,1.0,10,10,10,0,0,0
apples,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
cooking,low,no_share,0.0,0.0,0.0,1.5,0.0,0.25,3.0,0.0,0.5,10,8,10,0,2,0
cooking,low,low_risk_share,0.35,0.22912878474779202,0.05833333333333333,2.5,0.0,0.41666666666666663,6.0,0.0,1.0,10,8,10,0,2,0
cooking,low,high_risk_share,6.0,0.0,1.0,1.375,0.9921567416492215,0.22916666666666666,6.0,0.0,1.0,10,8,10,0,2,0
cooking,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
cooking,high,low_risk_share,0.35,0.22912878474779202,0.05833333333333333,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
cooking,high,high_risk_share,6.0,0.0,1.0,2.0,0.0,0.3333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
dip,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
dip,low,low_risk_share,0.0,0.0,0.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
dip,low,high_risk_share,6.0,0.0,1.0,0.5,0.0,0.08333333333333333,6.0,0.0,1.0,10,10,10,0,0,0
dip,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
dip,high,low_risk_share,0.0,0.0,0.0,4.5,0.0,0.75,6.0,0.0,1.0,10,10,10,0,0,0
dip,high,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
driving,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
driving,low,low_risk_share,0.0,0.0,0.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
driving,low,high_risk_share,6.0,0.0,1.0,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
driving,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
driving,high,low_risk_share,0.0,0.0,0.0,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
driving,high,high_risk_share,6.0,0.0,1.0,1.5,0.0,0.25,6.0,0.0,1.0,10,10,10,0,0,0
gala,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
gala,low,low_risk_share,1.0,0.0,0.16666666666666666,1.0,0.0,0.16666666666666666,6.0,0.0,1.0,10,10,10,0,0,0
gala,low,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
gala,high,no_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0
gala,high,low_risk_share,1.0,0.0,0.16666666666666666,4.3,0.2449489742783178,0.7166666666666666,6.0,0.0,1.0,10,10,10,0,0,0
gala,high,high_risk_share,6.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,10,0,0,0
fair,low,no_share,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,10,10,10,0,0,0
fair,low,low_risk_share,0.0,0.0,0.0,3.5,0.0,0.5833333333333333,6.0,0.0,1.0,10,10,10,0,0,0
