scenario_label,observed_action,effort_condition,intimacy_condition,alt_idx,action_text,is_share
basketball,action_0,low,50,0,Carissa buys the hot dog and eats it herself,0
basketball,action_0,low,50,1,Josh buys the hot dog and eats it himself,0
basketball,action_0,low,50,2,They buy one hot dog and share it,1
basketball,action_0,low,0,0,Carissa buys the hot dog,0
basketball,action_0,low,0,1,Josh buys the hot dog,0
basketball,action_0,low,0,2,They buy one hot dog and share it,1
basketball,action_0,high,50,0,Carissa buys the hot dog,0
basketball,action_0,high,50,1,Josh buys the hot dog,0
basketball,action_0,high,50,2,They buy one hot dog and cut it in half using another object,1
basketball,action_0,high,50,3,They take turns going to the restaurant to get a knife to cut the hot dog,1
basketball,action_0,high,75,0,Carissa buys the hot dog,0
basketball,action_0,high,75,1,Josh buys the hot dog,0
basketball,action_0,high,75,2,They buy one hot dog and split it,1
basketball,action_0,high,75,3,One of them goes to the sit-down restaurant to get a knife to split the hot dog,1
basketball,action_0,high,100,0,Carissa buys the hot dog,0
basketball,action_0,high,100,1,Josh buys the hot dog,0
basketball,action_0,high,100,2,They buy one hot dog and split it,1
basketball,action_0,high,100,3,One of them goes to the restaurant to get a knife to split the hot dog,1
basketball,action_1,low,0,0,Carissa buys the hot dog and eats it all,0
basketball,action_1,low,0,1,Josh buys the hot dog and eats it all,0
basketball,action_1,low,0,2,They decide not to buy a hot dog,0
basketball,action_1,low,0,3,They look for another vendor that accepts other forms of payment,0
basketball,action_0,high,0,0,Carissa buys the hot dog and eats it herself,0
basketball,action_0,high,0,1,Josh buys the hot dog and eats it himself,0
basketball,action_0,high,0,2,They buy the hot dog and cut it in half with their hands or teeth to share,1
basketball,action_0,high,0,3,One person goes to the sit-down restaurant to get a knife to cut the hot dog in half,1
basketball,action_0,low,75,0,Carissa buys the hot dog and eats it,0
basketball,action_0,low,75,1,Josh buys the hot dog and eats it,0
basketball,action_0,low,75,2,They buy one hot dog and share it,1
basketball,action_1,low,100,0,Carissa buys the hot dog and eats it all,0
basketball,action_1,low,100,1,Josh buys the hot dog and eats it all,0
basketball,action_1,low,100,2,They decide not to buy a hot dog,0
basketball,action_1,low,100,3,They take turns eating the hot dog in its entirety,0
basketball,action_1,low,50,0,One person buys the hot dog and eats it alone,0
basketball,action_1,low,50,1,They decide not to buy a hot dog and look for another food option,0
basketball,action_1,low,50,2,They take turns eating the hot dog in its entirety,0
basketball,action_1,low,50,3,They flip a coin to decide who gets the hot dog,0
basketball,action_1,high,50,0,Carissa eats the whole hot dog,0
basketball,action_1,high,50,1,Josh eats the whole hot dog,0
basketball,action_1,high,50,2,They decide not to get a hot dog,0
basketball,action_1,high,50,3,They take turns eating the hot dog in its entirety,1
basketball,action_0,low,100,0,Carissa buys the hot dog and Josh doesn't get one,0
basketball,action_0,low,100,1,Josh buys the hot dog and Carissa doesn't get one,0
basketball,action_0,low,100,2,They buy one hot dog and share it,1
basketball,action_0,low,100,3,They use a plastic knife from the condiment station to cut the hot dog in half and share it,1
basketball,action_1,high,100,0,Carissa buys the hot dog and eats it all,0
basketball,action_1,high,100,1,Josh buys the hot dog and eats it all,0
basketball,action_1,high,100,2,They decide not to buy a hot dog,0
basketball,action_1,high,100,3,They take turns eating the whole hot dog,1
