scenario_label,effort_condition,action,access_raw,access_raw_std,access,effort_raw,effort_raw_std,effort,n_runs_access,n_runs_effort,n_failures_access,n_failures_effort
basketball,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
basketball,low,1,3.0,0.0,1.0,1.65,0.22912878474779202,0.27499999999999997,10,10,0,0
basketball,low,2,6.0,0.0,2.0,0.3,0.45825756949558394,0.049999999999999996,10,10,0,0
basketball,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
basketball,high,1,3.0,0.0,1.0,6.0,0.0,1.0,10,10,0,0
basketball,high,2,6.0,0.0,2.0,0.0,0.0,0.0,10,10,0,0
birthday,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
birthday,low,1,0.0,0.0,0.0,2.35,0.22912878474779202,0.39166666666666666,10,10,0,0
birthday,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
birthday,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
birthday,high,1,0.0,0.0,0.0,4.2,0.2449489742783178,0.7,10,10,0,0
birthday,high,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
brunch,low,0,2.2,0.2449489742783178,0.7333333333333334,2.5,0.0,0.41666666666666663,10,10,0,0
brunch,low,1,1.15,0.22912878474779202,0.3833333333333333,2.0,0.0,0.3333333333333333,10,10,0,0
brunch,low,2,4.85,0.8077747210701757,1.6166666666666665,0.5,0.0,0.08333333333333333,10,10,0,0
brunch,high,0,2.2,0.2449489742783178,0.7333333333333334,2.5,0.0,0.41666666666666663,10,10,0,0
brunch,high,1,1.15,0.22912878474779202,0.3833333333333333,3.8599999999999994,0.1280624847486571,0.6433333333333332,10,10,0,0
brunch,high,2,4.85,0.8077747210701757,1.6166666666666665,0.72,0.354400902933387,0.12,10,10,0,0
takeout,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
takeout,low,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,10,10,0,0
takeout,low,2,6.0,0.0,2.0,0.2,0.4000000000000001,0.03333333333333333,10,10,0,0
takeout,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
takeout,high,1,0.0,0.0,0.0,3.0,0.0,0.5,10,10,0,0
takeout,high,2,6.0,0.0,2.0,0.0,0.0,0.0,10,10,0,0
cooking,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
cooking,low,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,10,10,0,0
cooking,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
cooking,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
cooking,high,1,0.0,0.0,0.0,3.0,0.0,0.5,10,10,0,0
cooking,high,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
apples,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
apples,low,1,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,10,10,0,0
apples,low,2,6.0,0.0,2.0,0.95,0.15,0.15833333333333333,10,10,0,0
apples,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
apples,high,1,0.0,0.0,0.0,6.0,0.0,1.0,10,10,0,0
apples,high,2,6.0,0.0,2.0,0.85,0.22912878474779197,0.14166666666666666,10,10,0,0
dip,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
dip,low,1,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,10,10,0,0
dip,low,2,6.0,0.0,2.0,2.5,0.0,0.41666666666666663,10,10,0,0
dip,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
dip,high,1,0.0,0.0,0.0,4.5,0.0,0.75,10,10,0,0
dip,high,2,6.0,0.0,2.0,2.5,0.0,0.41666666666666663,10,10,0,0
drinks,low,0,0.0,0.0,0.0,2.1,0.3,0.35,10,10,0,0
drinks,low,1,0.6,0.30000000000000004,0.19999999999999998,2.35,0.22912878474779202,0.39166666666666666,10,10,0,0
drinks,low,2,6.0,0.0,2.0,0.35,0.22912878474779197,0.05833333333333333,10,10,0,0
drinks,high,0,0.0,0.0,0.0,6.0,0.0,1.0,10,10,0,0
drinks,high,1,0.6,0.30000000000000004,0.19999999999999998,6.0,0.0,1.0,10,10,0,0
drinks,high,2,6.0,0.0,2.0,0.0,0.0,0.0,10,10,0,0
driving,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
driving,low,1,0.3,0.9000000000000001,0.09999999999999999,2.0,0.0,0.3333333333333333,10,10,0,0
driving,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
driving,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
driving,high,1,0.3,0.9000000000000001,0.09999999999999999,3.35,0.22912878474779202,0.5583333333333333,10,10,0,0
driving,high,2,6.0,0.0,2.0,1.35,0.22912878474779202,0.225,10,10,0,0
fair,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
fair,low,1,2.8,0.6,0.9333333333333332,3.5,0.0,0.5833333333333333,10,10,0,0
fair,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
fair,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
fair,high,1,2.8,0.6,0.9333333333333332,5.2,0.39999999999999997,0.8666666666666667,10,10,0,0
fair,high,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
gala,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
gala,low,1,1.0,0.0,0.3333333333333333,1.0,0.0,0.16666666666666666,10,10,0,0
gala,low,2,6.0,0.0,2.0,0.0,0.0,0.0,10,10,0,0
gala,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,0,1
gala,high,1,1.0,0.0,0.3333333333333333,3.0,0.0,0.5,10,9,0,1
gala,high,2,6.0,0.0,2.0,0.0,0.0,0.0,10,9,0,1
hike,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
hike,low,1,3.55,0.687386354243376,1.1833333333333331,1.5,0.0,0.25,10,10,0,0
hike,low,2,6.0,0.0,2.0,0.3,0.24494897427831783,0.049999999999999996,10,10,0,0
hike,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
hike,high,1,3.55,0.687386354243376,1.1833333333333331,4.5,0.0,0.75,10,10,0,0
hike,high,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
oysters,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
oysters,low,1,0.0,0.0,0.0,2.5,0.0,0.41666666666666663,10,10,0,0
oysters,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
oysters,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
oysters,high,1,0.0,0.0,0.0,4.5,0.0,0.75,10,10,0,0
oysters,high,2,6.0,0.0,2.0,1.5,0.0,0.25,10,10,0,0
social,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
social,low,1,3.0,0.0,1.0,1.0,0.0,0.16666666666666666,10,10,0,0
social,low,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
social,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
social,high,1,3.0,0.0,1.0,4.0,0.0,0.6666666666666666,10,10,0,0
social,high,2,6.0,0.0,2.0,1.0,0.0,0.16666666666666666,10,10,0,0
soup,low,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
soup,low,1,2.1,0.3,0.7,3.5,0.0,0.5833333333333333,10,10,0,0
soup,low,2,6.0,0.0,2.0,1.4,0.19999999999999998,0.2333333333333333,10,10,0,0
soup,high,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
soup,high,1,2.1,0.3,0.7,4.5,0.0,0.75,10,10,0,0
