scenario_label,action,access_raw,access_raw_std,access,n_runs_access,n_failures_access
basketball,0,0.0,0.0,0.0,10,0
basketball,1,1.25,0.25,0.41666666666666663,10,0
basketball,2,5.529999999999999,0.08999999999999996,1.843333333333333,10,0
birthday,0,0.0,0.0,0.0,10,0
birthday,1,0.5,0.0,0.16666666666666666,10,0
birthday,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10,0
brunch,0,1.2,0.6403124237432849,0.39999999999999997,10,0
brunch,1,1.08,0.24413111231467402,0.36,10,0
brunch,2,4.5,0.2999999999999998,1.5,10,0
takeout,0,0.0,0.0,0.0,10,0
takeout,1,1.0,0.0,0.3333333333333333,10,0
takeout,2,5.5,0.0,1.8333333333333333,10,0
cooking,0,0.5,0.0,0.16666666666666666,10,0
cooking,1,1.1999999999999997,2.220446049250313e-16,0.3999999999999999,10,0
cooking,2,4.799999999999999,8.881784197001252e-16,1.5999999999999996,10,0
apples,0,0.0,0.0,0.0,10,0
apples,1,0.0,0.0,0.0,10,0
apples,2,5.1,0.4898979485566356,1.6999999999999997,10,0
dip,0,0.0,0.0,0.0,10,0
dip,1,0.0,0.0,0.0,10,0
dip,2,5.95,0.15,1.9833333333333334,10,0
drinks,0,0.0,0.0,0.0,10,0
drinks,1,2.5,0.0,0.8333333333333333,10,0
drinks,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10,0
driving,0,0.0,0.0,0.0,10,0
driving,1,1.05,0.15,0.35,10,0
driving,2,5.529999999999999,0.08999999999999996,1.843333333333333,10,0
fair,0,0.0,0.0,0.0,10,0
fair,1,2.5,0.0,0.8333333333333333,10,0
fair,2,5.77,0.08999999999999996,1.9233333333333331,10,0
gala,0,0.0,0.0,0.0,10,0
gala,1,1.7,0.6,0.5666666666666667,10,0
gala,2,6.0,0.0,2.0,10,0
hike,0,0.0,0.0,0.0,10,0
hike,1,2.5,0.0,0.8333333333333333,10,0
hike,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10,0
oysters,0,0.0,0.0,0.0,10,0
oysters,1,1.45,0.15,0.4833333333333333,10,0
oysters,2,5.8199999999999985,0.06000000000000006,1.9399999999999995,10,0
social,0,0.0,0.0,0.0,10,0
social,1,2.5,0.0,0.8333333333333333,10,0
social,2,5.8199999999999985,0.06000000000000006,1.9399999999999995,10,0
soup,0,0.0,0.0,0.0,10,0
soup,1,2.5,0.0,0.8333333333333333,10,0
soup,2,5.67,0.30347981810987035,1.89,10,0
wedding,0,0.0,0.0,0.0,10,0
wedding,1,2.5,0.0,0.8333333333333333,10,0
wedding,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10,0
