scenario_label,effort_condition,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
basketball,low,1,0.64,0.27999999999999997,1.5,0.0,0.21333333333333332,0.25,10,10
basketball,low,2,5.799999999999999,8.881784197001252e-16,3.7599999999999993,0.8428523002282191,1.933333333333333,0.6266666666666665,10,10
basketball,high,1,0.45,0.15000000000000002,5.739999999999999,0.11999999999999994,0.15,0.9566666666666666,10,10
basketball,high,2,5.8199999999999985,0.06000000000000006,0.26,0.12000000000000001,1.9399999999999995,0.043333333333333335,10,10
birthday,low,1,0.5,0.0,2.1,0.48989794855663565,0.16666666666666666,0.35,10,10
birthday,low,2,5.200000000000001,8.881784197001252e-16,0.9199999999999999,0.09797958971132711,1.7333333333333336,0.15333333333333332,10,10
birthday,high,1,0.5,0.0,4.5,0.0,0.16666666666666666,0.75,10,10
birthday,high,2,5.230000000000001,0.08999999999999994,1.8,0.0,1.7433333333333336,0.3,10,10
brunch,low,1,0.44000000000000006,0.12,2.5,0.0,0.14666666666666667,0.41666666666666663,10,10
brunch,low,2,4.260000000000001,0.11999999999999993,0.5,0.0,1.4200000000000002,0.08333333333333333,10,10
brunch,high,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
brunch,high,2,4.200000000000001,8.881784197001252e-16,0.5,0.0,1.4000000000000004,0.08333333333333333,10,10
takeout,low,1,0.0,0.0,1.5,0.0,0.0,0.25,10,10
takeout,low,2,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
takeout,high,1,0.1,0.20000000000000004,3.9,0.9165151389911679,0.03333333333333333,0.6499999999999999,10,10
takeout,high,2,5.959999999999999,0.08000000000000007,0.5,0.0,1.9866666666666664,0.08333333333333333,10,10
cooking,low,1,0.47000000000000003,0.09,2.5,0.0,0.15666666666666668,0.41666666666666663,10,10
cooking,low,2,5.130000000000001,0.21000000000000002,1.8,0.0,1.7100000000000002,0.3,10,10
cooking,high,1,0.26,0.12000000000000001,4.799999999999999,8.881784197001252e-16,0.08666666666666667,0.7999999999999998,10,10
cooking,high,2,5.44,0.11999999999999993,1.23,0.09000000000000001,1.8133333333333335,0.205,10,10
apples,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
apples,low,2,6.0,0.0,1.8,0.0,2.0,0.3,10,10
apples,high,1,0.0,0.0,5.799999999999999,8.881784197001252e-16,0.0,0.9666666666666665,10,10
apples,high,2,5.0,0.5,0.5,0.0,1.6666666666666665,0.08333333333333333,10,10
dip,low,1,0.0,0.0,0.9,0.48989794855663565,0.0,0.15,10,10
dip,low,2,5.5,0.0,3.539999999999999,0.9210863151735564,1.8333333333333333,0.5899999999999999,10,10
dip,high,1,0.0,0.0,4.799999999999999,8.881784197001252e-16,0.0,0.7999999999999998,10,10
dip,high,2,5.5,0.0,1.4100000000000001,0.13747727084867523,1.8333333333333333,0.23500000000000001,10,10
drinks,low,1,0.29000000000000004,0.1374772708486752,1.5,0.0,0.09666666666666668,0.25,10,10
drinks,low,2,5.799999999999999,8.881784197001252e-16,0.5,0.0,1.933333333333333,0.08333333333333333,10,10
drinks,high,1,0.38,0.14696938456699069,5.799999999999999,8.881784197001252e-16,0.12666666666666665,0.9666666666666665,10,10
drinks,high,2,5.529999999999999,0.08999999999999996,0.2,0.0,1.843333333333333,0.03333333333333333,10,10
driving,low,1,0.29000000000000004,0.2211334438749598,1.5,0.0,0.09666666666666668,0.25,10,10
driving,low,2,5.81,0.13,3.4,0.6000000000000001,1.9366666666666665,0.5666666666666667,10,10
driving,high,1,0.11000000000000001,0.157797338380595,4.59,0.13747727084867511,0.03666666666666667,0.7649999999999999,10,10
driving,high,2,5.470000000000001,0.08999999999999996,1.6199999999999999,0.27495454169735045,1.8233333333333335,0.26999999999999996,10,10
fair,low,1,0.02,0.06,2.5,0.0,0.006666666666666666,0.41666666666666663,10,10
fair,low,2,5.93,0.15524174696260024,0.75,0.25,1.9766666666666666,0.125,10,10
fair,high,1,0.5,0.0,4.5,0.0,0.16666666666666666,0.75,10,10
fair,high,2,5.799999999999999,8.881784197001252e-16,1.58,0.34,1.933333333333333,0.2633333333333333,10,10
gala,low,1,0.35,0.15,0.5,0.0,0.11666666666666665,0.08333333333333333,10,10
gala,low,2,6.0,0.0,0.0,0.0,2.0,0.0,10,10
gala,high,1,0.33999999999999997,0.20591260281974003,5.25,0.6184658438426491,0.11333333333333331,0.875,10,10
gala,high,2,6.0,0.0,0.15,0.15,2.0,0.024999999999999998,10,10
hike,low,1,2.5,0.0,1.5,0.0,0.8333333333333333,0.25,10,10
hike,low,2,5.470000000000001,0.2491987158875421,0.5,0.0,1.8233333333333335,0.08333333333333333,10,10
hike,high,1,1.9099999999999997,0.7475961476626268,4.5,0.0,0.6366666666666665,0.75,10,10
hike,high,2,5.159999999999999,0.6167657578043709,0.5,0.0,1.7199999999999998,0.08333333333333333,10,10
oysters,low,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
oysters,low,2,5.799999999999999,8.881784197001252e-16,0.6199999999999999,0.1469693845669907,1.933333333333333,0.1033333333333333,10,10
oysters,high,1,0.5,0.0,4.799999999999999,8.881784197001252e-16,0.16666666666666666,0.7999999999999998,10,10
oysters,high,2,5.799999999999999,8.881784197001252e-16,0.2,0.0,1.933333333333333,0.03333333333333333,10,10
social,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
social,low,2,6.0,0.0,4.5600000000000005,0.2939387691339812,2.0,0.76,10,10
social,high,1,0.5,0.0,4.5,0.0,0.16666666666666666,0.75,10,10
social,high,2,5.799999999999999,8.881784197001252e-16,1.95,0.15,1.933333333333333,0.32499999999999996,10,10
soup,low,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
soup,low,2,5.679999999999999,0.19899748742132387,1.0,0.0,1.8933333333333329,0.16666666666666666,10,10
soup,high,1,0.5,0.0,4.799999999999999,8.881784197001252e-16,0.16666666666666666,0.7999999999999998,10,10
soup,high,2,5.799999999999999,8.881784197001252e-16,1.1999999999999997,2.220446049250313e-16,1.933333333333333,0.19999999999999996,10,10
wedding,low,1,0.5,0.0,1.5,0.0,0.16666666666666666,0.25,10,10
wedding,low,2,5.799999999999999,8.881784197001252e-16,4.3999999999999995,0.7999999999999999,1.933333333333333,0.7333333333333332,10,10
wedding,high,1,0.5,0.0,4.68,0.1469693845669906,0.16666666666666666,0.7799999999999999,10,10
wedding,high,2,5.92,0.09797958971132721,2.21,0.46572524088780065,1.9733333333333332,0.3683333333333333,10,10
