scenario_label,action,risk_raw,risk_raw_std,risk,n_runs_risk,n_failures_risk
basketball,0,0.0,0.0,0.0,10,0
basketball,1,3.0,0.0,1.0,10,0
basketball,2,6.0,0.0,2.0,10,0
birthday,0,0.0,0.0,0.0,10,0
birthday,1,0.0,0.0,0.0,10,0
birthday,2,6.0,0.0,2.0,10,0
brunch,0,2.2,0.2449489742783178,0.7333333333333334,10,0
brunch,1,1.15,0.22912878474779202,0.3833333333333333,10,0
brunch,2,4.85,0.8077747210701757,1.6166666666666665,10,0
takeout,0,0.0,0.0,0.0,10,0
takeout,1,0.0,0.0,0.0,10,0
takeout,2,6.0,0.0,2.0,10,0
cooking,0,0.0,0.0,0.0,10,0
cooking,1,0.0,0.0,0.0,10,0
cooking,2,6.0,0.0,2.0,10,0
apples,0,0.0,0.0,0.0,10,0
apples,1,0.0,0.0,0.0,10,0
apples,2,6.0,0.0,2.0,10,0
dip,0,0.0,0.0,0.0,10,0
dip,1,0.0,0.0,0.0,10,0
dip,2,6.0,0.0,2.0,10,0
drinks,0,0.0,0.0,0.0,10,0
drinks,1,0.6,0.30000000000000004,0.19999999999999998,10,0
drinks,2,6.0,0.0,2.0,10,0
driving,0,0.0,0.0,0.0,10,0
driving,1,0.3,0.9000000000000001,0.09999999999999999,10,0
driving,2,6.0,0.0,2.0,10,0
fair,0,0.0,0.0,0.0,10,0
fair,1,2.8,0.6,0.9333333333333332,10,0
fair,2,6.0,0.0,2.0,10,0
gala,0,0.0,0.0,0.0,10,0
gala,1,1.0,0.0,0.3333333333333333,10,0
gala,2,6.0,0.0,2.0,10,0
hike,0,0.0,0.0,0.0,10,0
hike,1,3.55,0.687386354243376,1.1833333333333331,10,0
hike,2,6.0,0.0,2.0,10,0
oysters,0,0.0,0.0,0.0,10,0
oysters,1,0.0,0.0,0.0,10,0
oysters,2,6.0,0.0,2.0,10,0
social,0,0.0,0.0,0.0,10,0
social,1,3.0,0.0,1.0,10,0
social,2,6.0,0.0,2.0,10,0
soup,0,0.0,0.0,0.0,10,0
soup,1,2.1,0.3,0.7,10,0
soup,2,6.0,0.0,2.0,10,0
wedding,0,0.0,0.0,0.0,10,0
wedding,1,2.0,0.0,0.6666666666666666,10,0
wedding,2,5.7,0.45825756949558405,1.9,10,0
