scenario_label,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
chapstick,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
chapstick,1,2.2,0.45825756949558405,2.5,0.0,0.7333333333333334,0.41666666666666663,10,10
chapstick,2,4.62,0.27495454169735023,1.0,0.0,1.54,0.16666666666666666,10,10
chapstick,3,6.0,0.0,0.0,0.0,2.0,0.0,10,10
towel,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
towel,1,1.5,0.0,1.15,0.22912878474779202,0.5,0.19166666666666665,10,10
towel,2,4.200000000000001,8.881784197001252e-16,2.2,0.2449489742783178,1.4000000000000004,0.3666666666666667,10,10
towel,3,6.0,0.0,4.0600000000000005,0.09165151389911688,2.0,0.6766666666666667,10,10
hat,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
hat,1,1.1,0.48989794855663565,2.5,0.0,0.3666666666666667,0.41666666666666663,10,10
hat,2,0.3,0.24494897427831783,4.799999999999999,8.881784197001252e-16,0.09999999999999999,0.7999999999999998,10,10
hat,3,5.77,0.08999999999999996,0.5,0.0,1.9233333333333331,0.08333333333333333,10,10
hairbrush,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
hairbrush,1,0.5,0.0,5.799999999999999,8.881784197001252e-16,0.16666666666666666,0.9666666666666665,10,10
hairbrush,2,2.5,0.0,3.2900000000000005,0.3207802986469089,0.8333333333333333,0.5483333333333333,10,10
hairbrush,3,5.84,0.08000000000000007,0.9400000000000001,0.09165151389911678,1.9466666666666665,0.15666666666666668,10,10
harmonica,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
harmonica,1,1.4,0.3,4.5,0.0,0.4666666666666666,0.75,10,10
harmonica,2,2.54,0.22449944320643642,2.5,0.0,0.8466666666666667,0.41666666666666663,10,10
harmonica,3,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
sunscreen,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
sunscreen,1,0.5,0.0,1.1299999999999997,0.20999999999999996,0.16666666666666666,0.18833333333333327,10,10
sunscreen,2,2.5,0.0,2.4,0.3,0.8333333333333333,0.39999999999999997,10,10
sunscreen,3,5.799999999999999,8.881784197001252e-16,4.01,0.26999999999999985,1.933333333333333,0.6683333333333332,10,10
blanket,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10
blanket,1,1.0,0.0,1.5,0.0,0.3333333333333333,0.25,10,10
blanket,2,4.0,0.0,2.0,0.0,1.3333333333333333,0.3333333333333333,10,10
blanket,3,6.0,0.0,2.5,0.0,2.0,0.41666666666666663,10,10
sleeping-bag,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
sleeping-bag,1,2.0,0.5,1.8,0.0,0.6666666666666666,0.3,10,10
sleeping-bag,2,4.200000000000001,8.881784197001252e-16,2.2,0.0,1.4000000000000004,0.3666666666666667,10,10
sleeping-bag,3,6.0,0.0,4.5,0.0,2.0,0.75,10,10
bed,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
bed,1,2.5,0.0,2.5,0.0,0.8333333333333333,0.41666666666666663,10,10
bed,2,3.88,0.36000000000000004,1.0,0.0,1.2933333333333332,0.16666666666666666,10,10
bed,3,5.739999999999999,0.17999999999999988,0.7100000000000001,0.13747727084867523,1.913333333333333,0.11833333333333335,10,10
locker-room,0,0.0,0.0,4.5,0.0,0.0,0.75,10,10
locker-room,1,0.5,0.0,2.8,0.0,0.16666666666666666,0.4666666666666666,10,10
locker-room,2,1.5,0.0,2.5,0.0,0.5,0.41666666666666663,10,10
locker-room,3,6.0,0.0,0.8,0.0,2.0,0.13333333333333333,10,10
sauna,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
sauna,1,0.0,0.0,2.5,0.0,0.0,0.41666666666666663,10,10
sauna,2,1.5,0.0,1.8,0.0,0.5,0.3,10,10
sauna,3,5.799999999999999,8.881784197001252e-16,0.8,0.0,1.933333333333333,0.13333333333333333,10,10
breakup,0,0.32,0.14696938456699069,0.0,0.0,0.10666666666666666,0.0,10,10
