scenario_label,action,motivation,v_raw,v_raw_std,v,n_runs,n_failures
basketball,0,low,0.0,0.0,0.0,10,0
basketball,1,low,0.0,0.0,0.0,10,0
basketball,2,low,0.0,0.0,0.0,10,0
basketball,3,low,0.0,0.0,0.0,10,0
basketball,0,high,-3.0,0.0,-1.0,10,0
basketball,1,high,1.5,0.0,0.5,10,0
basketball,2,high,1.5,0.0,0.5,10,0
basketball,3,high,1.5,0.0,0.5,10,0
birthday,0,low,0.0,0.0,0.0,10,0
birthday,1,low,1.35,1.1629703349613005,0.45,10,0
birthday,2,low,2.65,0.1499999999999999,0.8833333333333333,10,0
birthday,3,low,2.1,0.19999999999999998,0.7000000000000001,10,0
birthday,0,high,-3.0,0.0,-1.0,10,0
birthday,1,high,3.0,0.0,1.0,10,0
birthday,2,high,3.0,0.0,1.0,10,0
birthday,3,high,2.5,0.0,0.8333333333333334,10,0
brunch,0,low,-0.7,1.6000000000000003,-0.2333333333333333,10,0
brunch,1,low,-0.76,1.5460918472070153,-0.25333333333333335,10,0
brunch,2,low,-0.35,1.3047988350699888,-0.11666666666666665,10,0
brunch,3,low,-1.3399999999999999,1.8472682533947256,-0.4466666666666666,10,0
brunch,0,high,2.5,0.0,0.8333333333333334,10,0
brunch,1,high,2.8,0.0,0.9333333333333332,10,0
brunch,2,high,2.8,0.0,0.9333333333333332,10,0
brunch,3,high,2.8,0.0,0.9333333333333332,10,0
takeout,0,low,2.55,0.15,0.85,10,0
takeout,1,low,2.0,0.0,0.6666666666666666,10,0
takeout,2,low,1.5,0.0,0.5,10,0
takeout,3,low,-2.0,0.0,-0.6666666666666666,10,0
takeout,0,high,-1.5,0.0,-0.5,10,0
takeout,1,high,2.5,0.0,0.8333333333333334,10,0
takeout,2,high,2.0,0.0,0.6666666666666666,10,0
takeout,3,high,-3.0,0.0,-1.0,10,0
cooking,0,low,2.65,0.22912878474779202,0.8833333333333333,10,0
cooking,1,low,-2.0,0.0,-0.6666666666666666,10,0
cooking,2,low,-2.5,0.0,-0.8333333333333334,10,0
cooking,3,low,-3.0,0.0,-1.0,10,0
cooking,0,high,-3.0,0.0,-1.0,10,0
cooking,1,high,3.0,0.0,1.0,10,0
cooking,2,high,3.0,0.0,1.0,10,0
cooking,3,high,3.0,0.0,1.0,10,0
apples,0,low,0.0,0.0,0.0,10,0
apples,1,low,0.0,0.0,0.0,10,0
apples,2,low,0.0,0.0,0.0,10,0
