scenario_label,action,motivation,v_raw,v_raw_std,v,n_runs,n_failures
basketball,0,low,0.0,0.0,0.0,10,0
basketball,0,high,-3.0,0.0,-1.0,10,0
basketball,1,low,0.0,0.0,0.0,10,0
basketball,1,high,2.1,0.3,0.7000000000000001,10,0
basketball,2,low,0.0,0.0,0.0,10,0
basketball,2,high,2.1,0.3,0.7000000000000001,10,0
birthday,0,low,0.0,0.0,0.0,10,0
birthday,0,high,-2.5,0.6708203932499369,-0.8333333333333334,10,0
birthday,1,low,2.0,1.0,0.6666666666666666,10,0
birthday,1,high,2.95,0.15,0.9833333333333334,10,0
birthday,2,low,2.1,0.19999999999999998,0.7000000000000001,10,0
birthday,2,high,2.65,0.32015621187164245,0.8833333333333333,10,0
brunch,0,low,2.5,0.0,0.8333333333333334,10,0
brunch,0,high,2.3,0.2449489742783178,0.7666666666666666,10,0
brunch,1,low,1.85,0.45,0.6166666666666667,10,0
brunch,1,high,2.68,0.1469693845669906,0.8933333333333334,10,0
brunch,2,low,1.2,0.9000000000000001,0.39999999999999997,10,0
brunch,2,high,2.3,0.2449489742783178,0.7666666666666666,10,0
takeout,0,low,2.2,1.6,0.7333333333333334,10,0
takeout,0,high,-1.3,0.6,-0.43333333333333335,10,0
takeout,1,low,2.3,0.45825756949558405,0.7666666666666666,10,0
takeout,1,high,2.9,0.19999999999999998,0.9666666666666667,10,0
takeout,2,low,-0.2,0.9797958971132712,-0.06666666666666667,10,0
takeout,2,high,2.4,0.8,0.7999999999999999,10,0
cooking,0,low,2.6,0.48989794855663565,0.8666666666666667,10,0
cooking,0,high,-3.0,0.0,-1.0,10,0
cooking,1,low,-1.0,0.0,-0.3333333333333333,10,0
cooking,1,high,3.0,0.0,1.0,10,0
cooking,2,low,-2.0,0.0,-0.6666666666666666,10,0
cooking,2,high,3.0,0.0,1.0,10,0
apples,0,low,0.0,0.0,0.0,10,0
apples,0,high,-3.0,0.0,-1.0,10,0
apples,1,low,0.0,0.0,0.0,10,0
apples,1,high,3.0,0.0,1.0,10,0
apples,2,low,0.0,0.0,0.0,10,0
apples,2,high,2.0,0.0,0.6666666666666666,10,0
dip,0,low,3.0,0.0,1.0,10,0
dip,0,high,-3.0,0.0,-1.0,10,0
dip,1,low,-1.0,0.0,-0.3333333333333333,10,0
dip,1,high,2.55,0.15,0.85,10,0
dip,2,low,-1.0,0.0,-0.3333333333333333,10,0
dip,2,high,1.45,0.15,0.48333333333333334,10,0
drinks,0,low,3.0,0.0,1.0,10,0
drinks,0,high,-1.0,0.0,-0.3333333333333333,10,0
drinks,1,low,-1.0,0.0,-0.3333333333333333,10,0
drinks,1,high,2.0,0.0,0.6666666666666666,10,0
drinks,2,low,-2.0,0.0,-0.6666666666666666,10,0
drinks,2,high,2.5,0.0,0.8333333333333334,10,0
driving,0,low,0.0,0.0,0.0,9,1
driving,0,high,-1.5,0.0,-0.5,10,0
driving,1,low,3.0,0.0,1.0,9,1
driving,1,high,2.5,0.0,0.8333333333333334,10,0
driving,2,low,2.2222222222222223,0.41573970964154905,0.7407407407407408,9,1
driving,2,high,2.0,0.0,0.6666666666666666,10,0
fair,0,low,0.0,0.0,0.0,10,0
fair,0,high,-3.0,0.0,-1.0,10,0
fair,1,low,0.0,0.0,0.0,10,0
fair,1,high,3.0,0.0,1.0,10,0
fair,2,low,0.0,0.0,0.0,10,0
fair,2,high,3.0,0.0,1.0,10,0
gala,0,low,3.0,0.0,1.0,10,0
gala,0,high,-3.0,0.0,-1.0,10,0
gala,1,low,-1.0,0.0,-0.3333333333333333,10,0
gala,1,high,2.8,0.39999999999999997,0.9333333333333332,10,0
gala,2,low,-3.0,0.0,-1.0,10,0
gala,2,high,3.0,0.0,1.0,10,0
hike,0,low,0.0,0.0,0.0,10,0
hike,0,high,-3.0,0.0,-1.0,10,0
hike,1,low,0.0,0.0,0.0,10,0
hike,1,high,3.0,0.0,1.0,10,0
hike,2,low,-0.2,0.4000000000000001,-0.06666666666666667,10,0
hike,2,high,2.0,0.0,0.6666666666666666,10,0
oysters,0,low,0.0,0.0,0.0,10,0
oysters,0,high,-3.0,0.0,-1.0,10,0
oysters,1,low,0.0,0.0,0.0,10,0
oysters,1,high,3.0,0.0,1.0,10,0
oysters,2,low,0.0,0.0,0.0,10,0
oysters,2,high,3.0,0.0,1.0,10,0
social,0,low,0.25,0.75,0.08333333333333333,10,0
social,0,high,-2.9,0.3,-0.9666666666666667,10,0
social,1,low,0.0,0.0,0.0,10,0
social,1,high,2.95,0.15,0.9833333333333334,10,0
social,2,low,0.0,0.0,0.0,10,0
social,2,high,2.95,0.15,0.9833333333333334,10,0
soup,0,low,0.0,0.0,0.0,10,0
soup,0,high,-3.0,0.0,-1.0,10,0
soup,1,low,0.0,0.0,0.0,10,0
soup,1,high,3.0,0.0,1.0,10,0
soup,2,low,-1.0,0.0,-0.3333333333333333,10,0
soup,2,high,3.0,0.0,1.0,10,0
wedding,0,low,3.0,0.0,1.0,10,0
wedding,0,high,-3.0,0.0,-1.0,10,0
wedding,1,low,0.0,0.0,0.0,10,0
wedding,1,high,2.0,0.0,0.6666666666666666,10,0
wedding,2,low,-1.0,0.0,-0.3333333333333333,10,0
wedding,2,high,3.0,0.0,1.0,10,0
