scenario_label,action,motivation,v_raw,v_raw_std,v,n_runs
chapstick,0,low,-1.0,0.0,-0.3333333333333333,10
chapstick,1,low,2.5,0.0,0.8333333333333334,10
chapstick,2,low,2.4,0.3999999999999999,0.7999999999999999,10
chapstick,3,low,2.849999999999999,0.05,0.9499999999999996,10
chapstick,0,high,-2.0,0.0,-0.6666666666666666,10
chapstick,1,high,2.5,0.0,0.8333333333333334,10
chapstick,2,high,2.8,0.0,0.9333333333333332,10
chapstick,3,high,2.8,0.0,0.9333333333333332,10
towel,0,low,0.65,0.45,0.2166666666666666,10
towel,1,low,1.35,0.229128784747792,0.45,10
towel,2,low,1.08,0.2181742422927143,0.36,10
towel,3,low,1.85,0.3201562118716424,0.6166666666666667,10
towel,0,high,-2.5,0.0,-0.8333333333333334,10
towel,1,high,2.1,0.1999999999999999,0.7000000000000001,10
towel,2,high,1.56,0.12,0.52,10
towel,3,high,2.82,0.06,0.94,10
hat,0,low,0.0,0.0,0.0,10
hat,1,low,2.5,0.0,0.8333333333333334,10
hat,2,low,2.8,0.0,0.9333333333333332,10
hat,3,low,1.1999999999999995,2.220446049250313e-16,0.3999999999999999,10
hat,0,high,-3.0,0.0,-1.0,10
hat,1,high,2.5,0.0,0.8333333333333334,10
hat,2,high,2.1,0.3,0.7000000000000001,10
hat,3,high,1.5,0.0,0.5,10
hairbrush,0,low,0.5,0.0,0.1666666666666666,10
hairbrush,1,low,2.5,0.0,0.8333333333333334,10
hairbrush,2,low,2.8,0.0,0.9333333333333332,10
hairbrush,3,low,1.31,0.3269556544854363,0.4366666666666667,10
hairbrush,0,high,-1.55,0.15,-0.5166666666666667,10
hairbrush,1,high,2.93,0.15524174696260026,0.9766666666666667,10
hairbrush,2,high,2.62,0.1469693845669906,0.8733333333333334,10
hairbrush,3,high,1.95,0.15,0.65,10
harmonica,0,low,0.0,0.0,0.0,10
harmonica,1,low,2.5,0.0,0.8333333333333334,10
harmonica,2,low,2.0,0.0,0.6666666666666666,10
harmonica,3,low,1.5,0.0,0.5,10
harmonica,0,high,-3.0,0.0,-1.0,10
harmonica,1,high,2.5,0.0,0.8333333333333334,10
harmonica,2,high,2.8,0.0,0.9333333333333332,10
harmonica,3,high,3.0,0.0,1.0,10
sunscreen,0,low,-1.0,0.0,-0.3333333333333333,10
sunscreen,1,low,2.5,0.0,0.8333333333333334,10
sunscreen,2,low,2.8,0.0,0.9333333333333332,10
sunscreen,3,low,3.0,0.0,1.0,10
sunscreen,0,high,-3.0,0.0,-1.0,10
sunscreen,1,high,2.95,0.15,0.9833333333333334,10
sunscreen,2,high,2.45,0.15,0.8166666666666668,10
sunscreen,3,high,3.0,0.0,1.0,10
blanket,0,low,0.0,0.0,0.0,10
blanket,1,low,0.0,0.0,0.0,10
blanket,2,low,0.3,0.458257569495584,0.0999999999999999,10
blanket,3,low,0.6,0.916515138991168,0.1999999999999999,10
blanket,0,high,-2.5,0.0,-0.8333333333333334,10
blanket,1,high,1.5,0.0,0.5,10
blanket,2,high,2.5,0.0,0.8333333333333334,10
blanket,3,high,2.9799999999999995,0.04,0.9933333333333332,10
sleeping-bag,0,low,2.1,0.1999999999999999,0.7000000000000001,10
sleeping-bag,1,low,1.5,0.0,0.5,10
sleeping-bag,2,low,1.0,0.0,0.3333333333333333,10
sleeping-bag,3,low,-1.25,0.4031128874149275,-0.4166666666666667,10
sleeping-bag,0,high,-2.5,0.0,-0.8333333333333334,10
sleeping-bag,1,high,1.8,0.0,0.6,10
sleeping-bag,2,high,2.5,0.0,0.8333333333333334,10
sleeping-bag,3,high,2.859999999999999,0.0489897948556636,0.9533333333333333,10
bed,0,low,0.15,0.2291287847477919,0.0499999999999999,10
bed,1,low,0.15,0.2291287847477919,0.0499999999999999,10
bed,2,low,0.15,0.2291287847477919,0.0499999999999999,10
bed,3,low,0.0,0.0,0.0,10
bed,0,high,-1.5,0.0,-0.5,10
bed,1,high,2.0,0.0,0.6666666666666666,10
bed,2,high,2.5,0.0,0.8333333333333334,10
bed,3,high,2.8,0.0,0.9333333333333332,10
locker-room,0,low,0.0,0.0,0.0,10
locker-room,1,low,0.0,0.0,0.0,10
locker-room,2,low,0.0,0.0,0.0,10
locker-room,3,low,-1.9,0.58309518948453,-0.6333333333333333,10
locker-room,0,high,-2.0,0.0,-0.6666666666666666,10
locker-room,1,high,1.5,0.0,0.5,10
locker-room,2,high,2.0,0.0,0.6666666666666666,10
locker-room,3,high,2.5,0.0,0.8333333333333334,10
sauna,0,low,3.0,0.0,1.0,10
sauna,1,low,-0.35,1.001249219725039,-0.1166666666666666,10
sauna,2,low,-1.7,0.4582575694955839,-0.5666666666666667,10
sauna,3,low,-3.0,0.0,-1.0,10
sauna,0,high,-3.0,0.0,-1.0,10
sauna,1,high,1.5,0.0,0.5,10
sauna,2,high,2.5,0.0,0.8333333333333334,10
sauna,3,high,3.0,0.0,1.0,10
breakup,0,low,3.0,0.0,1.0,10
breakup,1,low,2.0,0.0,0.6666666666666666,10
breakup,2,low,-1.0,0.0,-0.3333333333333333,10
breakup,3,low,-3.0,0.0,-1.0,10
breakup,0,high,-2.5,0.0,-0.8333333333333334,10
breakup,1,high,-0.95,0.15,-0.3166666666666666,10
breakup,2,high,2.18,0.06,0.7266666666666667,10
breakup,3,high,2.8899999999999997,0.03,0.9633333333333332,10
payment,0,low,0.0,0.0,0.0,10
payment,1,low,2.5,0.0,0.8333333333333334,10
payment,2,low,2.0,0.0,0.6666666666666666,10
payment,3,low,2.5,0.4582575694955839,0.8333333333333334,10
payment,0,high,-3.0,0.0,-1.0,10
payment,1,high,3.0,0.0,1.0,10
payment,2,high,2.5,0.0,0.8333333333333334,10
payment,3,high,2.8,0.0,0.9333333333333332,10
gossip,0,low,2.5,0.0,0.8333333333333334,10
gossip,1,low,1.5,0.0,0.5,10
gossip,2,low,-0.9,0.2,-0.3,10
gossip,3,low,-2.72,0.2399999999999999,-0.9066666666666666,10
gossip,0,high,-2.5,0.0,-0.8333333333333334,10
gossip,1,high,1.0,0.0,0.3333333333333333,10
gossip,2,high,2.47,0.0899999999999999,0.8233333333333333,10
gossip,3,high,2.9400000000000004,0.0916515138991168,0.98,10
home,0,low,2.5,0.0,0.8333333333333334,10
home,1,low,-2.0,0.0,-0.6666666666666666,10
home,2,low,-1.5,0.0,-0.5,10
home,3,low,-2.95,0.15,-0.9833333333333334,10
home,0,high,-3.0,0.0,-1.0,10
home,1,high,2.5,0.0,0.8333333333333334,10
home,2,high,2.0,0.0,0.6666666666666666,10
home,3,high,-1.95,0.15,-0.65,10
navigation,0,low,0.5,0.0,0.1666666666666666,10
navigation,1,low,-0.5,0.0,-0.1666666666666666,10
navigation,2,low,-1.0,0.0,-0.3333333333333333,10
navigation,3,low,-1.5,0.0,-0.5,10
navigation,0,high,-3.0,0.0,-1.0,10
navigation,1,high,2.5,0.0,0.8333333333333334,10
navigation,2,high,2.88,0.0979795897113272,0.96,10
navigation,3,high,3.0,0.0,1.0,10
