scenario_label,observed_action,motivation,alt_idx,action_text,is_share
basketball,action_0,low,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,low,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,low,2,They buy the hot dog and cut it in half to share,1
basketball,action_0,low,3,They buy the hot dog and take turns biting from the same hot dog,1
basketball,action_0,low,4,"Carissa buys the hot dog, takes a bite, and then gives it to Josh to finish",1
basketball,action_0,low,5,"Josh buys the hot dog, takes a bite, and then gives it to Carissa to finish",1
basketball,action_0,low,6,"They throw the money together and buy the hot dog, then Carissa eats most of it and Josh has a small bite",1
basketball,action_0,low,7,"They throw the money together and buy the hot dog, then Josh eats most of it and Carissa has a small bite",1
basketball,action_0,high,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,high,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,high,2,They buy one hot dog and cut it in half to share,1
basketball,action_0,high,3,They take turns biting from the same hot dog,1
basketball,action_0,high,4,Carissa buys the hot dog and gives Josh a few bites,1
basketball,action_0,high,5,Josh buys the hot dog and gives Carissa a few bites,1
basketball,action_0,high,6,They buy one hot dog and use separate utensils to take turns eating from it,1
basketball,action_0,high,7,"Carissa buys the hot dog, eats a portion, and then hands it to Josh to finish",1
basketball,action_1,low,0,Carissa eats the whole hot dog by herself,0
basketball,action_1,low,1,Josh eats the whole hot dog by himself,0
basketball,action_1,low,2,They decide not to get a hot dog and look for other food options,0
basketball,action_1,low,3,They take turns biting from the same hot dog,1
basketball,action_1,low,4,They tear the hot dog in half with their hands and eat from their own portions,1
basketball,action_1,low,5,Carissa gives the hot dog to Josh and he eats it all,0
basketball,action_1,low,6,Josh gives the hot dog to Carissa and she eats it all,0
basketball,action_1,low,7,They throw the hot dog away and don't eat it,0
basketball,action_1,low,8,They use a fork to take alternating bites from the same hot dog,1
basketball,action_1,low,9,One of them cuts the hot dog into smaller pieces and they eat from a shared plate,1
basketball,action_1,high,0,One person buys and eats the hot dog alone,0
basketball,action_1,high,1,They decide not to buy a hot dog and look for other food options,0
basketball,action_1,high,2,They buy the hot dog and take turns biting from the same hot dog,1
basketball,action_1,high,3,One person buys the hot dog and gives the other person a few bites from it,1
basketball,action_1,high,4,They buy the hot dog and use separate utensils to take bites from the same hot dog,1
basketball,action_1,high,5,"One person buys the hot dog and lets the other person have it, eating none themselves",0
basketball,action_1,high,6,They throw away the hot dog and don't eat it,0
basketball,action_1,high,7,They buy the hot dog and tear it in half with their hands to eat,1
basketball,action_1,high,8,One person eats a few bites of the hot dog and then hands it to the other person to finish,1
basketball,action_2,low,0,Carissa buys and eats the hot dog alone,0
basketball,action_2,low,1,Josh buys and eats the hot dog alone,0
basketball,action_2,low,2,They decide not to buy a hot dog and go without,0
basketball,action_2,low,3,They cut the hot dog in half and each eat their own half,1
basketball,action_2,low,4,Carissa eats half and then gives the remaining half to Josh,1
basketball,action_2,low,5,Josh eats half and then gives the remaining half to Carissa,1
basketball,action_2,low,6,They take turns biting from the same end of the hot dog,1
basketball,action_2,low,7,Carissa eats the hot dog and Josh doesn't have any,0
basketball,action_2,low,8,Josh eats the hot dog and Carissa doesn't have any,0
basketball,action_2,low,9,They give the hot dog to one of the other spectators,0
basketball,action_2,high,0,Carissa buys and eats the hot dog alone,0
basketball,action_2,high,1,Josh buys and eats the hot dog alone,0
basketball,action_2,high,2,They decide not to buy the hot dog and look for alternative food options,0
basketball,action_2,high,3,They cut the hot dog in half and each eat their own half,1
basketball,action_2,high,4,Carissa eats 3/4 of the hot dog and then hands the remaining 1/4 to Josh,1
basketball,action_2,high,5,One person eats the hot dog and the other eats the bun,1
basketball,action_2,high,6,They take turns biting from the same end of the hot dog,1
basketball,action_2,high,7,They buy the hot dog and then give it to someone else,0
basketball,action_2,high,8,Carissa eats the hot dog and then Josh licks her fingers,1
basketball,action_3,low,0,Carissa buys and eats the hot dog alone,0
basketball,action_3,low,1,Josh buys and eats the hot dog alone,0
basketball,action_3,low,2,They decide not to buy a hot dog,0
basketball,action_3,low,3,They cut the hot dog in half and each eat their own half,1
basketball,action_3,low,4,"Carissa eats half of the hot dog, then Josh eats the other half",1
basketball,action_3,low,5,They take turns biting from opposite ends of the hot dog,1
basketball,action_3,low,6,Carissa eats the hot dog and Josh eats the bun,1
basketball,action_3,low,7,One person eats the hot dog and the other eats a different food item they happen to have,0
basketball,action_3,low,8,They buy the hot dog and then decide to share it by pulling it apart into two pieces,1
basketball,action_3,high,0,Carissa buys and eats the hot dog alone,0
basketball,action_3,high,1,Josh buys and eats the hot dog alone,0
basketball,action_3,high,2,They decide not to buy a hot dog and go without eating,0
basketball,action_3,high,3,They cut the hot dog in half and each eat their own half,1
basketball,action_3,high,4,Carissa eats half of the hot dog and then gives the remaining half to Josh,1
basketball,action_3,high,5,Josh eats half of the hot dog and then gives the remaining half to Carissa,1
basketball,action_3,high,6,They take turns double dipping the hot dog in condiments,1
basketball,action_3,high,7,One person bites from one end of the hot dog and the other from the other end,1
birthday,action_0,low,0,Lio and Mitchell cut their slices in half and exchange halves to try each other's potential leftovers,1
birthday,action_0,low,1,"Lio gives his whole slice to Mitchell, who eats the entire thing",0
birthday,action_0,low,2,"Mitchell cuts his slice into smaller portions and offers some to Lio, who eats a few bites",1
birthday,action_0,low,3,"Both Lio and Mitchell pick at the same slice with their forks, taking turns",1
birthday,action_0,low,4,"Lio and Mitchell both eat a small portion from a single slice, then throw the rest away together",1
birthday,action_0,low,5,"Lio eats a small portion of Mitchell's slice, then Mitchell finishes the rest",1
birthday,action_0,low,6,"Mitchell eats his slice, then Lio takes a few bites of a new, untouched slice",0
birthday,action_0,low,7,Neither Lio nor Mitchell eat any cake and throw their slices away,0
birthday,action_0,low,8,Lio and Mitchell cut their slices into quarters and create a mix of the quarters on a new plate to share,1
birthday,action_0,high,0,"Lio and Mitchell each take a separate slice and eat as much as they can, then throw the rest away",0
birthday,action_0,high,1,Lio and Mitchell cut a single slice in half and each eat their half,1
