scenario_label,observed_action,relationship_condition,alt_idx,motivation_query,v_raw,v_raw_std,v,n_runs
apples,action_0,0,0,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,0,0,high,2.5,0.0,0.8333333333333334,10
apples,action_0,0,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,0,1,high,-1.05,1.903286631067428,-0.35000000000000003,10
apples,action_0,0,2,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,0,2,high,2.8,0.0,0.9333333333333332,10
apples,action_0,0,3,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,0,3,high,-3.0,0.0,-1.0,10
apples,action_0,0,4,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_0,0,4,high,2.15,0.32015621187164245,0.7166666666666667,10
apples,action_0,0,5,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,0,5,high,-1.2,0.4,-0.39999999999999997,10
apples,action_0,0,6,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,0,6,high,2.88,0.040000000000000036,0.96,10
apples,action_0,0,7,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_0,0,7,high,2.2,0.0,0.7333333333333334,10
apples,action_0,0,8,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,0,8,high,1.5,0.0,0.5,10
apples,action_0,50,0,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,50,0,high,2.5,0.0,0.8333333333333334,10
apples,action_0,50,1,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_0,50,1,high,2.15,0.32015621187164245,0.7166666666666667,10
apples,action_0,50,2,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,50,2,high,-3.0,0.0,-1.0,10
apples,action_0,50,3,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,50,3,high,2.88,0.040000000000000036,0.96,10
apples,action_0,50,4,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,50,4,high,-1.8,0.4,-0.6,10
apples,action_0,50,5,low,-0.6,0.48989794855663565,-0.19999999999999998,10
apples,action_0,50,5,high,2.2,0.0,0.7333333333333334,10
apples,action_0,50,6,low,0.0,0.0,0.0,10
apples,action_0,50,6,high,-1.55,0.26925824035672524,-0.5166666666666667,10
apples,action_0,50,7,low,0.0,0.0,0.0,10
apples,action_0,50,7,high,0.25,0.25,0.08333333333333333,10
apples,action_0,50,8,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,50,8,high,1.5,0.0,0.5,10
apples,action_0,50,9,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,50,9,high,0.8,0.4,0.26666666666666666,10
apples,action_0,75,0,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_0,75,0,high,2.15,0.32015621187164245,0.7166666666666667,10
apples,action_0,75,1,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,75,1,high,-1.8,0.4,-0.6,10
apples,action_0,75,2,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,75,2,high,-3.0,0.0,-1.0,10
apples,action_0,75,3,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,75,3,high,2.5,0.0,0.8333333333333334,10
apples,action_0,75,4,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_0,75,4,high,2.44,0.11999999999999993,0.8133333333333334,10
apples,action_0,75,5,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,75,5,high,2.88,0.040000000000000036,0.96,10
apples,action_0,75,6,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_0,75,6,high,1.86,0.19595917942265426,0.62,10
apples,action_0,75,7,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,75,7,high,2.8,0.0,0.9333333333333332,10
apples,action_0,100,0,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,100,0,high,2.5,0.0,0.8333333333333334,10
apples,action_0,100,1,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_0,100,1,high,2.15,0.32015621187164245,0.7166666666666667,10
apples,action_0,100,2,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_0,100,2,high,-3.0,0.0,-1.0,10
apples,action_0,100,3,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,100,3,high,2.88,0.040000000000000036,0.96,10
apples,action_0,100,4,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,100,4,high,-1.8,0.4,-0.6,10
apples,action_0,100,5,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_0,100,5,high,1.86,0.19595917942265426,0.62,10
apples,action_0,100,6,low,0.0,0.0,0.0,10
apples,action_0,100,6,high,-1.55,0.26925824035672524,-0.5166666666666667,10
apples,action_0,100,7,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_0,100,7,high,0.4,0.66332495807108,0.13333333333333333,10
apples,action_0,100,8,low,-0.8,0.4,-0.26666666666666666,10
apples,action_0,100,8,high,2.71,0.13747727084867511,0.9033333333333333,10
apples,action_1,0,0,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_1,0,0,high,-2.2,0.2449489742783178,-0.7333333333333334,10
apples,action_1,0,1,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_1,0,1,high,-1.35,1.4150971698084907,-0.45,10
apples,action_1,0,2,low,0.1,0.7,0.03333333333333333,10
apples,action_1,0,2,high,1.8699999999999999,0.24919871588754228,0.6233333333333333,10
apples,action_1,0,3,low,0.0,0.0,0.0,10
apples,action_1,0,3,high,-1.55,0.26925824035672524,-0.5166666666666667,10
apples,action_1,0,4,low,0.0,0.0,0.0,10
apples,action_1,0,4,high,-2.05,0.15,-0.6833333333333332,10
apples,action_1,0,5,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_1,0,5,high,-3.0,0.0,-1.0,10
apples,action_1,0,6,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_1,0,6,high,2.88,0.040000000000000036,0.96,10
apples,action_1,0,7,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_1,0,7,high,0.7,0.6782329983125269,0.2333333333333333,10
apples,action_1,0,8,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,0,8,high,2.44,0.11999999999999993,0.8133333333333334,10
apples,action_1,50,0,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_1,50,0,high,-2.2,0.2449489742783178,-0.7333333333333334,10
apples,action_1,50,1,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_1,50,1,high,0.65,1.8445866745696717,0.21666666666666667,10
apples,action_1,50,2,low,0.1,0.7,0.03333333333333333,10
apples,action_1,50,2,high,2.29,0.13747727084867511,0.7633333333333333,10
apples,action_1,50,3,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_1,50,3,high,-3.0,0.0,-1.0,10
apples,action_1,50,4,low,-0.8,0.4,-0.26666666666666666,10
apples,action_1,50,4,high,2.8,0.0,0.9333333333333332,10
apples,action_1,50,5,low,-0.8,0.4,-0.26666666666666666,10
apples,action_1,50,5,high,2.5,0.0,0.8333333333333334,10
apples,action_1,50,6,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,50,6,high,2.5999999999999996,0.26832815729997467,0.8666666666666666,10
apples,action_1,50,7,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_1,50,7,high,-3.0,0.0,-1.0,10
apples,action_1,50,8,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,50,8,high,2.32,0.1469693845669906,0.7733333333333333,10
apples,action_1,75,0,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_1,75,0,high,-2.2,0.2449489742783178,-0.7333333333333334,10
apples,action_1,75,1,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_1,75,1,high,0.65,1.8445866745696717,0.21666666666666667,10
apples,action_1,75,2,low,0.0,0.4472135954999579,0.0,10
apples,action_1,75,2,high,1.92,0.21817424229271432,0.64,10
apples,action_1,75,3,low,0.0,0.4472135954999579,0.0,10
apples,action_1,75,3,high,2.88,0.040000000000000036,0.96,10
apples,action_1,75,4,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_1,75,4,high,-3.0,0.0,-1.0,10
apples,action_1,75,5,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,75,5,high,2.6399999999999997,0.17435595774162688,0.8799999999999999,10
apples,action_1,75,6,low,-0.8,0.4,-0.26666666666666666,10
apples,action_1,75,6,high,-0.5,1.284523257866513,-0.16666666666666666,10
apples,action_1,75,7,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,75,7,high,1.22,0.9977975746613138,0.4066666666666667,10
