scenario_label,action,access_raw,access_raw_std,access,n_runs_access
basketball,1,0.5,0.0,0.16666666666666666,10
basketball,2,6.0,0.0,2.0,10
birthday,1,0.35,0.22912878474779197,0.11666666666666665,10
birthday,2,5.65,0.22912878474779197,1.8833333333333333,10
brunch,1,0.38,0.14696938456699069,0.12666666666666665,10
brunch,2,4.32,0.1469693845669906,1.44,10
takeout,1,0.0,0.0,0.0,10
takeout,2,6.0,0.0,2.0,10
cooking,1,0.0,0.0,0.0,10
cooking,2,5.7,0.2449489742783178,1.9,10
apples,1,0.0,0.0,0.0,10
apples,2,6.0,0.0,2.0,10
dip,1,0.0,0.0,0.0,10
dip,2,6.0,0.0,2.0,10
drinks,1,0.26000000000000006,0.12,0.08666666666666668,10
drinks,2,5.839999999999999,0.08000000000000007,1.9466666666666663,10
driving,1,0.02,0.06,0.006666666666666666,10
driving,2,5.9799999999999995,0.06000000000000006,1.9933333333333332,10
fair,1,0.71,0.32078029864690877,0.23666666666666664,10
fair,2,5.96,0.06633249580710798,1.9866666666666666,10
gala,1,0.0,0.0,0.0,10
gala,2,6.0,0.0,2.0,10
hike,1,3.0,0.0,1.0,10
hike,2,6.0,0.0,2.0,10
oysters,1,0.5,0.0,0.16666666666666666,10
oysters,2,6.0,0.0,2.0,10
social,1,3.0,0.0,1.0,10
social,2,6.0,0.0,2.0,10
soup,1,0.5,0.0,0.16666666666666666,10
soup,2,5.709999999999999,0.13747727084867511,1.9033333333333329,10
wedding,1,1.1999999999999997,2.220446049250313e-16,0.3999999999999999,10
wedding,2,5.769999999999999,0.08999999999999994,1.923333333333333,10
